id,common_material_id,source_material_code,source_cpse,source_description,canonical_material_key,membership_type,accepted_edge_candidate_ids,reviewer_ids,evidence_snapshot_hashes
45de514a-4bb9-55d7-a470-f4ead5326356,CMM-BEARNG-44D048-001,ONGC-359476,ONGC,DEEP GROOVE BEARING 6206,BEARING|BALL_BEARING|DEEP_GROOVE|CHROME_STEEL|CHROME_STEEL|6206|ISO_15,STANDALONE,,,
8bf62332-c958-5079-9335-b33ed3bcfe8f,CMM-BEARNG-45F089-001,CPCL-305111,CPCL,DEEP GROOVE BEARING 6207,BEARING|BALL_BEARING|DEEP_GROOVE|CHROME_STEEL|CHROME_STEEL|6207|ISO_15,STANDALONE,,,
a038fda3-6ea1-5511-894e-25649d34b8d7,CMM-BEARNG-52960E-001,CPCL-736993,CPCL,DEEP GROOVE BEARING 6208,BEARING|BALL_BEARING|DEEP_GROOVE|CHROME_STEEL|CHROME_STEEL|6208|ISO_15,STANDALONE,,,
95688f56-c1f7-5215-a0a4-abea2c00ec22,CMM-BEARNG-54562A-001,IOCL-817430,IOCL,BEARING NO 6205,BEARING|BALL_BEARING|CHROME_STEEL|CHROME_STEEL|6205|ISO_15,STANDALONE,,,
2d3e79e5-ec60-56e1-8084-dd714005641c,CMM-BEARNG-57D0F8-001,CPCL-175695,CPCL,DEEP GROOVE BEARING 6208,BEARING|BALL_BEARING|DEEP_GROOVE|CHROME_STEEL|CHROME_STEEL|6208|ISO_15,STANDALONE,,,
f6e547e5-42d2-5345-b617-9ee7b76a9869,CMM-BEARNG-59781D-001,ONGC-445985,ONGC,BALL BEARING 6205,BEARING|BALL_BEARING|CHROME_STEEL|CHROME_STEEL|6205|ISO_15,STANDALONE,,,
4f1be149-5f16-5bfe-920d-a80f8e8f027a,CMM-BEARNG-5BB516-001,IOCL-501828,IOCL,BEARING NO 6207,BEARING|BALL_BEARING|CHROME_STEEL|CHROME_STEEL|6207|ISO_15,STANDALONE,,,
f955fd96-1072-52e9-86d5-e0778dbbb2c3,CMM-BEARNG-5FB7D6-001,HPCL-616625,HPCL,BEARING NO 6208,BEARING|BALL_BEARING|CHROME_STEEL|CHROME_STEEL|6208|ISO_15,STANDALONE,,,
f8cd16fb-d492-5e6a-9e54-beecf9472d7f,CMM-BEARNG-6543FC-001,HPCL-919769,HPCL,BALL BEARING 6209,BEARING|BALL_BEARING|CHROME_STEEL|CHROME_STEEL|6209|ISO_15,STANDALONE,,,
ed77dcd1-a435-5625-a1b0-16db0608c337,CMM-BEARNG-6B49BD-001,IOCL-567256,IOCL,DEEP GROOVE BEARING 6204,BEARING|BALL_BEARING|DEEP_GROOVE|CHROME_STEEL|CHROME_STEEL|6204|ISO_15,STANDALONE,,,
b4c7159d-5c69-5da2-8e82-04b9dcb332ea,CMM-BEARNG-6E4403-001,IOCL-297420,IOCL,BALL BEARING 6202,BEARING|BALL_BEARING|CHROME_STEEL|CHROME_STEEL|6202|ISO_15,STANDALONE,,,
0377fc83-8a57-581f-89ca-44752a899c30,CMM-BEARNG-758AA4-001,ONGC-806926,ONGC,BALL BEARING 6207,BEARING|BALL_BEARING|CHROME_STEEL|CHROME_STEEL|6207|ISO_15,STANDALONE,,,
217f3a38-99e8-5201-a610-0e8ce98ab7e4,CMM-BEARNG-79FC50-001,CPCL-283206,CPCL,DEEP GROOVE BEARING 6207,BEARING|BALL_BEARING|DEEP_GROOVE|CHROME_STEEL|CHROME_STEEL|6207|ISO_15,STANDALONE,,,
4487baa0-4533-50a3-9adf-a769dbb10ec5,CMM-BEARNG-8077DE-001,HPCL-301174,HPCL,BALL BEARING 6205,BEARING|BALL_BEARING|CHROME_STEEL|CHROME_STEEL|6205|ISO_15,STANDALONE,,,
94a5d9ff-fe58-5321-9791-d5a89570e1f8,CMM-BEARNG-82BDB9-001,IOCL-529654,IOCL,BALL BEARING 6203,BEARING|BALL_BEARING|CHROME_STEEL|CHROME_STEEL|6203|ISO_15,STANDALONE,,,
12d86d77-e27a-5dcd-a41c-b4ac0e2afb66,CMM-BEARNG-83B058-001,HPCL-180715,HPCL,BEARING NO 6203,BEARING|BALL_BEARING|CHROME_STEEL|CHROME_STEEL|6203|ISO_15,STANDALONE,,,
297d90c2-961a-525e-bb20-f40c30a8d8cf,CMM-BEARNG-86E7F0-001,HPCL-840433,HPCL,DEEP GROOVE BEARING 6207,BEARING|BALL_BEARING|DEEP_GROOVE|CHROME_STEEL|CHROME_STEEL|6207|ISO_15,STANDALONE,,,
c722418a-a2c5-5d5d-a0e9-73815d6ee4eb,CMM-BEARNG-899C65-001,HPCL-467430,HPCL,BALL BEARING 6207,BEARING|BALL_BEARING|CHROME_STEEL|CHROME_STEEL|6207|ISO_15,STANDALONE,,,
d6cb5a5e-8a61-5eff-94e0-8c943503c412,CMM-BEARNG-89BAE5-001,IOCL-666311,IOCL,DEEP GROOVE BEARING 6202,BEARING|BALL_BEARING|DEEP_GROOVE|CHROME_STEEL|CHROME_STEEL|6202|ISO_15,STANDALONE,,,
11807f86-6a48-5d52-81db-a6dba74c66e2,CMM-BEARNG-91B0AC-001,HPCL-293575,HPCL,BEARING NO 6207,BEARING|BALL_BEARING|CHROME_STEEL|CHROME_STEEL|6207|ISO_15,STANDALONE,,,
ef902a0e-96f6-505a-8cfb-c7f593291da7,CMM-BEARNG-934EA5-001,ONGC-174669,ONGC,DEEP GROOVE BEARING 6202,BEARING|BALL_BEARING|DEEP_GROOVE|CHROME_STEEL|CHROME_STEEL|6202|ISO_15,STANDALONE,,,
033fb5a0-b524-53e7-9340-7bed54b57794,CMM-BEARNG-9A1FCB-001,CPCL-223411,CPCL,BALL BEARING 6207,BEARING|BALL_BEARING|CHROME_STEEL|CHROME_STEEL|6207|ISO_15,STANDALONE,,,
eaea8ec4-e572-5320-a738-3dfd0c7ef198,CMM-BEARNG-9A924B-001,HPCL-976870,HPCL,DEEP GROOVE BEARING 6204,BEARING|BALL_BEARING|DEEP_GROOVE|CHROME_STEEL|CHROME_STEEL|6204|ISO_15,STANDALONE,,,
43a84764-6a6b-553b-99dc-81fc50de739e,CMM-BEARNG-A3BC05-001,HPCL-146530,HPCL,DEEP GROOVE BEARING 6207,BEARING|BALL_BEARING|DEEP_GROOVE|CHROME_STEEL|CHROME_STEEL|6207|ISO_15,STANDALONE,,,
bdf95d80-e763-516b-8040-58d83d8c83f1,CMM-BEARNG-A7FF97-001,IOCL-779497,IOCL,BALL BEARING 6209,BEARING|BALL_BEARING|CHROME_STEEL|CHROME_STEEL|6209|ISO_15,STANDALONE,,,
ee5e441f-ce21-5bbc-ba48-7f484a3ed6d6,CMM-BEARNG-AB38A9-001,ONGC-257296,ONGC,BEARING NO 6209,BEARING|BALL_BEARING|CHROME_STEEL|CHROME_STEEL|6209|ISO_15,STANDALONE,,,
d38d66ef-3084-5cd5-99a7-3bf595c7a058,CMM-BEARNG-AD09A6-001,ONGC-941891,ONGC,DEEP GROOVE BEARING 6203,BEARING|BALL_BEARING|DEEP_GROOVE|CHROME_STEEL|CHROME_STEEL|6203|ISO_15,STANDALONE,,,
62ce1022-34b4-5856-9253-92b1ac7b2c1b,CMM-BEARNG-AFF85E-001,IOCL-408677,IOCL,BALL BEARING 6203,BEARING|BALL_BEARING|CHROME_STEEL|CHROME_STEEL|6203|ISO_15,STANDALONE,,,
204bd17c-3198-5e89-81a0-06e20f245cb0,CMM-BEARNG-B7FBEF-001,HPCL-152371,HPCL,DEEP GROOVE BEARING 6203,BEARING|BALL_BEARING|DEEP_GROOVE|CHROME_STEEL|CHROME_STEEL|6203|ISO_15,STANDALONE,,,
cc44f6d0-a6a1-52a1-a3b4-1a62132543f3,CMM-BEARNG-C4D23D-001,IOCL-831826,IOCL,DEEP GROOVE BEARING 6202,BEARING|BALL_BEARING|DEEP_GROOVE|CHROME_STEEL|CHROME_STEEL|6202|ISO_15,STANDALONE,,,
981fa090-0113-5fe6-af95-0eeed1fea655,CMM-BEARNG-C60D91-001,CPCL-335370,CPCL,BEARING NO 6204,BEARING|BALL_BEARING|CHROME_STEEL|CHROME_STEEL|6204|ISO_15,STANDALONE,,,
be0373cd-6600-532d-af2f-dae3d7fdf4f8,CMM-BEARNG-C97DC7-001,HPCL-395230,HPCL,DEEP GROOVE BEARING 6204,BEARING|BALL_BEARING|DEEP_GROOVE|CHROME_STEEL|CHROME_STEEL|6204|ISO_15,STANDALONE,,,
bdef7a02-bd28-58c9-a666-62e0fe11ca70,CMM-BEARNG-D0ECB4-001,ONGC-406353,ONGC,BEARING NO 6203,BEARING|BALL_BEARING|CHROME_STEEL|CHROME_STEEL|6203|ISO_15,STANDALONE,,,
05ca6c43-21a7-5172-89ba-de2961ff65a2,CMM-BEARNG-D136EE-001,IOCL-188505,IOCL,DEEP GROOVE BEARING 6204,BEARING|BALL_BEARING|DEEP_GROOVE|CHROME_STEEL|CHROME_STEEL|6204|ISO_15,STANDALONE,,,
310d0062-640e-5409-891d-43518e4540e0,CMM-BEARNG-D226F6-001,CPCL-991601,CPCL,BALL BEARING 6202,BEARING|BALL_BEARING|CHROME_STEEL|CHROME_STEEL|6202|ISO_15,STANDALONE,,,
57c07678-7e02-56b4-9685-701907601895,CMM-BEARNG-D3738B-001,HPCL-705578,HPCL,BALL BEARING 6203,BEARING|BALL_BEARING|CHROME_STEEL|CHROME_STEEL|6203|ISO_15,STANDALONE,,,
93c7ed9e-0c58-55f9-93c3-62a5d5a58b6b,CMM-BEARNG-D835FD-001,CPCL-971523,CPCL,BEARING NO 6206,BEARING|BALL_BEARING|CHROME_STEEL|CHROME_STEEL|6206|ISO_15,STANDALONE,,,
efeac49c-37dd-5466-8d56-b09804ed31f7,CMM-BEARNG-D96367-001,HPCL-467357,HPCL,BALL BEARING 6204,BEARING|BALL_BEARING|CHROME_STEEL|CHROME_STEEL|6204|ISO_15,STANDALONE,,,
5ceec249-12b0-5fbc-b2f3-cae4772fa4cf,CMM-BEARNG-DB7085-001,HPCL-986199,HPCL,BEARING NO 6207,BEARING|BALL_BEARING|CHROME_STEEL|CHROME_STEEL|6207|ISO_15,STANDALONE,,,
2900b425-1fce-58a5-92b6-965f8424a09b,CMM-BEARNG-E7C441-001,CPCL-899710,CPCL,DEEP GROOVE BEARING 6208,BEARING|BALL_BEARING|DEEP_GROOVE|CHROME_STEEL|CHROME_STEEL|6208|ISO_15,STANDALONE,,,
752dd94a-01bf-5ea0-be8f-42c148c8d191,CMM-BEARNG-E95E31-001,ONGC-562792,ONGC,DEEP GROOVE BEARING 6207,BEARING|BALL_BEARING|DEEP_GROOVE|CHROME_STEEL|CHROME_STEEL|6207|ISO_15,STANDALONE,,,
475b3547-f41c-5a9e-a7b2-aa910757b556,CMM-BEARNG-E9BE6D-001,CPCL-973760,CPCL,BALL BEARING 6207,BEARING|BALL_BEARING|CHROME_STEEL|CHROME_STEEL|6207|ISO_15,STANDALONE,,,
7879fa7a-5ebe-5523-a898-65f28a114b63,CMM-BEARNG-F388A1-001,CPCL-323725,CPCL,BEARING NO 6207,BEARING|BALL_BEARING|CHROME_STEEL|CHROME_STEEL|6207|ISO_15,STANDALONE,,,
a08703f3-439e-5bce-8e5a-68570e5c4e69,CMM-BEARNG-F4FE0E-001,CPCL-304313,CPCL,BALL BEARING 6208,BEARING|BALL_BEARING|CHROME_STEEL|CHROME_STEEL|6208|ISO_15,STANDALONE,,,
bff4fd6f-35dd-57c4-ade0-4481fa3f9e9a,CMM-BEARNG-FB3684-001,IOCL-325270,IOCL,BALL BEARING 6208,BEARING|BALL_BEARING|CHROME_STEEL|CHROME_STEEL|6208|ISO_15,STANDALONE,,,
7d0fd741-932d-5eaa-9e0a-b254436c5bb5,CMM-BEARNG-FE31AA-001,IOCL-333148,IOCL,BEARING NO 6208,BEARING|BALL_BEARING|CHROME_STEEL|CHROME_STEEL|6208|ISO_15,STANDALONE,,,
8dbffe70-8765-5c13-89a0-1fa227f153d9,CMM-ELECTR-030283-001,IOCL-539243,IOCL,HRC FUSE 16 A,ELECTRICAL|FUSE|CERAMIC|16_A|IS_13703,STANDALONE,,,
65bffb40-004d-5c69-ac61-fa38dfc6240b,CMM-ELECTR-041B28-001,IOCL-539166,IOCL,POWER CABLE 16 sq mm XLPE Copper,ELECTRICAL|CABLE|XLPE|XLPE_COPPER|16_SQ_MM|100_MM|IS_7098|PVC,STANDALONE,,,
ad755086-9213-5428-9c3b-1d65a664c932,CMM-ELECTR-048BA5-001,ONGC-614590,ONGC,XLPE CABLE 25 sq mm,ELECTRICAL|CABLE|XLPE|XLPE_ALUMINIUM|25_SQ_MM|100_MM|IS_7098|PVC,STANDALONE,,,
f14a13fe-b402-5102-9d45-4dab29ef29d1,CMM-ELECTR-04A554-001,HPCL-709363,HPCL,XLPE CABLE 10 sq mm,ELECTRICAL|CABLE|XLPE|XLPE_ALUMINIUM|10_SQ_MM|500_MM|IS_7098|PVC,STANDALONE,,,
70363d79-51d4-58f2-828e-19dce1df9839,CMM-ELECTR-05CC4D-001,CPCL-509229,CPCL,HRC CARTRIDGE 5 A,ELECTRICAL|FUSE|CERAMIC|5_A|IS_13703,STANDALONE,,,
ceb37a12-edd3-5041-a4f0-34759b8a695b,CMM-ELECTR-060926-001,ONGC-855482,ONGC,CARTRIDGE FUSE 16 A,ELECTRICAL|FUSE|CERAMIC|16_A|IS_13703,STANDALONE,,,
8ac9d3f1-db09-538b-8568-8339bb3b586f,CMM-ELECTR-065E97-001,IOCL-902169,IOCL,POWER CABLE 1.5 sq mm XLPE Copper,ELECTRICAL|CABLE|XLPE|XLPE_COPPER|15_SQ_MM|500_MM|IS_7098|PVC,STANDALONE,,,
4bab8ba3-c354-5bf8-a1df-ae634c49cbce,CMM-ELECTR-06655F-001,CPCL-498638,CPCL,XLPE CABLE 25 sq mm,ELECTRICAL|CABLE|XLPE|XLPE_ALUMINIUM|25_SQ_MM|1000_MM|IS_7098|PVC,STANDALONE,,,
3b2195b4-d926-54ba-ae27-7788a51902bb,CMM-ELECTR-093B69-001,ONGC-859720,ONGC,XLPE CABLE 25 sq mm,ELECTRICAL|CABLE|XLPE|XLPE_ALUMINIUM|25_SQ_MM|500_MM|IS_7098|PVC,STANDALONE,,,
b64fb540-12d6-55bc-bebb-c321f1883597,CMM-ELECTR-0A833B-001,CPCL-901320,CPCL,HRC FUSE 16 A,ELECTRICAL|FUSE|CERAMIC|16_A|IS_13703,STANDALONE,,,
633094e5-2d65-5a6f-bf15-719f3b385a8c,CMM-ELECTR-0C0C8A-001,IOCL-435083,IOCL,4 sq mm SQ MM POWER CABLE,ELECTRICAL|CABLE|XLPE|XLPE_COPPER|4_SQ_MM|1000_MM|IS_7098|PVC,STANDALONE,,,
f9a15286-2b0b-5bfe-95cb-3d9d253a01e8,CMM-ELECTR-0C28B9-001,ONGC-623732,ONGC,16 sq mm SQ MM POWER CABLE,ELECTRICAL|CABLE|XLPE|XLPE_COPPER|16_SQ_MM|1000_MM|IS_7098|PVC,STANDALONE,,,
5ff0391d-8338-5923-bc9f-5f8296fb6507,CMM-ELECTR-0C90AB-001,ONGC-201985,ONGC,POWER CABLE 50 sq mm XLPE Aluminium,ELECTRICAL|CABLE|XLPE|XLPE_ALUMINIUM|50_SQ_MM|1000_MM|IS_7098|PVC,STANDALONE,,,
c1a6da98-24f1-5770-ae09-aa49e431f23a,CMM-ELECTR-0D35A4-001,ONGC-748312,ONGC,16 sq mm SQ MM POWER CABLE,ELECTRICAL|CABLE|XLPE|XLPE_ALUMINIUM|16_SQ_MM|1000_MM|IS_7098|PVC,STANDALONE,,,
6d54b8ad-70ef-520d-89c5-98419d780ebe,CMM-ELECTR-0F555C-001,ONGC-555280,ONGC,POWER CABLE 16 sq mm XLPE Aluminium,ELECTRICAL|CABLE|XLPE|XLPE_ALUMINIUM|16_SQ_MM|100_MM|IS_7098|PVC,STANDALONE,,,
c1166e0c-6fea-5f70-b325-8b6ff3482de3,CMM-ELECTR-0FBCEE-001,ONGC-407326,ONGC,POWER CABLE 10 sq mm XLPE Copper,ELECTRICAL|CABLE|XLPE|XLPE_COPPER|10_SQ_MM|100_MM|IS_7098|PVC,STANDALONE,,,
0a0cec07-da09-554f-bfba-3b0b1cd3a743,CMM-ELECTR-157F61-001,IOCL-451449,IOCL,HRC FUSE 32 A,ELECTRICAL|FUSE|CERAMIC|32_A|IS_13703,STANDALONE,,,
4fa1ee92-4fd1-5db8-bab9-9396469a2e86,CMM-ELECTR-16A38D-001,IOCL-754071,IOCL,CARTRIDGE FUSE 32 A,ELECTRICAL|FUSE|CERAMIC|32_A|IS_13703,STANDALONE,,,
e67fa306-318f-5c26-bd25-5a97a7794121,CMM-ELECTR-173460-001,CPCL-122335,CPCL,HRC FUSE 5 A,ELECTRICAL|FUSE|CERAMIC|5_A|IS_13703,STANDALONE,,,
9c6c1cfa-db2e-59d7-97d2-0c3740e8b736,CMM-ELECTR-177F37-001,IOCL-253642,IOCL,HRC CARTRIDGE 2 A,ELECTRICAL|FUSE|CERAMIC|2_A|IS_13703,STANDALONE,,,
e3af0519-6655-5c94-a65d-086c3707fa8c,CMM-ELECTR-183D09-001,HPCL-217996,HPCL,XLPE CABLE 16 sq mm,ELECTRICAL|CABLE|XLPE|XLPE_ALUMINIUM|16_SQ_MM|100_MM|IS_7098|PVC,STANDALONE,,,
22bb2243-99e3-5f86-913f-aae0c746fc88,CMM-ELECTR-19433E-001,CPCL-441795,CPCL,10 sq mm SQ MM POWER CABLE,ELECTRICAL|CABLE|XLPE|XLPE_ALUMINIUM|10_SQ_MM|1000_MM|IS_7098|PVC,STANDALONE,,,
d8f87817-4bb1-5526-a447-334e0e3cc20a,CMM-ELECTR-199232-001,CPCL-771945,CPCL,6 sq mm SQ MM POWER CABLE,ELECTRICAL|CABLE|XLPE|XLPE_COPPER|6_SQ_MM|1000_MM|IS_7098|PVC,STANDALONE,,,
ed9a37b3-919b-5b94-b400-68dd2f69008b,CMM-ELECTR-1A09B1-001,CPCL-989806,CPCL,HRC FUSE 16 A,ELECTRICAL|FUSE|CERAMIC|16_A|IS_13703,STANDALONE,,,
7b8f3110-e73b-5b47-ba30-eb5b159e27b4,CMM-ELECTR-1A5C41-001,CPCL-333178,CPCL,CARTRIDGE FUSE 16 A,ELECTRICAL|FUSE|CERAMIC|16_A|IS_13703,STANDALONE,,,
4903dfcb-6eb4-5230-9408-d18a1c8454ae,CMM-ELECTR-1A830D-001,HPCL-944582,HPCL,HRC FUSE 63 A,ELECTRICAL|FUSE|CERAMIC|63_A|IS_13703,STANDALONE,,,
e82c3ab1-25ce-54a9-bc42-0edc81742c4c,CMM-ELECTR-1DC359-001,ONGC-744538,ONGC,HRC FUSE 10 A,ELECTRICAL|FUSE|CERAMIC|10_A|IS_13703,STANDALONE,,,
d1623981-62dc-5d11-904a-3bd899757fa0,CMM-ELECTR-1E0D0E-001,IOCL-217998,IOCL,HRC CARTRIDGE 2 A,ELECTRICAL|FUSE|CERAMIC|2_A|IS_13703,STANDALONE,,,
ce2c0830-15fe-521a-9c85-9e0d9c370d5d,CMM-ELECTR-1E875E-001,ONGC-443302,ONGC,CARTRIDGE FUSE 16 A,ELECTRICAL|FUSE|CERAMIC|16_A|IS_13703,STANDALONE,,,
ff8add2d-02f5-5896-99f4-f8c5745f6792,CMM-ELECTR-1EB01C-001,IOCL-343132,IOCL,HRC CARTRIDGE 5 A,ELECTRICAL|FUSE|CERAMIC|5_A|IS_13703,STANDALONE,,,
c17de8b9-4dce-5d62-a32e-a323996d75e1,CMM-ELECTR-1F2EA2-001,IOCL-458984,IOCL,XLPE CABLE 16 sq mm,ELECTRICAL|CABLE|XLPE|XLPE_ALUMINIUM|16_SQ_MM|500_MM|IS_7098|PVC,STANDALONE,,,
74509b23-7da1-516d-b8da-85d9df2e6986,CMM-ELECTR-24DAFA-001,HPCL-846807,HPCL,CARTRIDGE FUSE 2 A,ELECTRICAL|FUSE|CERAMIC|2_A|IS_13703,STANDALONE,,,
ed09e9bb-d8e4-507b-8282-b0918e9d7398,CMM-ELECTR-2702E9-001,IOCL-528516,IOCL,10 sq mm SQ MM POWER CABLE,ELECTRICAL|CABLE|XLPE|XLPE_ALUMINIUM|10_SQ_MM|1000_MM|IS_7098|PVC,STANDALONE,,,
4a25aedd-fea9-5f4e-bc0a-57875061511a,CMM-ELECTR-2741CF-001,ONGC-620028,ONGC,35 sq mm SQ MM POWER CABLE,ELECTRICAL|CABLE|XLPE|XLPE_ALUMINIUM|35_SQ_MM|1000_MM|IS_7098|PVC,STANDALONE,,,
43be8758-ed61-58f4-89f4-bc4de27e0b20,CMM-ELECTR-2766A3-001,IOCL-866317,IOCL,HRC CARTRIDGE 5 A,ELECTRICAL|FUSE|CERAMIC|5_A|IS_13703,STANDALONE,,,
445c7081-e85d-5c07-9dd7-939ce3b4fc05,CMM-ELECTR-27BC2F-001,HPCL-663810,HPCL,POWER CABLE 10 sq mm XLPE Aluminium,ELECTRICAL|CABLE|XLPE|XLPE_ALUMINIUM|10_SQ_MM|1000_MM|IS_7098|PVC,STANDALONE,,,
c2f831b7-a54b-5398-beea-e0979aed9ce0,CMM-ELECTR-2E0BE5-001,ONGC-214087,ONGC,POWER CABLE 16 sq mm XLPE Aluminium,ELECTRICAL|CABLE|XLPE|XLPE_ALUMINIUM|16_SQ_MM|500_MM|IS_7098|PVC,STANDALONE,,,
