CPSE,Material_Code,Material_Description,Material_Category,Material_Type,Specification,Material_Grade,Size,Length,Diameter,Coating,Unit,Manufacturer,Manufacturer_Part_No,Plant,Material_Status,Annual_Consumption,Last_Purchase_Date,Normalized_Description,Normalized_Specification,Normalized_Material_Grade,Normalized_Size,Normalized_Coating,Normalized_Manufacturer,Normalized_Manufacturer_Part_No,Normalized_Unit,Normalization_Changed,Normalization_Rule_Count,Normalization_Rules_Applied
CPCL,CPCL-442155,HEXAGONAL BOLT M16X75 ZINC PLATED,Fasteners,Bolt,IS 1363; M16 x 75 mm; Zinc Plated,Carbon Steel,M16,75 mm,20 mm,Zinc Plated,NOS,Metro Pumps & Valves,MET-954-40,Manali Terminal,Active,1166,2024-10-04,hexagonal bolt m16x75 zinc plated,is 1363; m16 x 75 mm; zinc plated,carbon steel,m16,zinc plated,Metro Pumps & Valves,MET-954-40,NOS,True,1,LOWERCASE_TEXT
ONGC,ONGC-437562,GATE VALVE FLANGED 2 in ASTM A216 WCB,Valves,Gate Valve,API 600; 2 in; ASTM A216 WCB,ASTM A216 WCB,2 in,,,Painted,NOS,Shree Valves & Fittings,SHR-361-10,Ahmedabad Asset,Active,249,2025-10-29,gate valve flanged 2 in astm a216 wcb,api 600; 2 in; astm a216 wcb,astm a216 wcb,2 in,painted,Shree Valves & Fittings,SHR-361-10,NOS,True,1,LOWERCASE_TEXT
CPCL,CPCL-972914,PRESSURE INDICATOR 0-25 bar,Instrumentation,Pressure Gauge,EN 837-1; Range 0-25 bar,SS 304,0-25 bar,,,SS,NOS,ABC Industrial Products,ABC-846-22,Manali Terminal,Active,3950,2025-08-11,pressure indicator 0-25 bar,en 837-1; range 0-25 bar,ss 304,0-25 bar,ss,ABC Industrial Products,ABC-846-22,NOS,True,1,LOWERCASE_TEXT
CPCL,CPCL-901752,PLAIN WASHER M8 GALVANIZED,Fasteners,Washer,IS 2016; M8; Galvanized,Carbon Steel,M8,,,Galvanized,NOS,Apex Industrial Systems,APE-781-31,Manali Terminal,Blocked,7647,2025-10-14,plain washer m8 galvanized,is 2016; m8; galvanized,carbon steel,m8,galvanized,Apex Industrial Systems,APE-781-31,NOS,True,1,LOWERCASE_TEXT
HPCL,HPCL-619092,GEAR OIL ISO VG 320,Lubricants,Lubricant,IS 10522; ISO VG 320,Mineral Oil,ISO VG 320,,,,LTR,Hindustan Mechanical,HIN-368-30,Visakh Refinery,Active,2364,2024-07-17,gear oil iso vg 320,is 10522; iso vg 320,mineral oil,iso vg 320,,Hindustan Mechanical,HIN-368-30,LTR,True,1,LOWERCASE_TEXT
IOCL,IOCL-780918,XLPE CABLE 25 sq mm,Electrical,Cable,IS 7098; 25 sq mm; 1000 m,XLPE Aluminium,25 sq mm,1000 mm,,PVC,MTR,Larsen Engineering,LAR-383-70,Mathura Refinery,Inactive,5469,2024-08-27,xlpe cable 25 sq mm,is 7098; 25 sq mm; 1000 m,xlpe aluminium,25 sq mm,pvc,Larsen Engineering,LAR-383-70,MTR,True,1,LOWERCASE_TEXT
HPCL,HPCL-709462,BEARING NO 6205,Bearings,Ball Bearing,ISO 15; Bearing 6205,Chrome Steel,6205,,,,NOS,Larsen Engineering,LAR-915-67,Vishakha Terminal,Active,17814,2024-05-26,bearing number 6205,iso 15; bearing 6205,chrome steel,6205,,Larsen Engineering,LAR-915-67,NOS,True,2,LOWERCASE_TEXT;ABBREVIATION_EXPANSION
CPCL,CPCL-339867,HYDRAULIC HOSE 3/4 in,Hoses,Hydraulic Hose,SAE 100 R2; 3/4 in; 1000 mm,Synthetic Rubber,3/4 in,1000 mm,,Rubber,MTR,Bharat Industrial Works,BHA-369-16,Chennai Refinery,Active,9264,2024-08-01,hydraulic hose 3/4 in,sae 100 r2; 3/4 in; 1000 mm,synthetic rubber,3/4 in,rubber,Bharat Industrial Works,BHA-369-16,MTR,True,1,LOWERCASE_TEXT
HPCL,HPCL-760518,PRESSURE SAFETY VALVE 2 in,Safety,Safety Valve,API 526; 2 in; SS 316,SS 316,2 in,,,SS,NOS,Eastern Cables,EAS-672-19,Visakh Refinery,Active,15152,2024-12-26,pressure safety valve 2 in,api 526; 2 in; ss 316,ss 316,2 in,ss,Eastern Cables,EAS-672-19,NOS,True,1,LOWERCASE_TEXT
HPCL,HPCL-763325,PLAIN WASHER M20 GALVANIZED,Fasteners,Washer,IS 2016; M20; Galvanized,Carbon Steel,M20,,,Galvanized,NOS,Eastern Cables,EAS-313-35,Mumbai Refinery,Inactive,11733,2025-06-22,plain washer m20 galvanized,is 2016; m20; galvanized,carbon steel,m20,galvanized,Eastern Cables,EAS-313-35,NOS,True,1,LOWERCASE_TEXT
HPCL,HPCL-494516,90 DEGREE ELBOW 2 in ASTM A234 WPB,Pipes & Fittings,Elbow,ASME B16.9; 2 in; ASTM A234 WPB,ASTM A234 WPB,2 in,,,Bare,MTR,Prime Electricals,PRI-550-28,Visakh Refinery,Active,21038,2025-07-28,90 degree elbow 2 in astm a234 wpb,asme b16.9; 2 in; astm a234 wpb,astm a234 wpb,2 in,bare,Prime Electricals,PRI-550-28,MTR,True,1,LOWERCASE_TEXT
IOCL,IOCL-408677,BALL BEARING 6203,Bearings,Ball Bearing,ISO 15; Bearing 6203,Chrome Steel,6203,,,,NOS,Precision Fasteners,PRE-592-70,Panipat Refinery,Active,5775,2025-12-15,ball bearing 6203,iso 15; bearing 6203,chrome steel,6203,,Precision Fasteners,PRE-592-70,NOS,True,1,LOWERCASE_TEXT
ONGC,ONGC-720138,HIGH PRESSURE HYDRAULIC HOSE 1/2 in,Hoses,Hydraulic Hose,SAE 100 R2; 1/2 in; 5000 mm,Synthetic Rubber,1/2 in,5000 mm,,Rubber,MTR,Eastern Cables,EAS-187-92,Mehsana Asset,Active,14166,2026-04-30,high pressure hydraulic hose 1/2 in,sae 100 r2; 1/2 in; 5000 mm,synthetic rubber,1/2 in,rubber,Eastern Cables,EAS-187-92,MTR,True,1,LOWERCASE_TEXT
ONGC,ONGC-429611,GEAR OIL EP 90,Lubricants,Lubricant,IS 10522; EP 90,Mineral Oil,EP 90,,,,LTR,National Bearing Works,NAT-542-35,Mumbai Offshore,Active,2721,2025-03-16,gear oil ep 90,is 10522; ep 90,mineral oil,ep 90,,National Bearing Works,NAT-542-35,LTR,True,1,LOWERCASE_TEXT
ONGC,ONGC-870999,SEAMLESS STEEL PIPE 6 in API 5L,Pipes & Fittings,Pipe,API 5L; 6 in; ASTM A106 Gr.B,ASTM A106 Gr.B,6 in,6000 mm,,Black,MTR,Eastern Cables,EAS-908-18,Ahmedabad Asset,Blocked,15190,2023-12-19,seamless steel pipe 6 in api 5l,api 5l; 6 in; astm a106 gr.b,astm a106 gr.b,6 in,black,Eastern Cables,EAS-908-18,MTR,True,1,LOWERCASE_TEXT
ONGC,ONGC-926319,CARTRIDGE FUSE 2 A,Electrical,Fuse,IS 13703; 2 A,Ceramic,2 A,,,,MTR,Apex Industrial Systems,APE-883-67,Mumbai Offshore,Active,11646,2024-06-01,cartridge fuse 2 a,is 13703; 2 a,ceramic,2 a,,Apex Industrial Systems,APE-883-67,MTR,True,1,LOWERCASE_TEXT
HPCL,HPCL-916217,SPIRAL GASKET 3 in,Seals,Gasket,ASME B16.20; 3 in; Graphite/SS 316,Graphite/SS 316,3 in,,,SS,NOS,Larsen Engineering,LAR-150-60,Vishakha Terminal,Active,1114,2025-11-12,spiral gasket 3 in,asme b16.20; 3 in; graphite/ss 316,graphite/ss 316,3 in,ss,Larsen Engineering,LAR-150-60,NOS,True,1,LOWERCASE_TEXT
HPCL,HPCL-301174,BALL BEARING 6205,Bearings,Ball Bearing,ISO 15; Bearing 6205,Chrome Steel,6205,,,,NOS,National Bearing Works,NAT-471-36,Visakh Refinery,Active,21997,2025-10-02,ball bearing 6205,iso 15; bearing 6205,chrome steel,6205,,National Bearing Works,NAT-471-36,NOS,True,1,LOWERCASE_TEXT
HPCL,HPCL-818229,HEXAGONAL NUT M16 ZINC PLATED,Fasteners,Nut,IS 1364; M16; Zinc Plated,Carbon Steel,M16,,,Zinc Plated,NOS,Eastern Cables,EAS-331-15,Visakh Refinery,Active,23958,2025-04-01,hexagonal nut m16 zinc plated,is 1364; m16; zinc plated,carbon steel,m16,zinc plated,Eastern Cables,EAS-331-15,NOS,True,1,LOWERCASE_TEXT
ONGC,ONGC-780882,WASHER M20 ZINC PLATED,Fasteners,Washer,IS 2016; M20; Zinc Plated,Carbon Steel,M20,,,Zinc Plated,NOS,Hindustan Mechanical,HIN-565-82,Mumbai Offshore,Active,17522,2026-05-19,washer m20 zinc plated,is 2016; m20; zinc plated,carbon steel,m20,zinc plated,Hindustan Mechanical,HIN-565-82,NOS,True,1,LOWERCASE_TEXT
CPCL,CPCL-326724,CENTRIFUGAL PUMP 40 mm SS 316,Pumps,Centrifugal Pump,API 610; 40 mm; SS 316,SS 316,40 mm,,,Painted,NOS,Metro Pumps & Valves,MET-886-74,Chennai Refinery,Active,18816,2026-04-03,centrifugal pump 40 mm stainless steel 316,api 610; 40 mm; ss 316,ss 316,40 mm,painted,Metro Pumps & Valves,MET-886-74,NOS,True,2,LOWERCASE_TEXT;ABBREVIATION_EXPANSION
ONGC,ONGC-978942,FLOATING BALL VALVE 3 in SS 316,Valves,Ball Valve,API 608; 3 in; SS 316,SS 316,3 in,,,SS,NOS,Shree Valves & Fittings,SHR-854-93,Mehsana Asset,Blocked,1070,2025-03-23,floating ball valve 3 in stainless steel 316,api 608; 3 in; ss 316,ss 316,3 in,ss,Shree Valves & Fittings,SHR-854-93,NOS,True,2,LOWERCASE_TEXT;ABBREVIATION_EXPANSION
CPCL,CPCL-626723,INDUSTRIAL GEAR LUBRICANT ISO VG 320,Lubricants,Lubricant,IS 10522; ISO VG 320,Mineral Oil,ISO VG 320,,,,LTR,National Bearing Works,NAT-349-29,Manali Terminal,Active,9509,2025-04-22,industrial gear lubricant iso vg 320,is 10522; iso vg 320,mineral oil,iso vg 320,,National Bearing Works,NAT-349-29,LTR,True,1,LOWERCASE_TEXT
CPCL,CPCL-814899,WELD NECK FLANGE 3 in ASME B16.5,Pipes & Fittings,Flange,ASME B16.5; 3 in; ASTM A105,ASTM A105,3 in,,,Bare,MTR,ABC Industrial Products,ABC-129-69,Manali Terminal,Active,17663,2023-12-21,weld neck flange 3 in asme b16.5,asme b16.5; 3 in; astm a105,astm a105,3 in,bare,ABC Industrial Products,ABC-129-69,MTR,True,1,LOWERCASE_TEXT
CPCL,CPCL-540253,XLPE CABLE 10 sq mm,Electrical,Cable,IS 7098; 10 sq mm; 500 m,XLPE Copper,10 sq mm,500 mm,,PVC,MTR,Metro Pumps & Valves,MET-626-19,Chennai Refinery,Active,14239,2026-06-27,xlpe cable 10 sq mm,is 7098; 10 sq mm; 500 m,xlpe copper,10 sq mm,pvc,Metro Pumps & Valves,MET-626-19,MTR,True,1,LOWERCASE_TEXT
IOCL,IOCL-537451,HEX HEAD BOLT M20-75 MM GALVANIZED,Fasteners,Bolt,IS 1363; M20 x 75 mm; Galvanized,Carbon Steel,M20,75 mm,12 mm,Galvanized,NOS,ABC Industrial Products,ABC-483-57,Paradip Refinery,Active,18773,2024-02-19,hexagonal head bolt m20-75 mm galvanized,is 1363; m20 x 75 mm; galvanized,carbon steel,m20,galvanized,ABC Industrial Products,ABC-483-57,NOS,True,2,LOWERCASE_TEXT;ABBREVIATION_EXPANSION
HPCL,HPCL-247733,HYD HOSE 1-1/2 in 1000 MM,Hoses,Hydraulic Hose,SAE 100 R2; 1-1/2 in; 1000 mm,Synthetic Rubber,1-1/2 in,1000 mm,,Rubber,MTR,Hindustan Mechanical,HIN-899-26,Vishakha Terminal,Active,19422,2025-10-20,hyd hose 1-1/2 in 1000 mm,sae 100 r2; 1-1/2 in; 1000 mm,synthetic rubber,1-1/2 in,rubber,Hindustan Mechanical,HIN-899-26,MTR,True,1,LOWERCASE_TEXT
IOCL,IOCL-182391,WELD NECK FLANGE 3 in ASTM A105,Pipes & Fittings,Flange,ASME B16.5; 3 in; ASTM A105,ASTM A105,3 in,,,Bare,MTR,Larsen Engineering,LAR-512-73,Paradip Refinery,Active,12771,2026-02-24,weld neck flange 3 in astm a105,asme b16.5; 3 in; astm a105,astm a105,3 in,bare,Larsen Engineering,LAR-512-73,MTR,True,1,LOWERCASE_TEXT
HPCL,HPCL-736021,RTD PT100 4-wire 500 MM,Instrumentation,Temperature Sensor,IEC 60751; 4-wire; 500 mm,Pt100,4-wire,500 mm,6 mm,SS,NOS,Prime Electricals,PRI-161-94,Vishakha Terminal,Active,14544,2025-09-14,rtd pt100 4-wire 500 mm,iec 60751; 4-wire; 500 mm,pt100,4-wire,ss,Prime Electricals,PRI-161-94,NOS,True,1,LOWERCASE_TEXT
CPCL,CPCL-323725,BEARING NO 6207,Bearings,Ball Bearing,ISO 15; Bearing 6207,Chrome Steel,6207,,,,NOS,National Bearing Works,NAT-116-27,Chennai Refinery,Active,3454,2025-06-12,bearing number 6207,iso 15; bearing 6207,chrome steel,6207,,National Bearing Works,NAT-116-27,NOS,True,2,LOWERCASE_TEXT;ABBREVIATION_EXPANSION
ONGC,ONGC-201985,POWER CABLE 50 sq mm XLPE Aluminium,Electrical,Cable,IS 7098; 50 sq mm; 1000 m,XLPE Aluminium,50 sq mm,1000 mm,,PVC,MTR,ABC Industrial Products,ABC-539-44,Ahmedabad Asset,Active,1606,2025-10-17,power cable 50 sq mm xlpe aluminium,is 7098; 50 sq mm; 1000 m,xlpe aluminium,50 sq mm,pvc,ABC Industrial Products,ABC-539-44,MTR,True,1,LOWERCASE_TEXT
CPCL,CPCL-250702,ELBOW 2 in ASTM A234 WPB,Pipes & Fittings,Elbow,ASME B16.9; 2 in; ASTM A234 WPB,ASTM A234 WPB,2 in,,,Bare,MTR,Apex Industrial Systems,APE-641-96,Manali Terminal,Active,22218,2026-05-02,elbow 2 in astm a234 wpb,asme b16.9; 2 in; astm a234 wpb,astm a234 wpb,2 in,bare,Apex Industrial Systems,APE-641-96,MTR,True,1,LOWERCASE_TEXT
IOCL,IOCL-782148,50 sq mm SQ MM POWER CABLE,Electrical,Cable,IS 7098; 50 sq mm; 100 m,XLPE Aluminium,50 sq mm,100 mm,,PVC,MTR,Eastern Cables,EAS-272-30,Paradip Refinery,Active,15779,2024-10-27,50 sq mm sq mm power cable,is 7098; 50 sq mm; 100 m,xlpe aluminium,50 sq mm,pvc,Eastern Cables,EAS-272-30,MTR,True,1,LOWERCASE_TEXT
HPCL,HPCL-494567,90 DEGREE ELBOW 4 in ASME B16.9,Pipes & Fittings,Elbow,ASME B16.9; 4 in; ASTM A234 WPB,ASTM A234 WPB,4 in,,,Bare,MTR,Precision Fasteners,PRE-267-14,Visakh Refinery,Active,20206,2024-12-12,90 degree elbow 4 in asme b16.9,asme b16.9; 4 in; astm a234 wpb,astm a234 wpb,4 in,bare,Precision Fasteners,PRE-267-14,MTR,True,1,LOWERCASE_TEXT
IOCL,IOCL-842516,RTD SENSOR 3-wire,Instrumentation,Temperature Sensor,IEC 60751; 3-wire; 500 mm,Pt100,3-wire,500 mm,6 mm,SS,NOS,Precision Fasteners,PRE-290-85,Paradip Refinery,Active,24696,2024-07-28,rtd sensor 3-wire,iec 60751; 3-wire; 500 mm,pt100,3-wire,ss,Precision Fasteners,PRE-290-85,NOS,True,1,LOWERCASE_TEXT
IOCL,IOCL-780739,GEAR OIL EP 140,Lubricants,Lubricant,IS 10522; EP 140,Mineral Oil,EP 140,,,,LTR,Prime Electricals,PRI-775-99,Paradip Refinery,Active,5311,2024-01-13,gear oil ep 140,is 10522; ep 140,mineral oil,ep 140,,Prime Electricals,PRI-775-99,LTR,True,1,LOWERCASE_TEXT
CPCL,CPCL-376621,SPIRAL WOUND GASKET 6 in Graphite/SS 316,Seals,Gasket,ASME B16.20; 6 in; Graphite/SS 316,Graphite/SS 316,6 in,,,SS,NOS,National Bearing Works,NAT-575-38,Chennai Refinery,Active,21842,2023-12-23,spiral wound gasket 6 in graphite/stainless steel 316,asme b16.20; 6 in; graphite/ss 316,graphite/ss 316,6 in,ss,National Bearing Works,NAT-575-38,NOS,True,2,LOWERCASE_TEXT;ABBREVIATION_EXPANSION
CPCL,CPCL-324962,RTD SENSOR 3-wire,Instrumentation,Temperature Sensor,IEC 60751; 3-wire; 300 mm,Pt100,3-wire,300 mm,8 mm,SS,NOS,Eastern Cables,EAS-503-48,Chennai Refinery,Active,2547,2024-07-20,rtd sensor 3-wire,iec 60751; 3-wire; 300 mm,pt100,3-wire,ss,Eastern Cables,EAS-503-48,NOS,True,1,LOWERCASE_TEXT
ONGC,ONGC-800943,SPIRAL GASKET 6 in,Seals,Gasket,ASME B16.20; 6 in; Graphite/SS 316,Graphite/SS 316,6 in,,,SS,NOS,ABC Industrial Products,ABC-147-22,Mehsana Asset,Blocked,18095,2024-04-07,spiral gasket 6 in,asme b16.20; 6 in; graphite/ss 316,graphite/ss 316,6 in,ss,ABC Industrial Products,ABC-147-22,NOS,True,1,LOWERCASE_TEXT
ONGC,ONGC-658962,GLOBE VALVE 3 in API 623,Valves,Globe Valve,API 623; 3 in; ASTM A216 WCB,ASTM A216 WCB,3 in,,,Painted,NOS,ABC Industrial Products,ABC-545-79,Mumbai Offshore,Inactive,681,2025-11-03,globe valve 3 in api 623,api 623; 3 in; astm a216 wcb,astm a216 wcb,3 in,painted,ABC Industrial Products,ABC-545-79,NOS,True,1,LOWERCASE_TEXT
CPCL,CPCL-101777,35 sq mm SQ MM POWER CABLE,Electrical,Cable,IS 7098; 35 sq mm; 500 m,XLPE Aluminium,35 sq mm,500 mm,,PVC,MTR,Precision Fasteners,PRE-643-72,Chennai Refinery,Active,9300,2026-05-11,35 sq mm sq mm power cable,is 7098; 35 sq mm; 500 m,xlpe aluminium,35 sq mm,pvc,Precision Fasteners,PRE-643-72,MTR,True,1,LOWERCASE_TEXT
HPCL,HPCL-684918,CENTRIFUGAL PUMP 100 mm SS 316,Pumps,Centrifugal Pump,API 610; 100 mm; SS 316,SS 316,100 mm,,,Painted,NOS,Eastern Cables,EAS-102-66,Mumbai Refinery,Active,13889,2025-09-03,centrifugal pump 100 mm stainless steel 316,api 610; 100 mm; ss 316,ss 316,100 mm,painted,Eastern Cables,EAS-102-66,NOS,True,2,LOWERCASE_TEXT;ABBREVIATION_EXPANSION
ONGC,ONGC-963294,HRC CARTRIDGE 10 A,Electrical,Fuse,IS 13703; 10 A,Ceramic,10 A,,,,MTR,Apex Industrial Systems,APE-696-13,Mehsana Asset,Active,11172,2026-06-15,high rupturing capacity cartridge 10 a,is 13703; 10 a,ceramic,10 a,,Apex Industrial Systems,APE-696-13,MTR,True,2,LOWERCASE_TEXT;ABBREVIATION_EXPANSION
HPCL,HPCL-809570,HEXAGONAL NUT M16 ZINC PLATED,Fasteners,Nut,IS 1364; M16; Zinc Plated,Carbon Steel,M16,,,Zinc Plated,NOS,Prime Electricals,PRI-994-51,Visakh Refinery,Active,23000,2025-07-12,hexagonal nut m16 zinc plated,is 1364; m16; zinc plated,carbon steel,m16,zinc plated,Prime Electricals,PRI-994-51,NOS,True,1,LOWERCASE_TEXT
IOCL,IOCL-498113,XLPE CABLE 50 sq mm,Electrical,Cable,IS 7098; 50 sq mm; 1000 m,XLPE Aluminium,50 sq mm,1000 mm,,PVC,MTR,Prime Electricals,PRI-348-17,Panipat Refinery,Active,7274,2026-08-01,xlpe cable 50 sq mm,is 7098; 50 sq mm; 1000 m,xlpe aluminium,50 sq mm,pvc,Prime Electricals,PRI-348-17,MTR,True,1,LOWERCASE_TEXT
IOCL,IOCL-333148,BEARING NO 6208,Bearings,Ball Bearing,ISO 15; Bearing 6208,Chrome Steel,6208,,,,NOS,ABC Industrial Products,ABC-133-68,Mathura Refinery,Active,1616,2025-01-23,bearing number 6208,iso 15; bearing 6208,chrome steel,6208,,ABC Industrial Products,ABC-133-68,NOS,True,2,LOWERCASE_TEXT;ABBREVIATION_EXPANSION
HPCL,HPCL-231107,HYD HOSE 1 in 5000 MM,Hoses,Hydraulic Hose,SAE 100 R2; 1 in; 5000 mm,Synthetic Rubber,1 in,5000 mm,,Rubber,MTR,Shree Valves & Fittings,SHR-103-54,Vishakha Terminal,Active,7324,2024-11-27,hyd hose 1 in 5000 mm,sae 100 r2; 1 in; 5000 mm,synthetic rubber,1 in,rubber,Shree Valves & Fittings,SHR-103-54,MTR,True,1,LOWERCASE_TEXT
CPCL,CPCL-391637,FLOATING BALL VALVE 1/2 in,Valves,Ball Valve,API 608; 1/2 in; SS 316,SS 316,1/2 in,,,SS,NOS,ABC Industrial Products,ABC-114-35,Chennai Refinery,Active,15787,2024-08-20,floating ball valve 1/2 in,api 608; 1/2 in; ss 316,ss 316,1/2 in,ss,ABC Industrial Products,ABC-114-35,NOS,True,1,LOWERCASE_TEXT
CPCL,CPCL-446578,WELD NECK FLANGE 1 in ASTM A105,Pipes & Fittings,Flange,ASME B16.5; 1 in; ASTM A105,ASTM A105,1 in,,,Bare,MTR,Metro Pumps & Valves,MET-327-17,Chennai Refinery,Active,1764,2024-04-14,weld neck flange 1 in astm a105,asme b16.5; 1 in; astm a105,astm a105,1 in,bare,Metro Pumps & Valves,MET-327-17,MTR,True,1,LOWERCASE_TEXT
ONGC,ONGC-674081,PRESSURE INDICATOR 0-100 bar,Instrumentation,Pressure Gauge,EN 837-1; Range 0-100 bar,SS 304,0-100 bar,,,SS,NOS,Precision Fasteners,PRE-829-18,Ahmedabad Asset,Active,16772,2024-02-01,pressure indicator 0-100 bar,en 837-1; range 0-100 bar,ss 304,0-100 bar,ss,Precision Fasteners,PRE-829-18,NOS,True,1,LOWERCASE_TEXT
CPCL,CPCL-602205,PLAIN WASHER M12 ZINC PLATED,Fasteners,Washer,IS 2016; M12; Zinc Plated,Carbon Steel,M12,,,Zinc Plated,NOS,Hindustan Mechanical,HIN-865-13,Manali Terminal,Active,15589,2025-09-29,plain washer m12 zinc plated,is 2016; m12; zinc plated,carbon steel,m12,zinc plated,Hindustan Mechanical,HIN-865-13,NOS,True,1,LOWERCASE_TEXT
IOCL,IOCL-949445,FLOATING BALL VALVE 3 in,Valves,Ball Valve,API 608; 3 in; SS 316,SS 316,3 in,,,SS,NOS,Shree Valves & Fittings,SHR-506-57,Panipat Refinery,Active,22691,2025-11-17,floating ball valve 3 in,api 608; 3 in; ss 316,ss 316,3 in,ss,Shree Valves & Fittings,SHR-506-57,NOS,True,1,LOWERCASE_TEXT
HPCL,HPCL-657841,HIGH PRESSURE HYDRAULIC HOSE 1/2 in,Hoses,Hydraulic Hose,SAE 100 R2; 1/2 in; 5000 mm,Synthetic Rubber,1/2 in,5000 mm,,Rubber,MTR,Hindustan Mechanical,HIN-358-68,Visakh Refinery,Active,534,2026-07-24,high pressure hydraulic hose 1/2 in,sae 100 r2; 1/2 in; 5000 mm,synthetic rubber,1/2 in,rubber,Hindustan Mechanical,HIN-358-68,MTR,True,1,LOWERCASE_TEXT
