cmm_code,common_description,material_family,governance_status,member_count,cpse_count,consuming_cpses,primary_uom,total_annual_consumption,avg_consumption_per_member,plant_count,dominant_plant
CMM-BEARNG-7BE095-001,BEARING | AISI 52100 | 6408,BEARING,AMBIGUOUS_REVIEW_REQUIRED,4,3,Coal India;NMDC;ONGC,NOS,30027,7506.75,4,Mumbai Offshore Complex
CMM-BEARNG-87EFE4-001,BEARING | BALL BEARING | CHROME STEEL | 6408 | ABMA 9,BEARING,VERIFIED_HARMONIZED,6,6,Coal India;HPCL;NMDC;NTPC;ONGC;SAIL,NOS,45084,7514.0,6,Singareni Collieries
CMM-BEARNG-89DC5A-001,BEARING | CHROME STEEL | 6408 | ISO 15,BEARING,VERIFIED_HARMONIZED,5,5,BHEL;HPCL;NTPC;ONGC;SAIL,NOS,26241,5248.2,5,Sivasagar Asset
CMM-BEARNG-947C4D-001,BEARING | BALL BEARING | CHROME STEEL | 22208 | DIN 625,BEARING,VERIFIED_HARMONIZED,5,5,Coal India;HPCL;NMDC;NTPC;ONGC,NOS,44368,8873.6,5,Korba Coalfields
CMM-BEARNG-98CF95-001,BEARING | BALL BEARING | STAINLESS STEEL | 6304 | ABMA 9,BEARING,VERIFIED_HARMONIZED,4,4,BHEL;Coal India;ONGC;SAIL,NOS,37529,9382.25,4,Talcher Coalfields
CMM-BEARNG-A0A0E6-001,BEARING | CHROME STEEL | 30205 | ISO 15,BEARING,VERIFIED_HARMONIZED,2,2,HPCL;NMDC,NOS,13637,6818.5,2,Visakh Refinery
CMM-BEARNG-A2CB3C-001,BEARING | STAINLESS STEEL | 6208 | ISO 15,BEARING,AMBIGUOUS_REVIEW_REQUIRED,9,7,BHEL;HPCL;IOCL;NMDC;NTPC;ONGC;SAIL,NOS,58219,6468.78,9,Donimalai Iron Ore Mine
CMM-BEARNG-A353C8-001,BEARING | CHROME STEEL | 6304 | DIN 625,BEARING,VERIFIED_HARMONIZED,2,2,HPCL;SAIL,NOS,8720,4360.0,2,Bhatinda Refinery
CMM-BEARNG-A74B84-001,BEARING | CHROME STEEL | 6304 | ISO 15,BEARING,AMBIGUOUS_REVIEW_REQUIRED,7,6,BHEL;Coal India;HPCL;NMDC;NTPC;ONGC,NOS,65337,9333.86,7,Mumbai Offshore Complex
CMM-BEARNG-BE8172-001,BEARING | STAINLESS STEEL | 6304 | DIN 625,BEARING,VERIFIED_HARMONIZED,2,2,Coal India;SAIL,NOS,25857,12928.5,2,Rourkela Steel Plant
CMM-BEARNG-D5796C-001,BEARING | AISI 52100 | 6408 | ISO 15,BEARING,AMBIGUOUS_REVIEW_REQUIRED,4,3,BHEL;ONGC;SAIL,NOS,26158,6539.5,4,Bhopal Complex
CMM-BEARNG-D8807A-001,BEARING | CHROME STEEL | 30205 | ABMA 9,BEARING,VERIFIED_HARMONIZED,2,2,HPCL;ONGC,NOS,21885,10942.5,2,Mumbai Refinery
CMM-BEARNG-D93FF3-001,BEARING | STAINLESS STEEL | 6208 | ABMA 9,BEARING,VERIFIED_HARMONIZED,2,2,Coal India;HPCL,NOS,17251,8625.5,2,Mumbai Refinery
CMM-BEARNG-F25509-001,BEARING | BALL BEARING | CHROME STEEL | 6304 | ABMA 9,BEARING,VERIFIED_HARMONIZED,2,2,BHEL;ONGC,NOS,23968,11984.0,2,Ankleshwar Asset
CMM-BEARNG-F56C70-001,BEARING | AISI 52100 | 22208 | ISO 15,BEARING,VERIFIED_HARMONIZED,2,2,IOCL;ONGC,NOS,21459,10729.5,2,Gujarat Refinery
CMM-BEARNG-FBE56C-001,BEARING | STAINLESS STEEL | 6408 | ISO 15,BEARING,AMBIGUOUS_REVIEW_REQUIRED,4,3,BHEL;NTPC;ONGC,NOS,28390,7097.5,4,Uran Plant
CMM-BEARNG-FCEB8C-001,BEARING | BALL BEARING | CHROME STEEL | 30205,BEARING,AMBIGUOUS_REVIEW_REQUIRED,4,3,Coal India;HPCL;NMDC,NOS,24893,6223.25,4,Kirandul Complex
CMM-BEARNG-FF170C-001,BEARING | CHROME STEEL | 6408,BEARING,AMBIGUOUS_REVIEW_REQUIRED,15,7,BHEL;Coal India;HPCL;IOCL;NMDC;NTPC;SAIL,NOS,139187,9279.13,13,Singrauli STPS
CMM-ELECTR-05219D-001,ELECTRICAL | COPPER WOUND | 11 KV | IS 12615,ELECTRICAL,STANDALONE_CANDIDATE,1,1,SAIL,MTR,613,613.0,1,Rourkela Steel Plant
CMM-ELECTR-06EE71-001,ELECTRICAL | COPPER WOUND | 11 KV | IS 12615,ELECTRICAL,STANDALONE_CANDIDATE,1,1,SAIL,MTR,14994,14994.0,1,Bokaro Steel Plant
CMM-ELECTR-079AD5-001,ELECTRICAL | COPPER WOUND | 6.6 KV | IS 12615,ELECTRICAL,STANDALONE_CANDIDATE,1,1,NTPC,MTR,14271,14271.0,1,Korba STPS
CMM-ELECTR-07DFFB-001,ELECTRICAL | XLPE INSULATED | 4C X 25 SQ MM | IEC 60502,ELECTRICAL,VERIFIED_HARMONIZED,2,2,NTPC;SAIL,MTR,22292,11146.0,2,Durgapur Steel Plant
CMM-ELECTR-097381-001,ELECTRICAL | COPPER | 11 KV | IS 12066,ELECTRICAL,STANDALONE_CANDIDATE,1,1,BHEL,MTR,9999,9999.0,1,Ranipet Complex
CMM-ELECTR-0CDB57-001,ELECTRICAL | XLPE INSULATED | 1C X 300 SQ MM | IS 7098,ELECTRICAL,VERIFIED_HARMONIZED,4,4,BHEL;Coal India;HPCL;NMDC,MTR,32363,8090.75,4,Korba Coalfields
CMM-ELECTR-0F8E4F-001,ELECTRICAL | COPPER WOUND | 6.6 KV | IS 12615,ELECTRICAL,STANDALONE_CANDIDATE,1,1,NTPC,MTR,359,359.0,1,Ramagundam STPS
CMM-ELECTR-11038D-001,ELECTRICAL | COPPER | 11 KV | IS 12066,ELECTRICAL,STANDALONE_CANDIDATE,1,1,BHEL,MTR,7766,7766.0,1,Bhopal Complex
CMM-ELECTR-134D89-001,ELECTRICAL | COPPER WOUND | 6.6 KV | IS 12615,ELECTRICAL,STANDALONE_CANDIDATE,1,1,NTPC,MTR,849,849.0,1,Ramagundam STPS
CMM-ELECTR-1415A1-001,ELECTRICAL | COPPER WOUND | 6.6 KV | IS 12615,ELECTRICAL,STANDALONE_CANDIDATE,1,1,NTPC,MTR,13894,13894.0,1,Ramagundam STPS
CMM-ELECTR-1643F5-001,ELECTRICAL | ALUMINIUM | 4C X 25 SQ MM | IEC 60502,ELECTRICAL,AMBIGUOUS_REVIEW_REQUIRED,5,4,Coal India;HPCL;NMDC;SAIL,MTR,35992,7198.4,5,Bhatinda Refinery
CMM-ELECTR-16A521-001,ELECTRICAL | COPPER WOUND | 6.6 KV | IS 12615,ELECTRICAL,STANDALONE_CANDIDATE,1,1,NTPC,MTR,10102,10102.0,1,Dadri Plant
CMM-ELECTR-1729E4-001,ELECTRICAL | COPPER WOUND | 6.6 KV | IS 12615,ELECTRICAL,STANDALONE_CANDIDATE,1,1,NTPC,MTR,7430,7430.0,1,Ramagundam STPS
CMM-ELECTR-175B83-001,ELECTRICAL | COPPER WOUND | 11 KV | IS 12615,ELECTRICAL,STANDALONE_CANDIDATE,1,1,SAIL,MTR,10704,10704.0,1,Bokaro Steel Plant
CMM-ELECTR-19262A-001,ELECTRICAL | ALUMINIUM | 4C X 25 SQ MM | IS 2026,ELECTRICAL,VERIFIED_HARMONIZED,5,5,BHEL;HPCL;NTPC;ONGC;SAIL,MTR,30872,6174.4,5,Singrauli STPS
CMM-ELECTR-1AC0A4-001,ELECTRICAL | XLPE INSULATED | 4C X 25 SQ MM | IS 7098,ELECTRICAL,VERIFIED_HARMONIZED,2,2,Coal India;ONGC,MTR,12402,6201.0,2,Sivasagar Asset
CMM-ELECTR-1B15DC-001,ELECTRICAL | COPPER WOUND | 11 KV | IS 12615,ELECTRICAL,STANDALONE_CANDIDATE,1,1,SAIL,MTR,5620,5620.0,1,Bhilai Steel Plant
CMM-ELECTR-1B3CEC-001,ELECTRICAL | ALUMINIUM | 415V 100A | IS 13947,ELECTRICAL,VERIFIED_HARMONIZED,2,2,BHEL;NTPC,MTR,16847,8423.5,2,Ranipet Complex
CMM-ELECTR-1B4C8C-001,ELECTRICAL | COPPER WOUND | 6.6 KV | IS 12615,ELECTRICAL,STANDALONE_CANDIDATE,1,1,NTPC,MTR,3764,3764.0,1,Korba STPS
CMM-ELECTR-1C59B4-001,ELECTRICAL | XLPE INSULATED | 415V 100A | IS 13947,ELECTRICAL,VERIFIED_HARMONIZED,2,2,NMDC;ONGC,MTR,10700,5350.0,2,Donimalai Iron Ore Mine
CMM-ELECTR-1CBE78-001,ELECTRICAL | COPPER WOUND | 11 KV | IS 12615,ELECTRICAL,STANDALONE_CANDIDATE,1,1,SAIL,MTR,9227,9227.0,1,Durgapur Steel Plant
CMM-ELECTR-1E23AC-001,ELECTRICAL | COPPER WOUND | 6.6 KV | IS 12615,ELECTRICAL,STANDALONE_CANDIDATE,1,1,NTPC,MTR,2621,2621.0,1,Ramagundam STPS
CMM-ELECTR-1E911F-001,ELECTRICAL | COPPER | 11 KV | IS 12066,ELECTRICAL,STANDALONE_CANDIDATE,1,1,BHEL,MTR,12801,12801.0,1,Trichy Complex
CMM-ELECTR-2093AE-001,ELECTRICAL | COPPER WOUND | 6.6 KV | IS 12615,ELECTRICAL,STANDALONE_CANDIDATE,1,1,NTPC,MTR,1901,1901.0,1,Vindhyachal STPS
CMM-ELECTR-219D3D-001,ELECTRICAL | COPPER | 11 KV | IS 12066,ELECTRICAL,STANDALONE_CANDIDATE,1,1,BHEL,MTR,4320,4320.0,1,Bhopal Complex
CMM-ELECTR-23E752-001,ELECTRICAL | COPPER | 11 KV | IS 12066,ELECTRICAL,STANDALONE_CANDIDATE,1,1,BHEL,MTR,11714,11714.0,1,Ranipet Complex
CMM-ELECTR-240377-001,ELECTRICAL | COPPER | 4C X 25 SQ MM | IS 7098,ELECTRICAL,AMBIGUOUS_REVIEW_REQUIRED,4,3,Coal India;HPCL;ONGC,MTR,25083,6270.75,3,Singareni Collieries
CMM-ELECTR-253FB4-001,ELECTRICAL | ALUMINIUM | 1C X 300 SQ MM | IS 13947,ELECTRICAL,VERIFIED_HARMONIZED,2,2,IOCL;NMDC,MTR,19842,9921.0,2,Bailadila Iron Ore Mine
CMM-ELECTR-2624B2-001,ELECTRICAL | COPPER | 11 KV | IS 12066,ELECTRICAL,STANDALONE_CANDIDATE,1,1,BHEL,MTR,8807,8807.0,1,Ranipet Complex
CMM-ELECTR-266707-001,ELECTRICAL | CABLE | COPPER | 3C X 95 SQ MM | IS 2026,ELECTRICAL,VERIFIED_HARMONIZED,5,5,BHEL;HPCL;NTPC;ONGC;SAIL,MTR,36648,7329.6,5,Ankleshwar Asset
CMM-ELECTR-27E90F-001,ELECTRICAL | COPPER WOUND | 11 KV | IS 12615,ELECTRICAL,STANDALONE_CANDIDATE,1,1,SAIL,MTR,14530,14530.0,1,Rourkela Steel Plant
CMM-ELECTR-292F7A-001,ELECTRICAL | COPPER WOUND | 11 KV | IS 12615,ELECTRICAL,STANDALONE_CANDIDATE,1,1,SAIL,MTR,2149,2149.0,1,Bhilai Steel Plant
CMM-ELECTR-2B3848-001,ELECTRICAL | COPPER WOUND | 11 KV | IS 12615,ELECTRICAL,STANDALONE_CANDIDATE,1,1,SAIL,MTR,9914,9914.0,1,Bhilai Steel Plant
CMM-ELECTR-2BD4BF-001,ELECTRICAL | COPPER | 11 KV | IS 12066,ELECTRICAL,STANDALONE_CANDIDATE,1,1,BHEL,MTR,12866,12866.0,1,Trichy Complex
CMM-ELECTR-2DA2A7-001,ELECTRICAL | COPPER WOUND | 11 KV | IS 12615,ELECTRICAL,STANDALONE_CANDIDATE,1,1,SAIL,MTR,8837,8837.0,1,Bokaro Steel Plant
CMM-ELECTR-2DB37C-001,ELECTRICAL | COPPER | 415V 100A | IEC 60502,ELECTRICAL,VERIFIED_HARMONIZED,5,5,BHEL;HPCL;NMDC;NTPC;SAIL,MTR,53872,10774.4,5,Rourkela Steel Plant
CMM-ELECTR-2E2EAB-001,ELECTRICAL | COPPER | 11 KV | IS 12066,ELECTRICAL,STANDALONE_CANDIDATE,1,1,BHEL,MTR,9788,9788.0,1,Hazira Complex
CMM-ELECTR-31D0C0-001,ELECTRICAL | COPPER WOUND | 11 KV | IS 12615,ELECTRICAL,STANDALONE_CANDIDATE,1,1,SAIL,MTR,10234,10234.0,1,Durgapur Steel Plant
CMM-ELECTR-329BB9-001,ELECTRICAL | ALUMINIUM | 4C X 25 SQ MM | IS 2026,ELECTRICAL,VERIFIED_HARMONIZED,2,2,BHEL;ONGC,MTR,17355,8677.5,2,Ranipet Complex
CMM-ELECTR-388D16-001,ELECTRICAL | COPPER WOUND | 11 KV | IS 12615,ELECTRICAL,STANDALONE_CANDIDATE,1,1,SAIL,MTR,14609,14609.0,1,Bhilai Steel Plant
CMM-ELECTR-38C73C-001,ELECTRICAL | COPPER WOUND | 11 KV | IS 12615,ELECTRICAL,STANDALONE_CANDIDATE,1,1,SAIL,MTR,3754,3754.0,1,Bokaro Steel Plant
CMM-ELECTR-3CC9FD-001,ELECTRICAL | COPPER WOUND | 6.6 KV | IS 12615,ELECTRICAL,STANDALONE_CANDIDATE,1,1,NTPC,MTR,8881,8881.0,1,Singrauli STPS
CMM-ELECTR-3DB83C-001,ELECTRICAL | COPPER WOUND | 11 KV | IS 12615,ELECTRICAL,STANDALONE_CANDIDATE,1,1,SAIL,MTR,10771,10771.0,1,Bhilai Steel Plant
CMM-ELECTR-3E612F-001,ELECTRICAL | ALUMINIUM | 415V 100A | IS 7098,ELECTRICAL,VERIFIED_HARMONIZED,2,2,Coal India;ONGC,MTR,12210,6105.0,2,Ankleshwar Asset
CMM-ELECTR-3F0657-001,ELECTRICAL | COPPER | 3C X 95 SQ MM | IEC 60502,ELECTRICAL,VERIFIED_HARMONIZED,2,2,IOCL;NMDC,MTR,21217,10608.5,2,Panipat Refinery
CMM-ELECTR-3F141A-001,ELECTRICAL | ALUMINIUM | 3C X 95 SQ MM | IS 2026,ELECTRICAL,VERIFIED_HARMONIZED,2,2,Coal India;NMDC,MTR,4293,2146.5,2,Kirandul Complex
CMM-ELECTR-3FF7C7-001,ELECTRICAL | COPPER | 11 KV | IS 12066,ELECTRICAL,STANDALONE_CANDIDATE,1,1,BHEL,MTR,14368,14368.0,1,Bhopal Complex
CMM-ELECTR-404961-001,ELECTRICAL | COPPER | 11 KV | IS 12066,ELECTRICAL,STANDALONE_CANDIDATE,1,1,BHEL,MTR,128,128.0,1,Trichy Complex
CMM-ELECTR-40640A-001,ELECTRICAL | ALUMINIUM | 1C X 300 SQ MM | IS 7098,ELECTRICAL,VERIFIED_HARMONIZED,2,2,Coal India;NTPC,MTR,9241,4620.5,2,Korba Coalfields
CMM-ELECTR-40BE38-001,ELECTRICAL | COPPER | 11 KV | IS 12066,ELECTRICAL,STANDALONE_CANDIDATE,1,1,BHEL,MTR,1023,1023.0,1,Trichy Complex
CMM-ELECTR-42C083-001,ELECTRICAL | COPPER WOUND | 6.6 KV | IS 12615,ELECTRICAL,STANDALONE_CANDIDATE,1,1,NTPC,MTR,7332,7332.0,1,Dadri Plant
CMM-ELECTR-42D24C-001,ELECTRICAL | ALUMINIUM | 415V 100A | IEC 60502,ELECTRICAL,AMBIGUOUS_REVIEW_REQUIRED,8,7,BHEL;Coal India;HPCL;IOCL;NTPC;ONGC;SAIL,MTR,61573,7696.62,8,Singrauli STPS
CMM-ELECTR-430B1B-001,ELECTRICAL | COPPER WOUND | 6.6 KV | IS 12615,ELECTRICAL,STANDALONE_CANDIDATE,1,1,NTPC,MTR,5141,5141.0,1,Ramagundam STPS
CMM-ELECTR-43E6A3-001,ELECTRICAL | XLPE INSULATED | 4C X 25 SQ MM | IS 7098,ELECTRICAL,VERIFIED_HARMONIZED,3,3,BHEL;NMDC;SAIL,MTR,10145,3381.67,3,Ranipet Complex
CMM-ELECTR-43ED2A-001,ELECTRICAL | COPPER | 11 KV | IS 12066,ELECTRICAL,STANDALONE_CANDIDATE,1,1,BHEL,MTR,8813,8813.0,1,Hazira Complex
CMM-ELECTR-45D485-001,ELECTRICAL | COPPER WOUND | 6.6 KV | IS 12615,ELECTRICAL,STANDALONE_CANDIDATE,1,1,NTPC,MTR,3542,3542.0,1,Singrauli STPS
CMM-ELECTR-45EFBF-001,ELECTRICAL | XLPE INSULATED | 3C X 95 SQ MM | IS 2026,ELECTRICAL,VERIFIED_HARMONIZED,6,6,BHEL;Coal India;HPCL;IOCL;NMDC;SAIL,MTR,64113,10685.5,6,Haldia Refinery
CMM-ELECTR-47E8A6-001,ELECTRICAL | ALUMINIUM | 4C X 25 SQ MM | IS 2026,ELECTRICAL,VERIFIED_HARMONIZED,4,4,HPCL;NMDC;NTPC;SAIL,MTR,22464,5616.0,4,Mumbai Refinery
CMM-ELECTR-48D3C0-001,ELECTRICAL | COPPER WOUND | 6.6 KV | IS 12615,ELECTRICAL,STANDALONE_CANDIDATE,1,1,NTPC,MTR,11449,11449.0,1,Ramagundam STPS
CMM-ELECTR-4AC8DE-001,ELECTRICAL | COPPER | 11 KV | IS 12066,ELECTRICAL,STANDALONE_CANDIDATE,1,1,BHEL,MTR,9663,9663.0,1,Trichy Complex
CMM-ELECTR-4BEE8D-001,ELECTRICAL | COPPER WOUND | 6.6 KV | IS 12615,ELECTRICAL,STANDALONE_CANDIDATE,1,1,NTPC,MTR,10616,10616.0,1,Singrauli STPS
CMM-ELECTR-4D158E-001,ELECTRICAL | CABLE | XLPE INSULATED | 415V 100A | IS 7098,ELECTRICAL,VERIFIED_HARMONIZED,6,6,BHEL;Coal India;NMDC;NTPC;ONGC;SAIL,MTR,30847,5141.17,6,Singareni Collieries
CMM-ELECTR-4DD7B9-001,ELECTRICAL | XLPE INSULATED | 4C X 25 SQ MM | IS 13947,ELECTRICAL,VERIFIED_HARMONIZED,2,2,NMDC;NTPC,MTR,18199,9099.5,2,Dadri Plant
CMM-ELECTR-4E0C90-001,ELECTRICAL | COPPER WOUND | 11 KV | IS 12615,ELECTRICAL,STANDALONE_CANDIDATE,1,1,SAIL,MTR,12736,12736.0,1,Bhilai Steel Plant
CMM-ELECTR-4F0B42-001,ELECTRICAL | COPPER WOUND | 11 KV | IS 12615,ELECTRICAL,STANDALONE_CANDIDATE,1,1,SAIL,MTR,2036,2036.0,1,Bokaro Steel Plant
CMM-ELECTR-4F6C14-001,ELECTRICAL | CABLE | ALUMINIUM | 415V 100A | IS 13947,ELECTRICAL,VERIFIED_HARMONIZED,2,2,BHEL;HPCL,MTR,23949,11974.5,2,Hazira Complex
CMM-ELECTR-5540AC-001,ELECTRICAL | COPPER | 3C X 95 SQ MM | IS 13947,ELECTRICAL,VERIFIED_HARMONIZED,2,2,BHEL;SAIL,MTR,9909,4954.5,2,Bhilai Steel Plant
CMM-ELECTR-56D0D9-001,ELECTRICAL | COPPER WOUND | 11 KV | IS 12615,ELECTRICAL,STANDALONE_CANDIDATE,1,1,SAIL,MTR,13416,13416.0,1,Rourkela Steel Plant
CMM-ELECTR-577BA8-001,ELECTRICAL | COPPER WOUND | 11 KV | IS 12615,ELECTRICAL,STANDALONE_CANDIDATE,1,1,SAIL,MTR,9832,9832.0,1,Bokaro Steel Plant
CMM-ELECTR-57B37B-001,ELECTRICAL | COPPER WOUND | 11 KV | IS 12615,ELECTRICAL,STANDALONE_CANDIDATE,1,1,SAIL,MTR,5331,5331.0,1,Rourkela Steel Plant
CMM-ELECTR-57C166-001,ELECTRICAL | XLPE INSULATED | 3C X 95 SQ MM | IS 2026,ELECTRICAL,VERIFIED_HARMONIZED,2,2,BHEL;Coal India,MTR,14320,7160.0,2,Jharia Coalfields
CMM-ELECTR-5803F6-001,ELECTRICAL | COPPER WOUND | 6.6 KV | IS 12615,ELECTRICAL,STANDALONE_CANDIDATE,1,1,NTPC,MTR,3301,3301.0,1,Dadri Plant
CMM-ELECTR-5BFEDC-001,ELECTRICAL | COPPER | 11 KV | IS 12066,ELECTRICAL,STANDALONE_CANDIDATE,1,1,BHEL,MTR,11691,11691.0,1,Hazira Complex
CMM-ELECTR-5D0DEF-001,ELECTRICAL | COPPER WOUND | 6.6 KV | IS 12615,ELECTRICAL,STANDALONE_CANDIDATE,1,1,NTPC,MTR,7092,7092.0,1,Ramagundam STPS
CMM-ELECTR-5DBC7A-001,ELECTRICAL | COPPER WOUND | 11 KV | IS 12615,ELECTRICAL,STANDALONE_CANDIDATE,1,1,SAIL,MTR,13112,13112.0,1,Rourkela Steel Plant
CMM-ELECTR-5E70EC-001,ELECTRICAL | COPPER WOUND | 6.6 KV | IS 12615,ELECTRICAL,STANDALONE_CANDIDATE,1,1,NTPC,MTR,3429,3429.0,1,Korba STPS
CMM-ELECTR-5E9127-001,ELECTRICAL | XLPE INSULATED | 3C X 95 SQ MM | IS 7098,ELECTRICAL,VERIFIED_HARMONIZED,2,2,Coal India;SAIL,MTR,19755,9877.5,2,Korba Coalfields
CMM-ELECTR-5F5D06-001,ELECTRICAL | COPPER WOUND | 6.6 KV | IS 12615,ELECTRICAL,STANDALONE_CANDIDATE,1,1,NTPC,MTR,14178,14178.0,1,Korba STPS
CMM-ELECTR-609134-001,ELECTRICAL | XLPE INSULATED | 3C X 95 SQ MM | IS 2026,ELECTRICAL,VERIFIED_HARMONIZED,6,6,HPCL;IOCL;NMDC;NTPC;ONGC;SAIL,MTR,53215,8869.17,6,Visakh Refinery
CMM-ELECTR-62038E-001,ELECTRICAL | ALUMINIUM | 415V 100A | IS 13947,ELECTRICAL,VERIFIED_HARMONIZED,8,8,BHEL;Coal India;HPCL;IOCL;NMDC;NTPC;ONGC;SAIL,MTR,76164,9520.5,8,Singrauli STPS
CMM-ELECTR-6358A6-001,ELECTRICAL | COPPER WOUND | 11 KV | IS 12615,ELECTRICAL,STANDALONE_CANDIDATE,1,1,SAIL,MTR,7452,7452.0,1,Rourkela Steel Plant
CMM-ELECTR-65A8AE-001,ELECTRICAL | COPPER | 3C X 95 SQ MM | IS 2026,ELECTRICAL,VERIFIED_HARMONIZED,5,5,BHEL;HPCL;IOCL;NTPC;SAIL,MTR,41475,8295.0,5,Mathura Refinery
CMM-ELECTR-6828F9-001,ELECTRICAL | COPPER WOUND | 6.6 KV | IS 12615,ELECTRICAL,STANDALONE_CANDIDATE,1,1,NTPC,MTR,7136,7136.0,1,Dadri Plant
CMM-ELECTR-699EDB-001,ELECTRICAL | COPPER | 11 KV | IS 12066,ELECTRICAL,STANDALONE_CANDIDATE,1,1,BHEL,MTR,14364,14364.0,1,Hazira Complex
CMM-ELECTR-69B125-001,ELECTRICAL | COPPER WOUND | 6.6 KV | IS 12615,ELECTRICAL,STANDALONE_CANDIDATE,1,1,NTPC,MTR,11885,11885.0,1,Korba STPS
CMM-ELECTR-69D882-001,ELECTRICAL | COPPER | 11 KV | IS 12066,ELECTRICAL,STANDALONE_CANDIDATE,1,1,BHEL,MTR,12983,12983.0,1,Bhopal Complex
CMM-ELECTR-6BCE45-001,ELECTRICAL | XLPE INSULATED | 3C X 95 SQ MM | IEC 60502,ELECTRICAL,VERIFIED_HARMONIZED,5,5,BHEL;Coal India;IOCL;ONGC;SAIL,MTR,44027,8805.4,5,Mumbai Offshore Complex
CMM-ELECTR-6CF258-001,ELECTRICAL | COPPER WOUND | 6.6 KV | IS 12615,ELECTRICAL,STANDALONE_CANDIDATE,1,1,NTPC,MTR,758,758.0,1,Ramagundam STPS
