Material_Code,CPSE,Material_Description,Normalized_Description,Material_Category,Material_Type,Specification,Material_Grade,Size,Length,Diameter,Coating,Unit,EX_material_family,EX_material_type,EX_material_subtype,EX_material,EX_material_grade,EX_size,EX_nominal_size,EX_length,EX_width,EX_height,EX_diameter,EX_thickness,EX_pressure_class,EX_schedule,EX_rating,EX_standard,EX_specification,EX_coating,EX_connection_type,EX_end_type,EX_construction,EX_orientation,EX_bearing_number,EX_manufacturer,EX_manufacturer_part_no,EX_unit,extraction_attribute_count,extraction_has_conflict,extraction_conflicts_detail,extraction_rules_applied,extraction_sources_used
NMDC-410001,NMDC,STORES ITEM Control Valve 2 in WCB,stores item control valve 2 in wcb,Valves,Control Valve,API 598,WCB,2 in,,,,NOS,valve,,,,WCB,2 in,,,,,,,,,,API 598,API 598,,,,,,,KSB,KSB-CV-2in-73,NOS,8,False,,FAMILY_VALVE; GRADE_A105; MANUFACTURER_FROM_FIELD; PART_NO_FROM_FIELD; SIZE_INCH; STANDARD_FROM_SPECIFICATION; UNIT_FROM_FIELD,description; specification; structured_field
SAIL-300003,SAIL,CONTROL VALVE WCB 2 in,control valve wcb 2 in,Valves,Control Valve,API 598,WCB,2 in,,,,NOS,valve,,,,WCB,2 in,,,,,,,,,,API 598,API 598,,,,,,,KSB,KSB-CV-2in-71,NOS,8,False,,FAMILY_VALVE; GRADE_A105; MANUFACTURER_FROM_FIELD; PART_NO_FROM_FIELD; SIZE_INCH; STANDARD_FROM_SPECIFICATION; UNIT_FROM_FIELD,description; specification; structured_field
CIL-400003,Coal India,CONTROL VALVE WCB 2 in,control valve wcb 2 in,Valves,Control Valve,API 598,WCB,2 in,,,,NOS,valve,,,,WCB,2 in,,,,,,,,,,API 598,API 598,,,,,,,KSB,KSB-CV-2in-52,NOS,8,False,,FAMILY_VALVE; GRADE_A105; MANUFACTURER_FROM_FIELD; PART_NO_FROM_FIELD; SIZE_INCH; STANDARD_FROM_SPECIFICATION; UNIT_FROM_FIELD,description; specification; structured_field
IOCL-110003,IOCL,"XLPE Cable, XLPE Insulated, SIZE 4C x 25 sq mm","xlpe cable, xlpe insulated, size 4c x 25 sq mm",Electrical,XLPE Cable,IEC 60502,XLPE Insulated,4C x 25 sq mm,100 m,,,MTR,electrical,cable,,xlpe,XLPE Insulated,4C x 25 sq mm,,100 m,,,,,,,,IEC 60502,IEC 60502,,,,,,,Siemens,SIE-XC-4Cx25sqmm-36,MTR,11,True,size: '4C x 25 sq mm' vs '25 sq mm',FAMILY_ELECTRICAL; GRADE_FROM_STRUCTURED_FIELD; LENGTH_FROM_FIELD; MANUFACTURER_FROM_FIELD; MATERIAL_XLPE; PART_NO_FROM_FIELD; SIZE_FROM_STRUCTURED_FIELD; STANDARD_FROM_SPECIFICATION; TYPE_FROM_MATERIAL_TYPE; UNIT_FROM_FIELD,description; specification; structured_field
BHEL-500002,BHEL,XLPE Cable 4C x 25 sq mm XLPE Insulated,xlpe cable 4c x 25 sq mm xlpe insulated,Electrical,XLPE Cable,IEC 60502,XLPE Insulated,4C x 25 sq mm,100 m,,,MTR,electrical,cable,,xlpe,XLPE Insulated,4C x 25 sq mm,,100 m,,,,,,,,IEC 60502,IEC 60502,,,,,,,Siemens,SIE-XC-4Cx25sqmm-61,MTR,11,True,size: '4C x 25 sq mm' vs '25 sq mm',FAMILY_ELECTRICAL; GRADE_FROM_STRUCTURED_FIELD; LENGTH_FROM_FIELD; MANUFACTURER_FROM_FIELD; MATERIAL_XLPE; PART_NO_FROM_FIELD; SIZE_FROM_STRUCTURED_FIELD; STANDARD_FROM_SPECIFICATION; TYPE_FROM_MATERIAL_TYPE; UNIT_FROM_FIELD,description; specification; structured_field
NMDC-410002,NMDC,STORES ITEM 4C x 25 sq mm XLPE Cable - XLPE Insulated,stores item 4c x 25 sq mm xlpe cable - xlpe insulated,Electrical,XLPE Cable,IEC 60502,XLPE Insulated,4C x 25 sq mm,100 m,,,MTR,electrical,cable,,xlpe,XLPE Insulated,4C x 25 sq mm,,100 m,,,,,,,,IEC 60502,IEC 60502,,,,,,,Siemens,SIE-XC-4Cx25sqmm-07,MTR,11,True,size: '4C x 25 sq mm' vs '25 sq mm',FAMILY_ELECTRICAL; GRADE_FROM_STRUCTURED_FIELD; LENGTH_FROM_FIELD; MANUFACTURER_FROM_FIELD; MATERIAL_XLPE; PART_NO_FROM_FIELD; SIZE_FROM_STRUCTURED_FIELD; STANDARD_FROM_SPECIFICATION; TYPE_FROM_MATERIAL_TYPE; UNIT_FROM_FIELD,description; specification; structured_field
NMDC-410003,NMDC,"STORES ITEM RECIPROCATING PUMP, Carbon Steel, SIZE DN 80","stores item reciprocating pump, carbon steel, size dn 80",Pumps,Reciprocating Pump,IS 1520,Carbon Steel,DN 80,,DN 80,PTFE Lined,SET,pump,,,carbon steel,Carbon Steel,DN 80,,,,,DN 80,,,,,IS 1520,IS 1520,ptfe lined,,,,,,Kirloskar,KIR-RP-DN80-22,SET,11,True,size: 'DN 80' vs 'DN80',COATING_FROM_STRUCTURED_FIELD; DIAMETER_FROM_FIELD; FAMILY_PUMP; GRADE_FROM_STRUCTURED_FIELD; MANUFACTURER_FROM_FIELD; MATERIAL_CARBON_STEEL; PART_NO_FROM_FIELD; SIZE_FROM_STRUCTURED_FIELD; STANDARD_FROM_SPECIFICATION; UNIT_FROM_FIELD,description; specification; structured_field
CIL-400004,Coal India,SPARE-RECIPROCATING PUMP Carbon Steel DN 80,spare-reciprocating pump carbon steel dn 80,Pumps,Reciprocating Pump,IS 1520,Carbon Steel,DN 80,,DN 80,PTFE Lined,SET,pump,,,carbon steel,Carbon Steel,DN 80,,,,,DN 80,,,,,IS 1520,IS 1520,ptfe lined,,,,,,Kirloskar,KIR-RP-DN80-50,SET,11,True,size: 'DN 80' vs 'DN80',COATING_FROM_STRUCTURED_FIELD; DIAMETER_FROM_FIELD; FAMILY_PUMP; GRADE_FROM_STRUCTURED_FIELD; MANUFACTURER_FROM_FIELD; MATERIAL_CARBON_STEEL; PART_NO_FROM_FIELD; SIZE_FROM_STRUCTURED_FIELD; STANDARD_FROM_SPECIFICATION; UNIT_FROM_FIELD,description; specification; structured_field
ONGC-100003,ONGC,IND.RECIPROCATING PUMP DN 80 Carbon Steel,ind.reciprocating pump dn 80 carbon steel,Pumps,Reciprocating Pump,IS 1520,Carbon Steel,DN 80,,DN 80,PTFE Lined,SET,pump,,,carbon steel,Carbon Steel,DN 80,,,,,DN 80,,,,,IS 1520,IS 1520,ptfe lined,,,,,,Kirloskar,KIR-RP-DN80-20,SET,11,True,size: 'DN 80' vs 'DN80',COATING_FROM_STRUCTURED_FIELD; DIAMETER_FROM_FIELD; FAMILY_PUMP; GRADE_FROM_STRUCTURED_FIELD; MANUFACTURER_FROM_FIELD; MATERIAL_CARBON_STEEL; PART_NO_FROM_FIELD; SIZE_FROM_STRUCTURED_FIELD; STANDARD_FROM_SPECIFICATION; UNIT_FROM_FIELD,description; specification; structured_field
SAIL-300004,SAIL,Reciprocating Pump DN 80 Carbon Steel,reciprocating pump dn 80 carbon steel,Pumps,Reciprocating Pump,IS 1520,Carbon Steel,DN 80,,DN 80,PTFE Lined,SET,pump,,,carbon steel,Carbon Steel,DN 80,,,,,DN 80,,,,,IS 1520,IS 1520,ptfe lined,,,,,,Kirloskar,KIR-RP-DN80-07,SET,11,True,size: 'DN 80' vs 'DN80',COATING_FROM_STRUCTURED_FIELD; DIAMETER_FROM_FIELD; FAMILY_PUMP; GRADE_FROM_STRUCTURED_FIELD; MANUFACTURER_FROM_FIELD; MATERIAL_CARBON_STEEL; PART_NO_FROM_FIELD; SIZE_FROM_STRUCTURED_FIELD; STANDARD_FROM_SPECIFICATION; UNIT_FROM_FIELD,description; specification; structured_field
NTPC-200002,NTPC,Reciprocating Pump DN 80 Carbon Steel,reciprocating pump dn 80 carbon steel,Pumps,Reciprocating Pump,IS 1520,Carbon Steel,DN 80,,DN 80,PTFE Lined,SET,pump,,,carbon steel,Carbon Steel,DN 80,,,,,DN 80,,,,,IS 1520,IS 1520,ptfe lined,,,,,,Kirloskar,KIR-RP-DN80-52,SET,11,True,size: 'DN 80' vs 'DN80',COATING_FROM_STRUCTURED_FIELD; DIAMETER_FROM_FIELD; FAMILY_PUMP; GRADE_FROM_STRUCTURED_FIELD; MANUFACTURER_FROM_FIELD; MATERIAL_CARBON_STEEL; PART_NO_FROM_FIELD; SIZE_FROM_STRUCTURED_FIELD; STANDARD_FROM_SPECIFICATION; UNIT_FROM_FIELD,description; specification; structured_field
IOCL-110004,IOCL,"SPARE-Reciprocating Pump, Carbon Steel, SIZE DN 80","spare-reciprocating pump, carbon steel, size dn 80",Pumps,Reciprocating Pump,IS 1520,Carbon Steel,DN 80,,DN 80,PTFE Lined,SET,pump,,,carbon steel,Carbon Steel,DN 80,,,,,DN 80,,,,,IS 1520,IS 1520,ptfe lined,,,,,,Kirloskar,KIR-RP-DN80-41,SET,11,True,size: 'DN 80' vs 'DN80',COATING_FROM_STRUCTURED_FIELD; DIAMETER_FROM_FIELD; FAMILY_PUMP; GRADE_FROM_STRUCTURED_FIELD; MANUFACTURER_FROM_FIELD; MATERIAL_CARBON_STEEL; PART_NO_FROM_FIELD; SIZE_FROM_STRUCTURED_FIELD; STANDARD_FROM_SPECIFICATION; UNIT_FROM_FIELD,description; specification; structured_field
SAIL-300005,SAIL,FLANGE DN 50 IS 2062,flange dn 50 is 2062,Pipes & Fittings,Flange,ASME B16.5,IS 2062,DN 50,12 m,150 mm,Galvanized,MTR,pipe/fitting,flange,,,IS 2062,DN 50,,12 m,,,150 mm,,,,,ASME B16.5,ASME B16.5,galvanized,,,,,,Jindal Pipes,JINPIP-F-DN50-21,MTR,12,True,size: 'DN 50' vs 'DN50',COATING_FROM_STRUCTURED_FIELD; DIAMETER_FROM_FIELD; FAMILY_PIPE; GRADE_FROM_STRUCTURED_FIELD; LENGTH_FROM_FIELD; MANUFACTURER_FROM_FIELD; PART_NO_FROM_FIELD; SIZE_FROM_STRUCTURED_FIELD; STANDARD_FROM_SPECIFICATION; TYPE_FROM_MATERIAL_TYPE; UNIT_FROM_FIELD,specification; structured_field
ONGC-100004,ONGC,"Flange, IS 2062, SIZE DN 50","flange, is 2062, size dn 50",Pipes & Fittings,Flange,ASME B16.5,IS 2062,DN 50,12 m,150 mm,Galvanized,MTR,pipe/fitting,flange,,,IS 2062,DN 50,,12 m,,,150 mm,,,,,ASME B16.5,ASME B16.5,galvanized,,,,,,Jindal Pipes,JINPIP-F-DN50-18,MTR,12,True,size: 'DN 50' vs 'DN50',COATING_FROM_STRUCTURED_FIELD; DIAMETER_FROM_FIELD; FAMILY_PIPE; GRADE_FROM_STRUCTURED_FIELD; LENGTH_FROM_FIELD; MANUFACTURER_FROM_FIELD; PART_NO_FROM_FIELD; SIZE_FROM_STRUCTURED_FIELD; STANDARD_FROM_SPECIFICATION; TYPE_FROM_MATERIAL_TYPE; UNIT_FROM_FIELD,specification; structured_field
NTPC-200003,NTPC,SPARE-FLANGE DN 50 IS 2062,spare-flange dn 50 is 2062,Pipes & Fittings,Flange,ASME B16.5,IS 2062,DN 50,12 m,150 mm,Galvanized,MTR,pipe/fitting,flange,,,IS 2062,DN 50,,12 m,,,150 mm,,,,,ASME B16.5,ASME B16.5,galvanized,,,,,,Jindal Pipes,JINPIP-F-DN50-88,MTR,12,True,size: 'DN 50' vs 'DN50',COATING_FROM_STRUCTURED_FIELD; DIAMETER_FROM_FIELD; FAMILY_PIPE; GRADE_FROM_STRUCTURED_FIELD; LENGTH_FROM_FIELD; MANUFACTURER_FROM_FIELD; PART_NO_FROM_FIELD; SIZE_FROM_STRUCTURED_FIELD; STANDARD_FROM_SPECIFICATION; TYPE_FROM_MATERIAL_TYPE; UNIT_FROM_FIELD,specification; structured_field
IOCL-110005,IOCL,IND.FLANGE IS 2062 DN 50,ind.flange is 2062 dn 50,Pipes & Fittings,Flange,ASME B16.5,IS 2062,DN 50,12 m,150 mm,Galvanized,MTR,pipe/fitting,flange,,,IS 2062,DN 50,,12 m,,,150 mm,,,,,ASME B16.5,ASME B16.5,galvanized,,,,,,Jindal Pipes,JINPIP-F-DN50-99,MTR,12,True,size: 'DN 50' vs 'DN50',COATING_FROM_STRUCTURED_FIELD; DIAMETER_FROM_FIELD; FAMILY_PIPE; GRADE_FROM_STRUCTURED_FIELD; LENGTH_FROM_FIELD; MANUFACTURER_FROM_FIELD; PART_NO_FROM_FIELD; SIZE_FROM_STRUCTURED_FIELD; STANDARD_FROM_SPECIFICATION; TYPE_FROM_MATERIAL_TYPE; UNIT_FROM_FIELD,specification; structured_field
NTPC-200004,NTPC,2 in Gate Valve - LCB,2 in gate valve - lcb,Valves,Gate Valve,API 600,LCB,2 in,,,,NOS,valve,gate valve,,,LCB,2 in,,,,,,,,,,API 600,API 600,,,,,,,Leader Valves,LEAVAL-GV-2in-46,NOS,9,False,,FAMILY_VALVE; GRADE_A105; MANUFACTURER_FROM_FIELD; PART_NO_FROM_FIELD; SIZE_INCH; STANDARD_FROM_SPECIFICATION; TYPE_GATE_VALVE; UNIT_FROM_FIELD,description; specification; structured_field
ONGC-100005,ONGC,STORES ITEM Gate Valve 2 in LCB,stores item gate valve 2 in lcb,Valves,Gate Valve,API 600,LCB,2 in,,,,NOS,valve,gate valve,,,LCB,2 in,,,,,,,,,,API 600,API 600,,,,,,,Leader Valves,LEAVAL-GV-2in-31,NOS,9,False,,FAMILY_VALVE; GRADE_A105; MANUFACTURER_FROM_FIELD; PART_NO_FROM_FIELD; SIZE_INCH; STANDARD_FROM_SPECIFICATION; TYPE_GATE_VALVE; UNIT_FROM_FIELD,description; specification; structured_field
SAIL-300006,SAIL,STORES ITEM Gate Valve 2 in LCB,stores item gate valve 2 in lcb,Valves,Gate Valve,API 600,LCB,2 in,,,,NOS,valve,gate valve,,,LCB,2 in,,,,,,,,,,API 600,API 600,,,,,,,Leader Valves,LEAVAL-GV-2in-35,NOS,9,False,,FAMILY_VALVE; GRADE_A105; MANUFACTURER_FROM_FIELD; PART_NO_FROM_FIELD; SIZE_INCH; STANDARD_FROM_SPECIFICATION; TYPE_GATE_VALVE; UNIT_FROM_FIELD,description; specification; structured_field
BHEL-500003,BHEL,IND.Gate Valve 2 in LCB,ind.gate valve 2 in lcb,Valves,Gate Valve,API 600,LCB,2 in,,,,NOS,valve,gate valve,,,LCB,2 in,,,,,,,,,,API 600,API 600,,,,,,,Leader Valves,LEAVAL-GV-2in-45,NOS,9,False,,FAMILY_VALVE; GRADE_A105; MANUFACTURER_FROM_FIELD; PART_NO_FROM_FIELD; SIZE_INCH; STANDARD_FROM_SPECIFICATION; TYPE_GATE_VALVE; UNIT_FROM_FIELD,description; specification; structured_field
ONGC-100006,ONGC,SPARE-6 in PIPE SMLS - SS316L,spare-6 in pipe smls - ss316l,Pipes & Fittings,Seamless Pipe,ASME B16.5,SS316L,6 in,,6 in,Zinc Plated,MTR,pipe/fitting,pipe,,stainless steel,SS316L,6 in,,,,,6 in,,,,,ASME B16.5,ASME B16.5,zinc plated,,,,,,ISMT,ISM-SP-6in-05,MTR,12,True,material_grade: 'SS316L' vs 'SS 316L',COATING_FROM_STRUCTURED_FIELD; DIAMETER_FROM_FIELD; FAMILY_PIPE; GRADE_FROM_STRUCTURED_FIELD; MANUFACTURER_FROM_FIELD; MATERIAL_STAINLESS_STEEL; PART_NO_FROM_FIELD; SIZE_FROM_STRUCTURED_FIELD; STANDARD_FROM_SPECIFICATION; TYPE_FROM_MATERIAL_TYPE; UNIT_FROM_FIELD,description; specification; structured_field
BHEL-500004,BHEL,"PIPE SMLS, SS316L, SIZE 6 in","pipe smls, ss316l, size 6 in",Pipes & Fittings,Seamless Pipe,ASME B16.5,SS316L,6 in,,6 in,Zinc Plated,MTR,pipe/fitting,pipe,,stainless steel,SS316L,6 in,,,,,6 in,,,,,ASME B16.5,ASME B16.5,zinc plated,,,,,,ISMT,ISM-SP-6in-33,MTR,12,True,material_grade: 'SS316L' vs 'SS 316L',COATING_FROM_STRUCTURED_FIELD; DIAMETER_FROM_FIELD; FAMILY_PIPE; GRADE_FROM_STRUCTURED_FIELD; MANUFACTURER_FROM_FIELD; MATERIAL_STAINLESS_STEEL; PART_NO_FROM_FIELD; SIZE_INCH; STANDARD_FROM_SPECIFICATION; TYPE_FROM_MATERIAL_TYPE; UNIT_FROM_FIELD,description; specification; structured_field
HPCL-120002,HPCL,6 in PIPE SMLS - SS316L,6 in pipe smls - ss316l,Pipes & Fittings,Seamless Pipe,ASME B16.5,SS316L,6 in,,6 in,Zinc Plated,MTR,pipe/fitting,pipe,,stainless steel,SS316L,6 in,,,,,6 in,,,,,ASME B16.5,ASME B16.5,zinc plated,,,,,,ISMT,ISM-SP-6in-41,MTR,12,True,material_grade: 'SS316L' vs 'SS 316L',COATING_FROM_STRUCTURED_FIELD; DIAMETER_FROM_FIELD; FAMILY_PIPE; GRADE_FROM_STRUCTURED_FIELD; MANUFACTURER_FROM_FIELD; MATERIAL_STAINLESS_STEEL; PART_NO_FROM_FIELD; SIZE_INCH; STANDARD_FROM_SPECIFICATION; TYPE_FROM_MATERIAL_TYPE; UNIT_FROM_FIELD,description; specification; structured_field
SAIL-300007,SAIL,IND.REDUCER DN 150 ASTM A106 Gr B,ind.reducer dn 150 astm a106 gr b,Pipes & Fittings,Reducer,IS 1239,ASTM A106 Gr B,DN 150,12 m,50 mm,Zinc Plated,MTR,pipe/fitting,,,,ASTM A106 Gr B,DN 150,,12 m,,,50 mm,,,,,IS 1239,IS 1239,zinc plated,,,,,,ISMT,ISM-R-DN150-87,MTR,11,True,size: 'DN 150' vs 'DN150'; material_grade: 'ASTM A106 Gr B' vs 'ASTM A106'; material_grade: 'ASTM A106 Gr B' vs 'A106',COATING_FROM_STRUCTURED_FIELD; DIAMETER_FROM_FIELD; FAMILY_PIPE; GRADE_FROM_STRUCTURED_FIELD; LENGTH_FROM_FIELD; MANUFACTURER_FROM_FIELD; PART_NO_FROM_FIELD; SIZE_FROM_STRUCTURED_FIELD; STANDARD_FROM_SPECIFICATION; UNIT_FROM_FIELD,specification; structured_field
ONGC-100007,ONGC,"IND.REDUCER, ASTM A106 Gr B, SIZE DN 150","ind.reducer, astm a106 gr b, size dn 150",Pipes & Fittings,Reducer,IS 1239,ASTM A106 Gr B,DN 150,12 m,50 mm,Zinc Plated,MTR,pipe/fitting,,,,ASTM A106 Gr B,DN 150,,12 m,,,50 mm,,,,,IS 1239,IS 1239,zinc plated,,,,,,ISMT,ISM-R-DN150-97,MTR,11,True,size: 'DN 150' vs 'DN150'; material_grade: 'ASTM A106 Gr B' vs 'ASTM A106'; material_grade: 'ASTM A106 Gr B' vs 'A106',COATING_FROM_STRUCTURED_FIELD; DIAMETER_FROM_FIELD; FAMILY_PIPE; GRADE_FROM_STRUCTURED_FIELD; LENGTH_FROM_FIELD; MANUFACTURER_FROM_FIELD; PART_NO_FROM_FIELD; SIZE_FROM_STRUCTURED_FIELD; STANDARD_FROM_SPECIFICATION; UNIT_FROM_FIELD,specification; structured_field
