Material_Code,CPSE,Material_Description,Normalized_Description,Material_Category,Material_Type,Specification,Material_Grade,Size,Length,Diameter,Coating,Unit,EX_material_family,EX_material_type,EX_material_subtype,EX_material,EX_material_grade,EX_size,EX_nominal_size,EX_length,EX_width,EX_height,EX_diameter,EX_thickness,EX_pressure_class,EX_schedule,EX_rating,EX_standard,EX_specification,EX_coating,EX_connection_type,EX_end_type,EX_construction,EX_orientation,EX_bearing_number,EX_manufacturer,EX_manufacturer_part_no,EX_unit,extraction_attribute_count,extraction_has_conflict,extraction_conflicts_detail,extraction_rules_applied,extraction_sources_used,Manufacturer,Manufacturer_Part_No,Plant,Material_Status,Annual_Consumption,Last_Purchase_Date,Standardized_Description,Canonical_Material_Key,Canonical_Material_Family,Canonical_Material_Type,Canonical_Material_Subtype,Canonical_Material,Canonical_Material_Grade,Canonical_Nominal_Size,Canonical_Size,Canonical_Length,Canonical_Width,Canonical_Height,Canonical_Diameter,Canonical_Thickness,Canonical_Pressure_Class,Canonical_Schedule,Canonical_Rating,Canonical_Standard,Canonical_Specification,Canonical_Coating,Canonical_Connection_Type,Canonical_End_Type,Canonical_Construction,Canonical_Orientation,Canonical_Manufacturer,Canonical_Manufacturer_Part_No,Canonical_Unit,Standardization_Changed,Standardization_Rule_Count,Standardization_Rules_Applied,Standardization_Conflict_Preserved
SAIL-300090,SAIL,"IND.Vertical Turbine Pump, Carbon Steel, SIZE 3 in x 2 in","ind.vertical turbine pump, carbon steel, size 3 in x 2 in",Pumps,Vertical Turbine Pump,IS 1520,Carbon Steel,3 in x 2 in,,3 in x 2 in,PTFE Lined,SET,pump,,,carbon steel,Carbon Steel,3 in x 2 in,,,,,3 in x 2 in,,,,,IS 1520,IS 1520,ptfe lined,,,,vertical,,WPIL,WPI-VTP-3inx2in-42,SET,12,True,size: '3 in x 2 in' vs '3 in',COATING_FROM_STRUCTURED_FIELD; DIAMETER_FROM_FIELD; FAMILY_PUMP; GRADE_FROM_STRUCTURED_FIELD; MANUFACTURER_FROM_FIELD; MATERIAL_CARBON_STEEL; ORIENTATION_VERTICAL; PART_NO_FROM_FIELD; SIZE_FROM_STRUCTURED_FIELD; STANDARD_FROM_SPECIFICATION; UNIT_FROM_FIELD,description; specification; structured_field,WPIL,WPI-VTP-3inx2in-42,Durgapur Steel Plant,Obsolete,5460,2025-08-04,PUMP | VERTICAL | CARBON STEEL | CARBON STEEL | 3 IN X 2 IN | 3 IN X 2 IN | IS 1520 | PTFE LINED,PUMP|CARBON_STEEL|CARBON_STEEL|3_IN_X_2_IN|3_IN_X_2_IN|IS_1520|PTFE_LINED|VERTICAL,PUMP,,,CARBON STEEL,CARBON STEEL,,3 IN X 2 IN,,,,3 IN X 2 IN,,,,,IS 1520,IS 1520,PTFE LINED,,,,VERTICAL,WPIL,WPI-VTP-3INX2IN-42,SET,True,12,COATING_UPPERCASE; DIAMETER_UPPERCASE; FAMILY_CANONICAL; GRADE_CANONICAL_CARBON_STEEL; MANUFACTURER_PART_NO_TRIM; MANUFACTURER_TRIM; MATERIAL_CANONICAL; ORIENTATION_CANONICAL; SIZE_UPPERCASE; SPECIFICATION_TRIM; STANDARD_FORMAT_IS; UNIT_UPPERCASE,True
CIL-400074,Coal India,VERTICAL TURBINE PUMP Carbon Steel 3 in x 2 in,vertical turbine pump carbon steel 3 in x 2 in,Pumps,Vertical Turbine Pump,IS 1520,Carbon Steel,3 in x 2 in,,3 in x 2 in,PTFE Lined,SET,pump,,,carbon steel,Carbon Steel,3 in x 2 in,,,,,3 in x 2 in,,,,,IS 1520,IS 1520,ptfe lined,,,,vertical,,WPIL,WPI-VTP-3inx2in-49,SET,12,True,size: '3 in x 2 in' vs '3 in',COATING_FROM_STRUCTURED_FIELD; DIAMETER_FROM_FIELD; FAMILY_PUMP; GRADE_FROM_STRUCTURED_FIELD; MANUFACTURER_FROM_FIELD; MATERIAL_CARBON_STEEL; ORIENTATION_VERTICAL; PART_NO_FROM_FIELD; SIZE_FROM_STRUCTURED_FIELD; STANDARD_FROM_SPECIFICATION; UNIT_FROM_FIELD,description; specification; structured_field,WPIL,WPI-VTP-3inx2in-49,Jharia Coalfields,Active,1829,2024-12-02,PUMP | VERTICAL | CARBON STEEL | CARBON STEEL | 3 IN X 2 IN | 3 IN X 2 IN | IS 1520 | PTFE LINED,PUMP|CARBON_STEEL|CARBON_STEEL|3_IN_X_2_IN|3_IN_X_2_IN|IS_1520|PTFE_LINED|VERTICAL,PUMP,,,CARBON STEEL,CARBON STEEL,,3 IN X 2 IN,,,,3 IN X 2 IN,,,,,IS 1520,IS 1520,PTFE LINED,,,,VERTICAL,WPIL,WPI-VTP-3INX2IN-49,SET,True,12,COATING_UPPERCASE; DIAMETER_UPPERCASE; FAMILY_CANONICAL; GRADE_CANONICAL_CARBON_STEEL; MANUFACTURER_PART_NO_TRIM; MANUFACTURER_TRIM; MATERIAL_CANONICAL; ORIENTATION_CANONICAL; SIZE_UPPERCASE; SPECIFICATION_TRIM; STANDARD_FORMAT_IS; UNIT_UPPERCASE,True
HPCL-120089,HPCL,IND.Vertical Turbine Pump 3 in x 2 in Carbon Steel,ind.vertical turbine pump 3 in x 2 in carbon steel,Pumps,Vertical Turbine Pump,IS 1520,Carbon Steel,3 in x 2 in,,3 in x 2 in,PTFE Lined,SET,pump,,,carbon steel,Carbon Steel,3 in x 2 in,,,,,3 in x 2 in,,,,,IS 1520,IS 1520,ptfe lined,,,,vertical,,WPIL,WPI-VTP-3inx2in-82,SET,12,True,size: '3 in x 2 in' vs '3 in',COATING_FROM_STRUCTURED_FIELD; DIAMETER_FROM_FIELD; FAMILY_PUMP; GRADE_FROM_STRUCTURED_FIELD; MANUFACTURER_FROM_FIELD; MATERIAL_CARBON_STEEL; ORIENTATION_VERTICAL; PART_NO_FROM_FIELD; SIZE_FROM_STRUCTURED_FIELD; STANDARD_FROM_SPECIFICATION; UNIT_FROM_FIELD,description; specification; structured_field,WPIL,WPI-VTP-3inx2in-82,Visakh Refinery,Active,2960,2024-02-02,PUMP | VERTICAL | CARBON STEEL | CARBON STEEL | 3 IN X 2 IN | 3 IN X 2 IN | IS 1520 | PTFE LINED,PUMP|CARBON_STEEL|CARBON_STEEL|3_IN_X_2_IN|3_IN_X_2_IN|IS_1520|PTFE_LINED|VERTICAL,PUMP,,,CARBON STEEL,CARBON STEEL,,3 IN X 2 IN,,,,3 IN X 2 IN,,,,,IS 1520,IS 1520,PTFE LINED,,,,VERTICAL,WPIL,WPI-VTP-3INX2IN-82,SET,True,12,COATING_UPPERCASE; DIAMETER_UPPERCASE; FAMILY_CANONICAL; GRADE_CANONICAL_CARBON_STEEL; MANUFACTURER_PART_NO_TRIM; MANUFACTURER_TRIM; MATERIAL_CANONICAL; ORIENTATION_CANONICAL; SIZE_UPPERCASE; SPECIFICATION_TRIM; STANDARD_FORMAT_IS; UNIT_UPPERCASE,True
NMDC-410090,NMDC,IND.Vertical Turbine Pump 3 in x 2 in Carbon Steel,ind.vertical turbine pump 3 in x 2 in carbon steel,Pumps,Vertical Turbine Pump,IS 1520,Carbon Steel,3 in x 2 in,,3 in x 2 in,PTFE Lined,SET,pump,,,carbon steel,Carbon Steel,3 in x 2 in,,,,,3 in x 2 in,,,,,IS 1520,IS 1520,ptfe lined,,,,vertical,,WPIL,WPI-VTP-3inx2in-63,SET,12,True,size: '3 in x 2 in' vs '3 in',COATING_FROM_STRUCTURED_FIELD; DIAMETER_FROM_FIELD; FAMILY_PUMP; GRADE_FROM_STRUCTURED_FIELD; MANUFACTURER_FROM_FIELD; MATERIAL_CARBON_STEEL; ORIENTATION_VERTICAL; PART_NO_FROM_FIELD; SIZE_FROM_STRUCTURED_FIELD; STANDARD_FROM_SPECIFICATION; UNIT_FROM_FIELD,description; specification; structured_field,WPIL,WPI-VTP-3inx2in-63,Kirandul Complex,Slow-Moving,6372,2024-10-17,PUMP | VERTICAL | CARBON STEEL | CARBON STEEL | 3 IN X 2 IN | 3 IN X 2 IN | IS 1520 | PTFE LINED,PUMP|CARBON_STEEL|CARBON_STEEL|3_IN_X_2_IN|3_IN_X_2_IN|IS_1520|PTFE_LINED|VERTICAL,PUMP,,,CARBON STEEL,CARBON STEEL,,3 IN X 2 IN,,,,3 IN X 2 IN,,,,,IS 1520,IS 1520,PTFE LINED,,,,VERTICAL,WPIL,WPI-VTP-3INX2IN-63,SET,True,12,COATING_UPPERCASE; DIAMETER_UPPERCASE; FAMILY_CANONICAL; GRADE_CANONICAL_CARBON_STEEL; MANUFACTURER_PART_NO_TRIM; MANUFACTURER_TRIM; MATERIAL_CANONICAL; ORIENTATION_CANONICAL; SIZE_UPPERCASE; SPECIFICATION_TRIM; STANDARD_FORMAT_IS; UNIT_UPPERCASE,True
ONGC-100084,ONGC,3 in x 2 in VERTICAL TURBINE PUMP - Carbon Steel,3 in x 2 in vertical turbine pump - carbon steel,Pumps,Vertical Turbine Pump,IS 1520,Carbon Steel,3 in x 2 in,,3 in x 2 in,PTFE Lined,SET,pump,,,carbon steel,Carbon Steel,3 in x 2 in,,,,,3 in x 2 in,,,,,IS 1520,IS 1520,ptfe lined,,,,vertical,,WPIL,WPI-VTP-3inx2in-85,SET,12,True,size: '3 in x 2 in' vs '3 in',COATING_FROM_STRUCTURED_FIELD; DIAMETER_FROM_FIELD; FAMILY_PUMP; GRADE_FROM_STRUCTURED_FIELD; MANUFACTURER_FROM_FIELD; MATERIAL_CARBON_STEEL; ORIENTATION_VERTICAL; PART_NO_FROM_FIELD; SIZE_FROM_STRUCTURED_FIELD; STANDARD_FROM_SPECIFICATION; UNIT_FROM_FIELD,description; specification; structured_field,WPIL,WPI-VTP-3inx2in-85,Rajahmundry Asset,Active,2865,2024-11-30,PUMP | VERTICAL | CARBON STEEL | CARBON STEEL | 3 IN X 2 IN | 3 IN X 2 IN | IS 1520 | PTFE LINED,PUMP|CARBON_STEEL|CARBON_STEEL|3_IN_X_2_IN|3_IN_X_2_IN|IS_1520|PTFE_LINED|VERTICAL,PUMP,,,CARBON STEEL,CARBON STEEL,,3 IN X 2 IN,,,,3 IN X 2 IN,,,,,IS 1520,IS 1520,PTFE LINED,,,,VERTICAL,WPIL,WPI-VTP-3INX2IN-85,SET,True,12,COATING_UPPERCASE; DIAMETER_UPPERCASE; FAMILY_CANONICAL; GRADE_CANONICAL_CARBON_STEEL; MANUFACTURER_PART_NO_TRIM; MANUFACTURER_TRIM; MATERIAL_CANONICAL; ORIENTATION_CANONICAL; SIZE_UPPERCASE; SPECIFICATION_TRIM; STANDARD_FORMAT_IS; UNIT_UPPERCASE,True
CIL-400075,Coal India,Level Transmitter SS316 4-20 mA,level transmitter ss316 4-20 ma,Instrumentation,Level Transmitter,IEC 60529,SS316,4-20 mA,,,,NOS,instrumentation,,,stainless steel,SS316,4-20 mA,,,,,,,,,,IEC 60529,IEC 60529,,,,,,,Emerson,EME-LT-4-20mA-21,NOS,9,True,material_grade: 'SS316' vs 'SS 316',FAMILY_INSTRUMENTATION; GRADE_FROM_STRUCTURED_FIELD; MANUFACTURER_FROM_FIELD; MATERIAL_STAINLESS_STEEL; PART_NO_FROM_FIELD; SIZE_FROM_STRUCTURED_FIELD; STANDARD_FROM_SPECIFICATION; UNIT_FROM_FIELD,description; specification; structured_field,Emerson,EME-LT-4-20mA-21,Jharia Coalfields,Active,171,2024-05-26,INSTRUMENTATION | STAINLESS STEEL | SS 316 | 4-20 MA | IEC 60529,INSTRUMENTATION|STAINLESS_STEEL|SS_316|4_20_MA|IEC_60529,INSTRUMENTATION,,,STAINLESS STEEL,SS 316,,4-20 MA,,,,,,,,,IEC 60529,IEC 60529,,,,,,EMERSON,EME-LT-4-20MA-21,NOS,True,9,FAMILY_CANONICAL; GRADE_FORMAT_SS316; MANUFACTURER_PART_NO_TRIM; MANUFACTURER_TRIM; MATERIAL_CANONICAL; SIZE_UPPERCASE; SPECIFICATION_TRIM; STANDARD_FORMAT_IEC; UNIT_CANONICAL,True
HPCL-120090,HPCL,LEVEL TRANSMITTER SS316 4-20 mA,level transmitter ss316 4-20 ma,Instrumentation,Level Transmitter,IEC 60529,SS316,4-20 mA,,,,NOS,instrumentation,,,stainless steel,SS316,4-20 mA,,,,,,,,,,IEC 60529,IEC 60529,,,,,,,Emerson,EME-LT-4-20mA-78,NOS,9,True,material_grade: 'SS316' vs 'SS 316',FAMILY_INSTRUMENTATION; GRADE_FROM_STRUCTURED_FIELD; MANUFACTURER_FROM_FIELD; MATERIAL_STAINLESS_STEEL; PART_NO_FROM_FIELD; SIZE_FROM_STRUCTURED_FIELD; STANDARD_FROM_SPECIFICATION; UNIT_FROM_FIELD,description; specification; structured_field,Emerson,EME-LT-4-20mA-78,Visakh Refinery,Active,9489,2024-02-10,INSTRUMENTATION | STAINLESS STEEL | SS 316 | 4-20 MA | IEC 60529,INSTRUMENTATION|STAINLESS_STEEL|SS_316|4_20_MA|IEC_60529,INSTRUMENTATION,,,STAINLESS STEEL,SS 316,,4-20 MA,,,,,,,,,IEC 60529,IEC 60529,,,,,,EMERSON,EME-LT-4-20MA-78,NOS,True,9,FAMILY_CANONICAL; GRADE_FORMAT_SS316; MANUFACTURER_PART_NO_TRIM; MANUFACTURER_TRIM; MATERIAL_CANONICAL; SIZE_UPPERCASE; SPECIFICATION_TRIM; STANDARD_FORMAT_IEC; UNIT_CANONICAL,True
BHEL-500087,BHEL,SPARE-LEVEL TRANSMITTER SS316 4-20 mA,spare-level transmitter ss316 4-20 ma,Instrumentation,Level Transmitter,IEC 60529,SS316,4-20 mA,,,,NOS,instrumentation,,,stainless steel,SS316,4-20 mA,,,,,,,,,,IEC 60529,IEC 60529,,,,,,,Emerson,EME-LT-4-20mA-83,NOS,9,True,material_grade: 'SS316' vs 'SS 316',FAMILY_INSTRUMENTATION; GRADE_FROM_STRUCTURED_FIELD; MANUFACTURER_FROM_FIELD; MATERIAL_STAINLESS_STEEL; PART_NO_FROM_FIELD; SIZE_FROM_STRUCTURED_FIELD; STANDARD_FROM_SPECIFICATION; UNIT_FROM_FIELD,description; specification; structured_field,Emerson,EME-LT-4-20mA-83,Bhopal Complex,Active,13320,2024-06-28,INSTRUMENTATION | STAINLESS STEEL | SS 316 | 4-20 MA | IEC 60529,INSTRUMENTATION|STAINLESS_STEEL|SS_316|4_20_MA|IEC_60529,INSTRUMENTATION,,,STAINLESS STEEL,SS 316,,4-20 MA,,,,,,,,,IEC 60529,IEC 60529,,,,,,EMERSON,EME-LT-4-20MA-83,NOS,True,9,FAMILY_CANONICAL; GRADE_FORMAT_SS316; MANUFACTURER_PART_NO_TRIM; MANUFACTURER_TRIM; MATERIAL_CANONICAL; SIZE_UPPERCASE; SPECIFICATION_TRIM; STANDARD_FORMAT_IEC; UNIT_CANONICAL,True
IOCL-110084,IOCL,"STORES ITEM LEVEL TRANSMITTER, SS316, SIZE 4-20 mA","stores item level transmitter, ss316, size 4-20 ma",Instrumentation,Level Transmitter,IEC 60529,SS316,4-20 mA,,,,NOS,instrumentation,,,stainless steel,SS316,4-20 mA,,,,,,,,,,IEC 60529,IEC 60529,,,,,,,Emerson,EME-LT-4-20mA-80,NOS,9,True,material_grade: 'SS316' vs 'SS 316',FAMILY_INSTRUMENTATION; GRADE_FROM_STRUCTURED_FIELD; MANUFACTURER_FROM_FIELD; MATERIAL_STAINLESS_STEEL; PART_NO_FROM_FIELD; SIZE_FROM_STRUCTURED_FIELD; STANDARD_FROM_SPECIFICATION; UNIT_FROM_FIELD,description; specification; structured_field,Emerson,EME-LT-4-20mA-80,Gujarat Refinery,Active,1615,2025-02-06,INSTRUMENTATION | STAINLESS STEEL | SS 316 | 4-20 MA | IEC 60529,INSTRUMENTATION|STAINLESS_STEEL|SS_316|4_20_MA|IEC_60529,INSTRUMENTATION,,,STAINLESS STEEL,SS 316,,4-20 MA,,,,,,,,,IEC 60529,IEC 60529,,,,,,EMERSON,EME-LT-4-20MA-80,NOS,True,9,FAMILY_CANONICAL; GRADE_FORMAT_SS316; MANUFACTURER_PART_NO_TRIM; MANUFACTURER_TRIM; MATERIAL_CANONICAL; SIZE_UPPERCASE; SPECIFICATION_TRIM; STANDARD_FORMAT_IEC; UNIT_CANONICAL,True
NMDC-410091,NMDC,4-20 mA LEVEL TRANSMITTER - SS316,4-20 ma level transmitter - ss316,Instrumentation,Level Transmitter,IEC 60529,SS316,4-20 mA,,,,NOS,instrumentation,,,stainless steel,SS316,4-20 mA,,,,,,,,,,IEC 60529,IEC 60529,,,,,,,Emerson,EME-LT-4-20mA-31,NOS,9,True,material_grade: 'SS316' vs 'SS 316',FAMILY_INSTRUMENTATION; GRADE_FROM_STRUCTURED_FIELD; MANUFACTURER_FROM_FIELD; MATERIAL_STAINLESS_STEEL; PART_NO_FROM_FIELD; SIZE_FROM_STRUCTURED_FIELD; STANDARD_FROM_SPECIFICATION; UNIT_FROM_FIELD,description; specification; structured_field,Emerson,EME-LT-4-20mA-31,Bailadila Iron Ore Mine,Active,1143,2025-12-15,INSTRUMENTATION | STAINLESS STEEL | SS 316 | 4-20 MA | IEC 60529,INSTRUMENTATION|STAINLESS_STEEL|SS_316|4_20_MA|IEC_60529,INSTRUMENTATION,,,STAINLESS STEEL,SS 316,,4-20 MA,,,,,,,,,IEC 60529,IEC 60529,,,,,,EMERSON,EME-LT-4-20MA-31,NOS,True,9,FAMILY_CANONICAL; GRADE_FORMAT_SS316; MANUFACTURER_PART_NO_TRIM; MANUFACTURER_TRIM; MATERIAL_CANONICAL; SIZE_UPPERCASE; SPECIFICATION_TRIM; STANDARD_FORMAT_IEC; UNIT_CANONICAL,True
ONGC-100085,ONGC,SPARE-Level Transmitter 4-20 mA SS316,spare-level transmitter 4-20 ma ss316,Instrumentation,Level Transmitter,IEC 60529,SS316,4-20 mA,,,,NOS,instrumentation,,,stainless steel,SS316,4-20 mA,,,,,,,,,,IEC 60529,IEC 60529,,,,,,,Emerson,EME-LT-4-20mA-64,NOS,9,True,material_grade: 'SS316' vs 'SS 316',FAMILY_INSTRUMENTATION; GRADE_FROM_STRUCTURED_FIELD; MANUFACTURER_FROM_FIELD; MATERIAL_STAINLESS_STEEL; PART_NO_FROM_FIELD; SIZE_FROM_STRUCTURED_FIELD; STANDARD_FROM_SPECIFICATION; UNIT_FROM_FIELD,description; specification; structured_field,Emerson,EME-LT-4-20mA-64,Ankleshwar Asset,Slow-Moving,8314,2024-11-29,INSTRUMENTATION | STAINLESS STEEL | SS 316 | 4-20 MA | IEC 60529,INSTRUMENTATION|STAINLESS_STEEL|SS_316|4_20_MA|IEC_60529,INSTRUMENTATION,,,STAINLESS STEEL,SS 316,,4-20 MA,,,,,,,,,IEC 60529,IEC 60529,,,,,,EMERSON,EME-LT-4-20MA-64,NOS,True,9,FAMILY_CANONICAL; GRADE_FORMAT_SS316; MANUFACTURER_PART_NO_TRIM; MANUFACTURER_TRIM; MATERIAL_CANONICAL; SIZE_UPPERCASE; SPECIFICATION_TRIM; STANDARD_FORMAT_IEC; UNIT_CANONICAL,True
ONGC-100086,ONGC,IND.4-20 mA Level Transmitter - Brass,ind.4-20 ma level transmitter - brass,Instrumentation,Level Transmitter,IEC 60529,Brass,4-20 mA,,,,NOS,instrumentation,,,,Brass,4-20 mA,,,,,,,,,,IEC 60529,IEC 60529,,,,,,,Honeywell,HON-LT-4-20mA-02,NOS,8,False,,FAMILY_INSTRUMENTATION; GRADE_FROM_STRUCTURED_FIELD; MANUFACTURER_FROM_FIELD; PART_NO_FROM_FIELD; SIZE_FROM_STRUCTURED_FIELD; STANDARD_FROM_SPECIFICATION; UNIT_FROM_FIELD,specification; structured_field,Honeywell,HON-LT-4-20mA-02,Mumbai Offshore Complex,Active,7656,2025-05-11,INSTRUMENTATION | BRASS | 4-20 MA | IEC 60529,INSTRUMENTATION|BRASS|4_20_MA|IEC_60529,INSTRUMENTATION,,,,BRASS,,4-20 MA,,,,,,,,,IEC 60529,IEC 60529,,,,,,HONEYWELL,HON-LT-4-20MA-02,NOS,True,8,FAMILY_CANONICAL; GRADE_UPPERCASE; MANUFACTURER_PART_NO_TRIM; MANUFACTURER_TRIM; SIZE_UPPERCASE; SPECIFICATION_TRIM; STANDARD_FORMAT_IEC; UNIT_CANONICAL,False
CIL-400076,Coal India,IND.LEVEL TRANSMITTER Brass 4-20 mA,ind.level transmitter brass 4-20 ma,Instrumentation,Level Transmitter,IEC 60529,Brass,4-20 mA,,,,NOS,instrumentation,,,,Brass,4-20 mA,,,,,,,,,,IEC 60529,IEC 60529,,,,,,,Honeywell,HON-LT-4-20mA-71,NOS,8,False,,FAMILY_INSTRUMENTATION; GRADE_FROM_STRUCTURED_FIELD; MANUFACTURER_FROM_FIELD; PART_NO_FROM_FIELD; SIZE_FROM_STRUCTURED_FIELD; STANDARD_FROM_SPECIFICATION; UNIT_FROM_FIELD,specification; structured_field,Honeywell,HON-LT-4-20mA-71,Talcher Coalfields,Slow-Moving,13838,2024-06-14,INSTRUMENTATION | BRASS | 4-20 MA | IEC 60529,INSTRUMENTATION|BRASS|4_20_MA|IEC_60529,INSTRUMENTATION,,,,BRASS,,4-20 MA,,,,,,,,,IEC 60529,IEC 60529,,,,,,HONEYWELL,HON-LT-4-20MA-71,NOS,True,8,FAMILY_CANONICAL; GRADE_UPPERCASE; MANUFACTURER_PART_NO_TRIM; MANUFACTURER_TRIM; SIZE_UPPERCASE; SPECIFICATION_TRIM; STANDARD_FORMAT_IEC; UNIT_CANONICAL,False
NMDC-410092,NMDC,SPARE-Level Transmitter 4-20 mA Brass,spare-level transmitter 4-20 ma brass,Instrumentation,Level Transmitter,IEC 60529,Brass,4-20 mA,,,,NOS,instrumentation,,,,Brass,4-20 mA,,,,,,,,,,IEC 60529,IEC 60529,,,,,,,Honeywell,HON-LT-4-20mA-78,NOS,8,False,,FAMILY_INSTRUMENTATION; GRADE_FROM_STRUCTURED_FIELD; MANUFACTURER_FROM_FIELD; PART_NO_FROM_FIELD; SIZE_FROM_STRUCTURED_FIELD; STANDARD_FROM_SPECIFICATION; UNIT_FROM_FIELD,specification; structured_field,Honeywell,HON-LT-4-20mA-78,Bailadila Iron Ore Mine,Active,6453,2024-06-21,INSTRUMENTATION | BRASS | 4-20 MA | IEC 60529,INSTRUMENTATION|BRASS|4_20_MA|IEC_60529,INSTRUMENTATION,,,,BRASS,,4-20 MA,,,,,,,,,IEC 60529,IEC 60529,,,,,,HONEYWELL,HON-LT-4-20MA-78,NOS,True,8,FAMILY_CANONICAL; GRADE_UPPERCASE; MANUFACTURER_PART_NO_TRIM; MANUFACTURER_TRIM; SIZE_UPPERCASE; SPECIFICATION_TRIM; STANDARD_FORMAT_IEC; UNIT_CANONICAL,False
NTPC-200084,NTPC,STORES ITEM 4-20 mA Level Transmitter - Brass,stores item 4-20 ma level transmitter - brass,Instrumentation,Level Transmitter,IEC 60529,Brass,4-20 mA,,,,NOS,instrumentation,,,,Brass,4-20 mA,,,,,,,,,,IEC 60529,IEC 60529,,,,,,,Honeywell,HON-LT-4-20mA-87,NOS,8,False,,FAMILY_INSTRUMENTATION; GRADE_FROM_STRUCTURED_FIELD; MANUFACTURER_FROM_FIELD; PART_NO_FROM_FIELD; SIZE_FROM_STRUCTURED_FIELD; STANDARD_FROM_SPECIFICATION; UNIT_FROM_FIELD,specification; structured_field,Honeywell,HON-LT-4-20mA-87,Singrauli STPS,Active,11754,2024-02-05,INSTRUMENTATION | BRASS | 4-20 MA | IEC 60529,INSTRUMENTATION|BRASS|4_20_MA|IEC_60529,INSTRUMENTATION,,,,BRASS,,4-20 MA,,,,,,,,,IEC 60529,IEC 60529,,,,,,HONEYWELL,HON-LT-4-20MA-87,NOS,True,8,FAMILY_CANONICAL; GRADE_UPPERCASE; MANUFACTURER_PART_NO_TRIM; MANUFACTURER_TRIM; SIZE_UPPERCASE; SPECIFICATION_TRIM; STANDARD_FORMAT_IEC; UNIT_CANONICAL,False
HPCL-120091,HPCL,Level Transmitter 4-20 mA Brass,level transmitter 4-20 ma brass,Instrumentation,Level Transmitter,IEC 60529,Brass,4-20 mA,,,,NOS,instrumentation,,,,Brass,4-20 mA,,,,,,,,,,IEC 60529,IEC 60529,,,,,,,Honeywell,HON-LT-4-20mA-28,NOS,8,False,,FAMILY_INSTRUMENTATION; GRADE_FROM_STRUCTURED_FIELD; MANUFACTURER_FROM_FIELD; PART_NO_FROM_FIELD; SIZE_FROM_STRUCTURED_FIELD; STANDARD_FROM_SPECIFICATION; UNIT_FROM_FIELD,specification; structured_field,Honeywell,HON-LT-4-20mA-28,Bhatinda Refinery,Active,5101,2025-03-30,INSTRUMENTATION | BRASS | 4-20 MA | IEC 60529,INSTRUMENTATION|BRASS|4_20_MA|IEC_60529,INSTRUMENTATION,,,,BRASS,,4-20 MA,,,,,,,,,IEC 60529,IEC 60529,,,,,,HONEYWELL,HON-LT-4-20MA-28,NOS,True,8,FAMILY_CANONICAL; GRADE_UPPERCASE; MANUFACTURER_PART_NO_TRIM; MANUFACTURER_TRIM; SIZE_UPPERCASE; SPECIFICATION_TRIM; STANDARD_FORMAT_IEC; UNIT_CANONICAL,False
SAIL-300091,SAIL,IND.4-20 mA Level Transmitter - Brass,ind.4-20 ma level transmitter - brass,Instrumentation,Level Transmitter,IEC 60529,Brass,4-20 mA,,,,NOS,instrumentation,,,,Brass,4-20 mA,,,,,,,,,,IEC 60529,IEC 60529,,,,,,,Honeywell,HON-LT-4-20mA-07,NOS,8,False,,FAMILY_INSTRUMENTATION; GRADE_FROM_STRUCTURED_FIELD; MANUFACTURER_FROM_FIELD; PART_NO_FROM_FIELD; SIZE_FROM_STRUCTURED_FIELD; STANDARD_FROM_SPECIFICATION; UNIT_FROM_FIELD,specification; structured_field,Honeywell,HON-LT-4-20mA-07,Bhilai Steel Plant,Slow-Moving,3326,2024-04-03,INSTRUMENTATION | BRASS | 4-20 MA | IEC 60529,INSTRUMENTATION|BRASS|4_20_MA|IEC_60529,INSTRUMENTATION,,,,BRASS,,4-20 MA,,,,,,,,,IEC 60529,IEC 60529,,,,,,HONEYWELL,HON-LT-4-20MA-07,NOS,True,8,FAMILY_CANONICAL; GRADE_UPPERCASE; MANUFACTURER_PART_NO_TRIM; MANUFACTURER_TRIM; SIZE_UPPERCASE; SPECIFICATION_TRIM; STANDARD_FORMAT_IEC; UNIT_CANONICAL,False
BHEL-500088,BHEL,"SPARE-CHECK VALVE, ASTM A216 WCB, SIZE DN 50","spare-check valve, astm a216 wcb, size dn 50",Valves,Check Valve,API 600,ASTM A216 WCB,DN 50,,,,NOS,valve,check valve,,,ASTM A216 WCB,DN 50,,,,,,,,,,API 600,API 600,,,,,,,L&T Valves,L&TVAL-CV-DN50-54,NOS,9,True,size: 'DN 50' vs 'DN50'; material_grade: 'ASTM A216 WCB' vs 'WCB',FAMILY_VALVE; GRADE_A105; MANUFACTURER_FROM_FIELD; PART_NO_FROM_FIELD; SIZE_FROM_STRUCTURED_FIELD; STANDARD_FROM_SPECIFICATION; TYPE_CHECK_VALVE; UNIT_FROM_FIELD,description; specification; structured_field,L&T Valves,L&TVAL-CV-DN50-54,Hazira Complex,Active,8925,2025-02-08,VALVE | CHECK VALVE | ASTM A216 WCB | DN 50 | API 600,VALVE|CHECK_VALVE|ASTM_A216_WCB|DN_50|API_600,VALVE,CHECK VALVE,,,ASTM A216 WCB,,DN 50,,,,,,,,,API 600,API 600,,,,,,L&T VALVES,L&TVAL-CV-DN50-54,NOS,True,9,FAMILY_CANONICAL; GRADE_FORMAT_ASTM_A216_WCB; MANUFACTURER_PART_NO_TRIM; MANUFACTURER_TRIM; SIZE_UPPERCASE; SPECIFICATION_TRIM; STANDARD_FORMAT_API; TYPE_CANONICAL; UNIT_CANONICAL,True
