fact_id,source_cpse,material_code,material_description,cmm_code,material_category,material_type,unit_of_measure,plant,material_status,annual_consumption,last_purchase_date,manufacturer,manufacturer_part_no
453b8608-6284-54e2-9f41-5e3a2fa17da8,BHEL,BHEL-500012,"SPARE-Circuit Breaker, Aluminium, SIZE 4C x 25 sq mm",CMM-ELECTR-19262A-001,Electrical,Circuit Breaker,MTR,Trichy Complex,Slow-Moving,9814,2024-01-03,Siemens,SIE-CB-4Cx25sqmm-76
12157b5f-f0e6-528e-893a-45c86e3e90c4,BHEL,BHEL-500013,SPARE-Reducer Carbon Steel 2 in,CMM-PIPEF-E0FB6D-001,Pipes & Fittings,Reducer,MTR,Ranipet Complex,Active,11161,2025-11-25,Jindal Pipes,JINPIP-R-2in-35
336aedd5-999d-5776-ae44-c3fa92722b89,BHEL,BHEL-500014,"Temperature Transmitter, Polycarbonate, SIZE 0-100 bar",CMM-INSTRU-3688F6-001,Instrumentation,Temperature Transmitter,NOS,Bhopal Complex,Active,13298,2025-04-25,ABB,ABB-TT-0-100bar-97
3c3952a2-64ee-5115-bb88-f37665f17603,BHEL,BHEL-500015,SPARE-GV SS316 4 in,CMM-VALVE-11F993-001,Valves,Gate Valve,NOS,Hazira Complex,Obsolete,8947,2025-04-29,Leader Valves,LEAVAL-GV-4in-26
13b89615-ed33-54b3-a202-d9bea0b38f98,BHEL,BHEL-500016,IND.Seamless Pipe SS316L DN 100,CMM-PIPEF-814451-001,Pipes & Fittings,Seamless Pipe,MTR,Ranipet Complex,Active,1151,2024-08-29,Jindal Pipes,JINPIP-SP-DN100-47
8afd80e4-0cf9-5261-a7e3-9e8ede68ef82,BHEL,BHEL-500017,M10 x 40 HEX NUT - Carbon Steel,CMM-FASTNR-26351F-001,Fasteners,Hex Nut,NOS,Ranipet Complex,Active,4999,2025-05-09,Unbrako,UNB-HN-M10x40-80
5132d5a2-6394-5da5-8a4b-9de9af24a1cb,BHEL,BHEL-500018,RTD Sensor 0-100 bar SS316,CMM-INSTRU-59A2A6-001,Instrumentation,RTD Sensor,NOS,Ranipet Complex,Active,7275,2024-11-17,Yokogawa,YOK-RS-0-100bar-19
d08b38eb-b955-5adf-bc71-fd7d0ca1d300,BHEL,BHEL-500019,IND.M16 x 65 Socket Head Screw - Carbon Steel,CMM-FASTNR-A2AB0B-001,Fasteners,Socket Head Screw,NOS,Bhopal Complex,Active,3734,2024-10-31,Precision Fasteners,PREFAS-SHS-M16x65-79
65247b74-6eac-5269-959e-3524c650b7df,BHEL,BHEL-500020,SPARE-0-100 bar FLOW METER - Brass,CMM-INSTRU-027BD0-001,Instrumentation,Flow Meter,NOS,Ranipet Complex,Active,14925,2024-04-01,Yokogawa,YOK-FM-0-100bar-62
6e24e5a2-d04e-5f12-ad86-5320e8dd2e39,BHEL,BHEL-500021,Globe Valve 4 in LCB,CMM-VALVE-9903B8-001,Valves,Globe Valve,NOS,Ranipet Complex,Active,8703,2025-12-21,Audco,AUD-GV-4in-97
bd73de6b-6c70-5064-9b1a-4cddd1879019,BHEL,BHEL-500022,MECHANICAL SEAL Graphite 65 mm,CMM-SEALG-260F99-001,Seals,Mechanical Seal,NOS,Hazira Complex,Slow-Moving,4105,2025-04-16,Sealol,SEA-MS-65mm-39
047e237b-0ffa-5677-aee9-64eea8dcae95,BHEL,BHEL-500023,Distribution Transformer 1C x 300 sq mm Aluminium,CMM-ELECTR-941023-001,Electrical,Distribution Transformer,MTR,Ranipet Complex,Slow-Moving,6806,2024-05-20,Crompton Greaves,CROGRE-DT-1Cx300sqmm-24
92186bbd-cb90-5f95-90da-89cc6a864114,BHEL,BHEL-500024,STORES ITEM Oil Seal Viton 2 in,CMM-SEALG-29423B-001,Seals,Oil Seal,KG,Hazira Complex,Active,7848,2024-02-27,Chesterton,CHE-OS-2in-84
5104715a-45d5-5f71-8520-4c88ae9d0a0c,BHEL,BHEL-500025,IND.Needle Bearing Chrome Steel 6408,CMM-BEARNG-89DC5A-001,Bearings,Needle Bearing,NOS,Bhopal Complex,Active,9138,2025-06-08,Timken,TIM-NB-6408-14
5f037bbc-ff71-5e95-bf06-6cae503ecc6b,BHEL,BHEL-500026,SPARE-SPIRAL WOUND GASKET PTFE 2 in,CMM-SEALG-C65128-001,Seals,Spiral Wound Gasket,NOS,Hazira Complex,Active,13410,2025-10-28,Flowserve,FLO-SWG-2in-51
6811ec9b-94df-5874-9888-2072ff870400,BHEL,BHEL-500027,0-500 Deg C PRESSURE GAUGE - Polycarbonate,CMM-INSTRU-58342A-001,Instrumentation,Pressure Gauge,NOS,Trichy Complex,Active,1456,2024-04-28,Emerson,EME-PG-0-500DegC-45
82e6b1dd-e3b1-5b16-92a7-920f6f1c6b26,BHEL,BHEL-500028,"Thrust Bearing, Stainless Steel, SIZE 22208",CMM-BEARNG-52104E-001,Bearings,Thrust Bearing,NOS,Bhopal Complex,Slow-Moving,13378,2024-07-30,SKF,SKF-TB-22208-91
a68d5747-9072-5bf9-aca3-6cb6924b9374,BHEL,BHEL-500029,IND.50 mm OIL SEAL - Viton,CMM-SEALG-F69B1C-001,Seals,Oil Seal,NOS,Ranipet Complex,Active,5955,2024-09-13,Flowserve,FLO-OS-50mm-26
0cef9757-2814-5590-956d-22bb5548043d,BHEL,BHEL-500030,FLOW METER 4-20 mA SS316,CMM-INSTRU-1E073D-001,Instrumentation,Flow Meter,NOS,Hazira Complex,Active,12201,2025-11-04,Emerson,EME-FM-4-20mA-56
ed2f5ce5-fea9-5d60-ae7f-84ee0494a7ca,BHEL,BHEL-500031,SPARE-2 in x 1.5 in Reciprocating Pump - Carbon Steel,CMM-PUMP-71A39E-001,Pumps,Reciprocating Pump,SET,Hazira Complex,Slow-Moving,13170,2025-02-06,Kirloskar,KIR-RP-2inx1.5in-56
2bc98bca-43dc-5f0f-9e29-c1f39426f02a,BHEL,BHEL-500032,IND.Spiral Wound Gasket 50 mm NBR,CMM-SEALG-66D3AC-001,Seals,Spiral Wound Gasket,KG,Ranipet Complex,Active,4001,2024-09-29,Flowserve,FLO-SWG-50mm-68
4fb80ca6-f68e-549d-a5a6-8124184069a5,BHEL,BHEL-500033,SPARE-Switchgear Panel XLPE Insulated 1C x 300 sq mm,CMM-ELECTR-0CDB57-001,Electrical,Switchgear Panel,MTR,Hazira Complex,Active,5564,2024-11-05,BHEL,BHE-SP-1Cx300sqmm-68
84ad53d1-e073-5985-9ccb-5c3b9fd1a656,BHEL,BHEL-500034,1C x 300 sq mm Circuit Breaker - Aluminium,CMM-ELECTR-C565E9-001,Electrical,Circuit Breaker,MTR,Trichy Complex,Active,4395,2024-08-02,ABB,ABB-CB-1Cx300sqmm-45
7a115fc5-72f8-5a86-a676-df6162739105,BHEL,BHEL-500035,SPARE-RECIPROCATING PUMP 2 in x 1.5 in Cast Iron,CMM-PUMP-DB6C55-001,Pumps,Reciprocating Pump,SET,Bhopal Complex,Active,6399,2024-07-08,Kirloskar,KIR-RP-2inx1.5in-51
4ef195c2-c9c5-57b3-8a8e-511f06b853ac,BHEL,BHEL-500036,STORES ITEM Induction Motor Copper 415V 100A,CMM-ELECTR-E728FA-001,Electrical,Induction Motor,MTR,Bhopal Complex,Active,14084,2024-10-09,Crompton Greaves,CROGRE-IM-415V100A-41
ca9d625f-09b3-5e90-80cf-7e63a51e83ea,BHEL,BHEL-500037,BRG BALL Stainless Steel 30205,CMM-BEARNG-491461-001,Bearings,Ball Bearing,NOS,Bhopal Complex,Active,14039,2025-08-08,Timken,TIM-BB-30205-96
d02c0e3a-0948-589c-b5d6-f5e0a951866a,BHEL,BHEL-500038,IND.Equal Tee 2 in Alloy Steel,CMM-PIPEF-9F93F7-001,Pipes & Fittings,Equal Tee,MTR,Hazira Complex,Active,2818,2024-05-06,Tata Steel,TATSTE-ET-2in-30
63b11e82-e4a7-5275-9324-6d440d790584,BHEL,BHEL-500039,IND.Distribution Transformer Copper 415V 100A,CMM-ELECTR-2DB37C-001,Electrical,Distribution Transformer,MTR,Ranipet Complex,Slow-Moving,14294,2024-06-18,Havells,HAV-DT-415V100A-20
8b37fe2b-ecc6-5981-8d58-7f669c3ffc14,BHEL,BHEL-500040,O-Ring 100 mm Graphite,CMM-SEALG-C8045E-001,Seals,O-Ring,NOS,Hazira Complex,Slow-Moving,7431,2025-04-13,Chesterton,CHE-O-100mm-97
067a85e7-cc74-581c-a2c2-847f839034a5,BHEL,BHEL-500041,"SPARE-Flange, Alloy Steel, SIZE DN 50",CMM-PIPEF-7A5764-001,Pipes & Fittings,Flange,MTR,Bhopal Complex,Active,12844,2025-03-29,Jindal Pipes,JINPIP-F-DN50-71
3938b7d6-143d-5498-b939-c9f4a081ae4b,BHEL,BHEL-500042,Centrifugal Pump Duplex Steel 3 in x 2 in,CMM-PUMP-82AEB3-001,Pumps,Centrifugal Pump,SET,Ranipet Complex,Slow-Moving,670,2024-03-30,WPIL,WPI-CP-3inx2in-83
1c5b0145-5dfb-5af9-bf55-c500d616f7a0,BHEL,BHEL-500043,"Thrust Bearing, Chrome Steel, SIZE 6408",CMM-BEARNG-FF170C-001,Bearings,Thrust Bearing,NOS,Trichy Complex,Active,132,2025-08-09,NBC Bearings,NBCBEA-TB-6408-39
2f18c828-1cb3-5108-9e25-c2c0d45fb8c2,BHEL,BHEL-500044,"OIL SEAL, NBR, SIZE 2 in",CMM-SEALG-ACB3E9-001,Seals,Oil Seal,NOS,Hazira Complex,Slow-Moving,9087,2024-09-23,Flowserve,FLO-OS-2in-65
2f602c99-13fb-5b8f-9843-583188cf25c9,BHEL,BHEL-500045,STORES ITEM Equal Tee IS 2062 6 in,CMM-PIPEF-AE5889-001,Pipes & Fittings,Equal Tee,MTR,Bhopal Complex,Active,10754,2024-03-20,Maharashtra Seamless,MAHSEA-ET-6in-95
d19c28c5-034c-5126-9ec7-e60c4f57978f,BHEL,BHEL-500046,SPARE-Reducer SS316L 6 in,CMM-PIPEF-3C5B7C-001,Pipes & Fittings,Reducer,MTR,Hazira Complex,Obsolete,8512,2025-07-02,Tata Steel,TATSTE-R-6in-49
d106bdeb-e7d3-59f2-a6cc-1c5b2233b791,BHEL,BHEL-500047,"STORES ITEM FLANGE, Alloy Steel, SIZE DN 100",CMM-PIPEF-49C4F4-001,Pipes & Fittings,Flange,MTR,Bhopal Complex,Active,12373,2025-01-16,Tata Steel,TATSTE-F-DN100-47
8dc4c5ea-6ad8-598e-9d36-fa6b7f20f715,BHEL,BHEL-500048,Roller Bearing Stainless Steel 6208,CMM-BEARNG-A2CB3C-001,Bearings,Roller Bearing,NOS,Hazira Complex,Active,4103,2024-10-17,SKF,SKF-RB-6208-14
dcea5c95-66aa-5925-a3ad-abc8f5c67c06,BHEL,BHEL-500049,SPARE-Centrifugal Pump 3 in x 2 in Cast Iron,CMM-PUMP-329011-001,Pumps,Centrifugal Pump,SET,Bhopal Complex,Slow-Moving,3618,2024-04-25,WPIL,WPI-CP-3inx2in-62
830f3049-6d31-54bb-988e-99679367df32,BHEL,BHEL-500050,BUTTERFLY VALVE LCB 2 in,CMM-VALVE-68C9CD-001,Valves,Butterfly Valve,NOS,Hazira Complex,Active,3107,2025-07-10,Fouress,FOU-BV-2in-63
007965e8-429f-50a4-974b-f6175ecce98c,BHEL,BHEL-500051,RUBBER GASKET 50 mm NBR,CMM-SEALG-C5D451-001,Seals,Rubber Gasket,NOS,Bhopal Complex,Slow-Moving,13721,2024-11-07,Sealol,SEA-RG-50mm-91
75125605-c11e-5719-995b-6ba2b0b9311d,BHEL,BHEL-500052,SPARE-CHECK VALVE ASTM A216 WCB DN 100,CMM-VALVE-4BBEE1-001,Valves,Check Valve,NOS,Hazira Complex,Active,2622,2024-01-19,KSB,KSB-CV-DN100-06
79866259-2a96-5778-8a21-45d7e52a1e23,BHEL,BHEL-500053,STORES ITEM 4-20 mA Pressure Gauge - Brass,CMM-INSTRU-FECC9D-001,Instrumentation,Pressure Gauge,NOS,Trichy Complex,Slow-Moving,5445,2025-04-04,Yokogawa,YOK-PG-4-20mA-54
a81464f9-c909-5ac2-8473-d83eaefe00f4,BHEL,BHEL-500054,STORES ITEM Reducer Alloy Steel DN 80,CMM-PIPEF-887486-001,Pipes & Fittings,Reducer,MTR,Ranipet Complex,Slow-Moving,744,2024-09-08,Jindal Pipes,JINPIP-R-DN80-79
a9dde046-ddc3-539a-9e1f-27a956161940,BHEL,BHEL-500055,DN 150 Equal Tee - ASTM A106 Gr B,CMM-PIPEF-3BAF8F-001,Pipes & Fittings,Equal Tee,MTR,Trichy Complex,Active,8203,2025-05-25,Tata Steel,TATSTE-ET-DN150-16
4ec76c17-c4bc-5060-9b1b-6ab74ed6f68e,BHEL,BHEL-500056,2 in Reducer - Alloy Steel,CMM-PIPEF-EB17F7-001,Pipes & Fittings,Reducer,MTR,Bhopal Complex,Slow-Moving,12793,2024-07-25,ISMT,ISM-R-2in-28
0a86c3d8-3706-5e59-8c76-1b94dde4d871,BHEL,BHEL-500057,STORES ITEM RUBBER GASKET NBR 100 mm,CMM-SEALG-F519D1-001,Seals,Rubber Gasket,NOS,Ranipet Complex,Active,3716,2024-05-27,Sealol,SEA-RG-100mm-13
f1ee943e-8897-513a-aeea-6796617433c3,BHEL,BHEL-500058,STORES ITEM RECIPROCATING PUMP Duplex Steel DN 100,CMM-PUMP-8BAE9F-001,Pumps,Reciprocating Pump,SET,Ranipet Complex,Active,3510,2025-11-09,Mather+Platt,MAT-RP-DN100-81
ee671459-118f-5438-b888-fe5d524fbb0b,BHEL,BHEL-500059,STORES ITEM XLPE Cable 415V 100A XLPE Insulated,CMM-ELECTR-4D158E-001,Electrical,XLPE Cable,MTR,Hazira Complex,Active,8884,2025-08-16,Siemens,SIE-XC-415V100A-67
c3d5adf3-2340-56c7-a62a-e99b23bbd953,BHEL,BHEL-500060,IND.CENT. PUMP Cast Iron 2 in x 1.5 in,CMM-PUMP-837FD0-001,Pumps,Centrifugal Pump,SET,Bhopal Complex,Active,3337,2025-09-16,KSB,KSB-CP-2inx1.5in-08
a6eaca16-c2e6-5702-8121-6116887ea4e7,BHEL,BHEL-500061,0-100 bar Temperature Transmitter - Brass,CMM-INSTRU-027BD0-001,Instrumentation,Temperature Transmitter,NOS,Hazira Complex,Active,5011,2025-02-14,Yokogawa,YOK-TT-0-100bar-50
c3717209-dfa6-5ebc-bd7c-8138c0c2d963,BHEL,BHEL-500062,STORES ITEM Centrifugal Pump DN 100 Carbon Steel,CMM-PUMP-ED0D84-001,Pumps,Centrifugal Pump,SET,Trichy Complex,Active,12871,2024-11-04,WPIL,WPI-CP-DN100-79
6dd7d675-893e-532f-aa4c-0179befafffa,BHEL,BHEL-500063,Induction Motor 4C x 25 sq mm XLPE Insulated,CMM-ELECTR-43E6A3-001,Electrical,Induction Motor,MTR,Ranipet Complex,Active,4720,2024-08-02,Siemens,SIE-IM-4Cx25sqmm-64
6126f5d5-a185-5809-9b09-13e07bae928e,BHEL,BHEL-500064,Check Valve 1 in ASTM A216 WCB,CMM-VALVE-A923FC-001,Valves,Check Valve,NOS,Bhopal Complex,Active,1870,2025-04-21,Leader Valves,LEAVAL-CV-1in-26
d4934e44-bc23-55a4-af20-469fb9e4ca6f,BHEL,BHEL-500065,OIL SEAL Viton 2 in,CMM-SEALG-B639C0-001,Seals,Oil Seal,NOS,Hazira Complex,Active,1411,2025-07-25,Chesterton,CHE-OS-2in-55
77699077-41ce-5703-95b0-82095ec69307,BHEL,BHEL-500066,"SPARE-Globe Valve, SS316, SIZE 4 in",CMM-VALVE-4B0806-001,Valves,Globe Valve,NOS,Hazira Complex,Active,10683,2025-05-04,L&T Valves,L&TVAL-GV-4in-72
deba4bd3-857a-56ff-be44-7826118e67f1,BHEL,BHEL-500067,2 in Globe Valve - LCB,CMM-VALVE-C12B9C-001,Valves,Globe Valve,NOS,Trichy Complex,Active,7273,2024-09-23,L&T Valves,L&TVAL-GV-2in-21
78df9277-0698-58ce-9630-3b6b111fb3b5,BHEL,BHEL-500068,Seamless Pipe DN 150 Carbon Steel,CMM-PIPEF-888E21-001,Pipes & Fittings,Seamless Pipe,MTR,Trichy Complex,Active,7348,2025-11-24,Jindal Pipes,JINPIP-SP-DN150-99
d482236e-f5d9-5e70-83c3-59a436de764b,BHEL,BHEL-500069,DISTRIBUTION TRANSFORMER XLPE Insulated 3C x 95 sq mm,CMM-ELECTR-45EFBF-001,Electrical,Distribution Transformer,MTR,Bhopal Complex,Active,13013,2024-01-03,Havells,HAV-DT-3Cx95sqmm-75
b3b52e17-3bd8-5109-8287-2c06033ce80e,BHEL,BHEL-500070,STORES ITEM EQUAL TEE DN 100 Carbon Steel,CMM-PIPEF-ED1BE7-001,Pipes & Fittings,Equal Tee,MTR,Hazira Complex,Active,587,2025-11-06,Tata Steel,TATSTE-ET-DN100-10
bb5bce82-6079-5709-bbbf-24cfd60ca91b,BHEL,BHEL-500071,SPARE-1/2 in Check Valve - SS316,CMM-VALVE-3C3B28-001,Valves,Check Valve,NOS,Bhopal Complex,Active,14060,2025-05-27,L&T Valves,L&TVAL-CV-1-2in-04
23d90be0-9731-5b67-8fd6-211e740d1dfc,BHEL,BHEL-500072,30205 BALL BRG - Stainless Steel,CMM-BEARNG-491461-001,Bearings,Ball Bearing,NOS,Bhopal Complex,Active,7498,2024-04-20,SKF,SKF-BB-30205-61
c40f489a-aa0d-529f-9eb2-e8ea6137c702,BHEL,BHEL-500073,STORES ITEM OIL SEAL NBR 2 in,CMM-SEALG-067879-001,Seals,Oil Seal,NOS,Ranipet Complex,Active,2947,2025-07-24,Sealol,SEA-OS-2in-58
04dc5cef-a3fd-5d81-80d8-656447de4c3e,BHEL,BHEL-500074,"SPARE-O-RING, Graphite, SIZE 50 mm",CMM-SEALG-80EA46-001,Seals,O-Ring,NOS,Bhopal Complex,Active,741,2025-05-12,Sealol,SEA-O-50mm-18
63056619-2946-53a7-887a-52c98cb4c493,BHEL,BHEL-500075,2 in FLANGE - ASTM A106 Gr B,CMM-PIPEF-68A5E4-001,Pipes & Fittings,Flange,MTR,Ranipet Complex,Active,1900,2024-11-20,Maharashtra Seamless,MAHSEA-F-2in-33
eafad096-3d0d-547d-9ce4-eb6491742932,BHEL,BHEL-500076,"SPARE-Switchgear Panel, Copper, SIZE 3C x 95 sq mm",CMM-ELECTR-65A8AE-001,Electrical,Switchgear Panel,MTR,Hazira Complex,Active,5854,2025-09-12,ABB,ABB-SP-3Cx95sqmm-13
dd67b0ce-9ad4-58c7-ba9f-25afefa68cd5,BHEL,BHEL-500077,SPARE-INDUCTION MOTOR 415V 100A Aluminium,CMM-ELECTR-42D24C-001,Electrical,Induction Motor,MTR,Trichy Complex,Slow-Moving,9014,2025-09-08,BHEL,BHE-IM-415V100A-28
b97a4e22-abf8-5e09-9502-ad824b0422dc,BHEL,BHEL-500078,STORES ITEM PRESSURE GAUGE 4-20 mA Brass,CMM-INSTRU-DE763E-001,Instrumentation,Pressure Gauge,NOS,Hazira Complex,Active,11851,2025-08-05,Yokogawa,YOK-PG-4-20mA-66
01ff97db-a596-5028-8cbd-7b7cd5bad968,BHEL,BHEL-500079,IND.CIRCUIT BREAKER XLPE Insulated 415V 100A,CMM-ELECTR-9FEFD2-001,Electrical,Circuit Breaker,MTR,Trichy Complex,Active,14593,2025-10-26,ABB,ABB-CB-415V100A-90
bade7d2d-0003-5f88-b818-689bbbde1874,BHEL,BHEL-500080,"IND.Roller Bearing, Stainless Steel, SIZE 30205",CMM-BEARNG-300A61-001,Bearings,Roller Bearing,NOS,Ranipet Complex,Active,7549,2024-05-12,SKF,SKF-RB-30205-94
7b1d9666-ff99-5ffb-af5a-e0dfec177516,BHEL,BHEL-500081,IND.XLPE CABLE Copper 3C x 95 sq mm,CMM-ELECTR-266707-001,Electrical,XLPE Cable,MTR,Bhopal Complex,Active,800,2025-11-17,BHEL,BHE-XC-3Cx95sqmm-12
73dd0dd6-9cca-5778-87ff-a235e417ca60,BHEL,BHEL-500082,M20 x 80 Hex Nut - Carbon Steel,CMM-FASTNR-B017A6-001,Fasteners,Hex Nut,KG,Ranipet Complex,Slow-Moving,3504,2025-09-17,GKW,GKW-HN-M20x80-90
76e98318-93b9-52f9-8a20-ac807c1cafb4,BHEL,BHEL-500083,IND.FLAT WASHER M24 x 100 SS304,CMM-FASTNR-C18604-001,Fasteners,Flat Washer,KG,Ranipet Complex,Active,6119,2024-07-16,Unbrako,UNB-FW-M24x100-77
85046476-4d68-515c-90f8-cecb9d6b5785,BHEL,BHEL-500084,IND.TEMPERATURE TRANSMITTER 0-100 bar SS316,CMM-INSTRU-2B591E-001,Instrumentation,Temperature Transmitter,NOS,Ranipet Complex,Active,5633,2024-02-25,Yokogawa,YOK-TT-0-100bar-04
9c2082e9-4fcc-5f1d-9f2d-bfb0a1e1a9e7,BHEL,BHEL-500085,"STORES ITEM Butterfly Valve, WCB, SIZE 4 in",CMM-VALVE-0728B9-001,Valves,Butterfly Valve,NOS,Hazira Complex,Active,12085,2024-12-05,KSB,KSB-BV-4in-82
a453119d-673e-5501-a4cf-3ba384e92b2a,BHEL,BHEL-500086,"BALL VLV, ASTM A351 CF8M, SIZE DN 150",CMM-VALVE-6D7FC6-001,Valves,Ball Valve,NOS,Ranipet Complex,Active,4401,2025-10-22,Fouress,FOU-BV-DN150-41
31b925b2-3c17-50fb-a536-9a055b4962cf,BHEL,BHEL-500087,SPARE-LEVEL TRANSMITTER SS316 4-20 mA,CMM-INSTRU-7A3205-001,Instrumentation,Level Transmitter,NOS,Bhopal Complex,Active,13320,2024-06-28,Emerson,EME-LT-4-20mA-83
d3c93d21-db26-54af-bcc4-1d2ee0972fe5,BHEL,BHEL-500088,"SPARE-CHECK VALVE, ASTM A216 WCB, SIZE DN 50",CMM-VALVE-66AEAC-001,Valves,Check Valve,NOS,Hazira Complex,Active,8925,2025-02-08,L&T Valves,L&TVAL-CV-DN50-54
77152b7c-8491-512c-a74f-d9d236365243,BHEL,BHEL-500089,"IND.EQUAL TEE, Alloy Steel, SIZE DN 150",CMM-PIPEF-100E96-001,Pipes & Fittings,Equal Tee,MTR,Hazira Complex,Active,2940,2025-09-12,ISMT,ISM-ET-DN150-55
413403da-da87-503e-88e1-eab42fded5e2,BHEL,BHEL-500090,SPARE-VERTICAL TURBINE PUMP 2 in x 1.5 in SS316,CMM-PUMP-FC6AAF-001,Pumps,Vertical Turbine Pump,SET,Bhopal Complex,Obsolete,13425,2025-05-18,WPIL,WPI-VTP-2inx1.5in-96
64f7d96f-32dc-5f53-ad62-1170b73d9d41,BHEL,BHEL-500091,"SUBMERSIBLE PUMP, Carbon Steel, SIZE 3 in x 2 in",CMM-PUMP-FEF7B9-001,Pumps,Submersible Pump,SET,Hazira Complex,Slow-Moving,14301,2025-06-16,Mather+Platt,MAT-SP-3inx2in-94
59c71025-62ac-5987-b27f-68269c55a673,BHEL,BHEL-500092,Spiral Wound Gasket 2 in Viton,CMM-SEALG-DE8656-001,Seals,Spiral Wound Gasket,NOS,Ranipet Complex,Active,6226,2025-01-25,Sealol,SEA-SWG-2in-12
d84fb649-789c-563f-87b1-37582d22b9d6,BHEL,BHEL-500093,"Switchgear Panel, XLPE Insulated, SIZE 3C x 95 sq mm",CMM-ELECTR-6BCE45-001,Electrical,Switchgear Panel,MTR,Ranipet Complex,Active,200,2025-07-05,ABB,ABB-SP-3Cx95sqmm-41
2d76d225-e479-544d-bfed-a29c7d67555c,BHEL,BHEL-500094,IND.HX BOLT Grade B7 M20 x 80,CMM-FASTNR-B810F4-001,Fasteners,Hex Bolt,NOS,Hazira Complex,Active,1996,2024-09-03,Precision Fasteners,PREFAS-HB-M20x80-66
4293d9df-b379-5505-b8ff-5c3de8a2f2fb,BHEL,BHEL-500095,STORES ITEM VERTICAL TURBINE PUMP Duplex Steel DN 80,CMM-PUMP-13DAB4-001,Pumps,Vertical Turbine Pump,SET,Trichy Complex,Active,9939,2024-09-10,Mather+Platt,MAT-VTP-DN80-54
930dcb15-aba9-5fe4-ae26-f17c842b2a00,BHEL,BHEL-500096,SPARE-LEVEL TRANSMITTER SS316 4-20 mA,CMM-INSTRU-7A3205-001,Instrumentation,Level Transmitter,NOS,Ranipet Complex,Slow-Moving,8838,2024-10-02,Emerson,EME-LT-4-20mA-51
9027b35f-483a-58de-8e44-c0cacf9ff7bf,BHEL,BHEL-500097,IND.6 in Ball Valve - SS304,CMM-VALVE-1D70F9-001,Valves,Ball Valve,NOS,Ranipet Complex,Slow-Moving,14208,2024-09-26,Fouress,FOU-BV-6in-32
