category,raw_value,canonical_value,rule_id,description
material,stainless steel,STAINLESS STEEL,MATERIAL_CANONICAL,Standardize stainless steel casing
material,ss,STAINLESS STEEL,MATERIAL_ALIAS_SS,Expand SS alias to STAINLESS STEEL
material,carbon steel,CARBON STEEL,MATERIAL_CANONICAL,Standardize carbon steel casing
material,cs,CARBON STEEL,MATERIAL_ALIAS_CS,Expand CS alias to CARBON STEEL
material,chrome steel,CHROME STEEL,MATERIAL_CANONICAL,Standardize chrome steel casing
material,xlpe,XLPE,MATERIAL_CANONICAL,Standardize XLPE casing
material,synthetic rubber,SYNTHETIC RUBBER,MATERIAL_CANONICAL,Standardize synthetic rubber casing
material,mineral oil,MINERAL OIL,MATERIAL_CANONICAL,Standardize mineral oil casing
coating,zinc plated,ZINC PLATED,COATING_CANONICAL,Standardize zinc plated casing
coating,zinc-plated,ZINC PLATED,COATING_FORMAT,Normalize hyphenated zinc-plated
coating,zinc plating,ZINC PLATED,COATING_FORMAT,Normalize zinc plating to ZINC PLATED
coating,galvanized,GALVANIZED,COATING_CANONICAL,Standardize galvanized casing
coating,ptfe,PTFE,COATING_CANONICAL,Standardize PTFE casing
coating,rubber,RUBBER,COATING_CANONICAL,Standardize rubber casing
coating,painted,PAINTED,COATING_CANONICAL,Standardize painted casing
coating,pvc,PVC,COATING_CANONICAL,Standardize PVC casing
coating,bare,BARE,COATING_CANONICAL,Standardize bare casing
coating,black,BLACK,COATING_CANONICAL,Standardize black casing
connection,flanged,FLANGED,CONNECTION_CANONICAL,Standardize flanged connection casing
connection,threaded,THREADED,CONNECTION_CANONICAL,Standardize threaded connection casing
connection,weld neck,WELD NECK,CONNECTION_CANONICAL,Standardize weld neck connection casing
connection,weld-neck,WELD NECK,CONNECTION_FORMAT,Normalize hyphen in weld neck
connection,socket weld,SOCKET WELD,CONNECTION_CANONICAL,Standardize socket weld casing
connection,butt weld,BUTT WELD,CONNECTION_CANONICAL,Standardize butt weld casing
construction,floating,FLOATING,CONSTRUCTION_CANONICAL,Standardize floating construction casing
construction,seamless,SEAMLESS,CONSTRUCTION_CANONICAL,Standardize seamless construction casing
construction,forged,FORGED,CONSTRUCTION_CANONICAL,Standardize forged construction casing
construction,cast,CAST,CONSTRUCTION_CANONICAL,Standardize cast construction casing
construction,welded,WELDED,CONSTRUCTION_CANONICAL,Standardize welded construction casing
orientation,horizontal,HORIZONTAL,ORIENTATION_CANONICAL,Standardize horizontal orientation casing
orientation,vertical,VERTICAL,ORIENTATION_CANONICAL,Standardize vertical orientation casing
unit,nos,NOS,UNIT_CANONICAL,Standardize NOS casing
unit,mtr,MTR,UNIT_CANONICAL,Standardize MTR casing
unit,ltr,LTR,UNIT_CANONICAL,Standardize LTR casing
