CPSE,Sector,Material_Code,Material_Description,Material_Category,Material_Type,Specification,Material_Grade,Size,Length,Diameter,Coating,Unit,Manufacturer,Manufacturer_Part_No,Plant,Material_Status,Annual_Consumption,Last_Purchase_Date,Unit_Price_INR
BHEL,Heavy Engineering,BHEL-500004,"PIPE SMLS, SS316L, SIZE 6 in",Pipes & Fittings,Seamless Pipe,ASME B16.5,SS316L,6 in,,6 in,Zinc Plated,MTR,ISMT,ISM-SP-6in-33,Trichy Complex,Active,1196,2025-11-11,46869.87
HPCL,Oil & Gas,HPCL-120002,6 in PIPE SMLS - SS316L,Pipes & Fittings,Seamless Pipe,ASME B16.5,SS316L,6 in,,6 in,Zinc Plated,MTR,ISMT,ISM-SP-6in-41,Bhatinda Refinery,Active,5394,2025-02-16,65225.28
SAIL,Steel,SAIL-300007,IND.REDUCER DN 150 ASTM A106 Gr B,Pipes & Fittings,Reducer,IS 1239,ASTM A106 Gr B,DN 150,12 m,50 mm,Zinc Plated,MTR,ISMT,ISM-R-DN150-87,Bokaro Steel Plant,Active,10926,2025-10-10,32747.41
ONGC,Oil & Gas,ONGC-100007,"IND.REDUCER, ASTM A106 Gr B, SIZE DN 150",Pipes & Fittings,Reducer,IS 1239,ASTM A106 Gr B,DN 150,12 m,50 mm,Zinc Plated,MTR,ISMT,ISM-R-DN150-97,Mumbai Offshore Complex,Active,807,2024-09-07,40024.61
HPCL,Oil & Gas,HPCL-120003,"STORES ITEM REDUCER, ASTM A106 Gr B, SIZE DN 150",Pipes & Fittings,Reducer,IS 1239,ASTM A106 Gr B,DN 150,12 m,50 mm,Zinc Plated,MTR,ISMT,ISM-R-DN150-99,Bhatinda Refinery,Slow-Moving,6341,2025-05-21,46951.11
Coal India,Mining,CIL-400005,"STORES ITEM Reducer, ASTM A106 Gr B, SIZE DN 150",Pipes & Fittings,Reducer,IS 1239,ASTM A106 Gr B,DN 150,12 m,50 mm,Zinc Plated,MTR,ISMT,ISM-R-DN150-84,Korba Coalfields,Active,11451,2025-06-14,32747.41
NMDC,Mining,NMDC-410004,IND.REDUCER ASTM A106 Gr B DN 150,Pipes & Fittings,Reducer,IS 1239,ASTM A106 Gr B,DN 150,12 m,50 mm,Zinc Plated,MTR,ISMT,ISM-R-DN150-32,Kirandul Complex,Active,9207,2025-09-01,32747.41
NTPC,Power,NTPC-200005,IND.REDUCER ASTM A106 Gr B DN 150,Pipes & Fittings,Reducer,IS 1239,ASTM A106 Gr B,DN 150,12 m,50 mm,Zinc Plated,MTR,ISMT,ISM-R-DN150-79,Dadri Plant,Active,12367,2024-09-10,32397.33
HPCL,Oil & Gas,HPCL-120004,SPARE-REDUCER ASTM A106 Gr B DN 100,Pipes & Fittings,Reducer,API 5L,ASTM A106 Gr B,DN 100,12 m,DN 100,Epoxy Coated,MTR,Tata Steel,TATSTE-R-DN100-09,Mumbai Refinery,Active,3438,2025-03-06,33819.04
BHEL,Heavy Engineering,BHEL-500005,DN 100 REDUCER - ASTM A106 Gr B,Pipes & Fittings,Reducer,API 5L,ASTM A106 Gr B,DN 100,12 m,DN 100,Epoxy Coated,MTR,Tata Steel,TATSTE-R-DN100-98,Hazira Complex,Active,6439,2025-03-05,38446.11
ONGC,Oil & Gas,ONGC-100008,IND.DN 100 REDUCER - ASTM A106 Gr B,Pipes & Fittings,Reducer,API 5L,ASTM A106 Gr B,DN 100,12 m,DN 100,Epoxy Coated,MTR,Tata Steel,TATSTE-R-DN100-78,Uran Plant,Active,525,2025-02-02,46989.69
IOCL,Oil & Gas,IOCL-110006,IND.REDUCER DN 100 ASTM A106 Gr B,Pipes & Fittings,Reducer,API 5L,ASTM A106 Gr B,DN 100,12 m,DN 100,Epoxy Coated,MTR,Tata Steel,TATSTE-R-DN100-93,Barauni Refinery,Slow-Moving,9747,2025-07-31,38446.11
SAIL,Steel,SAIL-300008,"STORES ITEM Reducer, ASTM A106 Gr B, SIZE DN 100",Pipes & Fittings,Reducer,API 5L,ASTM A106 Gr B,DN 100,12 m,DN 100,Epoxy Coated,MTR,Tata Steel,TATSTE-R-DN100-83,Bhilai Steel Plant,Active,6261,2024-12-01,46989.69
NMDC,Mining,NMDC-410005,"IND.Gear Pump, Duplex Steel, SIZE 3 in x 2 in",Pumps,Gear Pump,ISO 2858,Duplex Steel,3 in x 2 in,,3 in x 2 in,,SET,WPIL,WPI-GP-3inx2in-84,Bailadila Iron Ore Mine,Slow-Moving,10229,2024-06-05,14837.09
NTPC,Power,NTPC-200006,STORES ITEM 3 in x 2 in Gear Pump - Duplex Steel,Pumps,Gear Pump,ISO 2858,Duplex Steel,3 in x 2 in,,3 in x 2 in,,SET,WPIL,WPI-GP-3inx2in-86,Dadri Plant,Slow-Moving,2799,2025-09-12,14989.88
Coal India,Mining,CIL-400006,Gear Pump 3 in x 2 in Duplex Steel,Pumps,Gear Pump,ISO 2858,Duplex Steel,3 in x 2 in,,3 in x 2 in,,SET,WPIL,WPI-GP-3inx2in-21,Talcher Coalfields,Obsolete,9483,2025-11-24,19556.8
ONGC,Oil & Gas,ONGC-100009,"Gear Pump, Duplex Steel, SIZE 3 in x 2 in",Pumps,Gear Pump,ISO 2858,Duplex Steel,3 in x 2 in,,3 in x 2 in,,SET,WPIL,WPI-GP-3inx2in-51,Sivasagar Asset,Active,12706,2024-11-04,22131.47
BHEL,Heavy Engineering,BHEL-500006,GEAR PUMP Duplex Steel 3 in x 2 in,Pumps,Gear Pump,ISO 2858,Duplex Steel,3 in x 2 in,,3 in x 2 in,,SET,WPIL,WPI-GP-3inx2in-73,Hazira Complex,Active,1179,2025-06-02,21515.61
Coal India,Mining,CIL-400007,"SPARE-XLPE CABLE, Aluminium, SIZE 3C x 95 sq mm",Electrical,XLPE Cable,IS 2026,Aluminium,3C x 95 sq mm,,,,MTR,Crompton Greaves,CROGRE-XC-3Cx95sqmm-60,Jharia Coalfields,Slow-Moving,1469,2024-10-12,128077.75
NTPC,Power,NTPC-200007,SPARE-XLPE CABLE 3C x 95 sq mm Aluminium,Electrical,XLPE Cable,IS 2026,Aluminium,3C x 95 sq mm,,,,MTR,Crompton Greaves,CROGRE-XC-3Cx95sqmm-97,Ramagundam STPS,Active,5375,2024-07-05,143095.3
NMDC,Mining,NMDC-410006,3C x 95 sq mm XLPE CABLE - Aluminium,Electrical,XLPE Cable,IS 2026,Aluminium,3C x 95 sq mm,,,,MTR,Crompton Greaves,CROGRE-XC-3Cx95sqmm-34,Donimalai Iron Ore Mine,Active,8514,2024-07-14,104790.89
BHEL,Heavy Engineering,BHEL-500007,STORES ITEM XLPE CABLE Aluminium 3C x 95 sq mm,Electrical,XLPE Cable,IS 2026,Aluminium,3C x 95 sq mm,,,,MTR,Crompton Greaves,CROGRE-XC-3Cx95sqmm-63,Ranipet Complex,Slow-Moving,1574,2024-10-28,87485.0
IOCL,Oil & Gas,IOCL-110007,3C x 95 sq mm XLPE CABLE - Aluminium,Electrical,XLPE Cable,IS 2026,Aluminium,3C x 95 sq mm,,,,MTR,Crompton Greaves,CROGRE-XC-3Cx95sqmm-40,Gujarat Refinery,Active,12271,2025-07-17,96984.88
SAIL,Steel,SAIL-300009,IND.XLPE CABLE 3C x 95 sq mm Aluminium,Electrical,XLPE Cable,IS 2026,Aluminium,3C x 95 sq mm,,,,MTR,Crompton Greaves,CROGRE-XC-3Cx95sqmm-35,Bokaro Steel Plant,Slow-Moving,5219,2024-05-02,104613.3
NMDC,Mining,NMDC-410007,HEX NUT M16 x 65 SS304,Fasteners,Hex Nut,DIN 931,SS304,M16 x 65,65 mm,,,NOS,GKW,GKW-HN-M16x65-69,Kirandul Complex,Active,11476,2024-05-09,2237.97
HPCL,Oil & Gas,HPCL-120005,STORES ITEM HEX NUT SS304 M16 x 65,Fasteners,Hex Nut,DIN 931,SS304,M16 x 65,65 mm,,,NOS,GKW,GKW-HN-M16x65-14,Visakh Refinery,Active,3070,2024-02-22,2793.14
NTPC,Power,NTPC-200008,STORES ITEM HEX NUT M16 x 65 SS304,Fasteners,Hex Nut,DIN 931,SS304,M16 x 65,65 mm,,,NOS,GKW,GKW-HN-M16x65-15,Dadri Plant,Active,11296,2024-02-24,2162.11
NTPC,Power,NTPC-200009,SPARE-Hex Nut M12 x 50 Grade 8.8,Fasteners,Hex Nut,ASTM A193,Grade 8.8,M12 x 50,50 mm,,None,KG,Sundram Fasteners,SUNFAS-HN-M12x50-98,Singrauli STPS,Active,2897,2025-07-19,917.32
SAIL,Steel,SAIL-300010,SPARE-HEX NUT M12 x 50 Grade 8.8,Fasteners,Hex Nut,ASTM A193,Grade 8.8,M12 x 50,50 mm,,None,KG,Sundram Fasteners,SUNFAS-HN-M12x50-53,Bhilai Steel Plant,Active,11632,2024-10-16,621.31
BHEL,Heavy Engineering,BHEL-500008,"HEX NUT, Grade 8.8, SIZE M12 x 50",Fasteners,Hex Nut,ASTM A193,Grade 8.8,M12 x 50,50 mm,,None,KG,Sundram Fasteners,SUNFAS-HN-M12x50-10,Ranipet Complex,Active,8972,2024-08-18,935.5
NMDC,Mining,NMDC-410008,IND.M12 x 50 Hex Nut - Grade 8.8,Fasteners,Hex Nut,ASTM A193,Grade 8.8,M12 x 50,50 mm,,None,KG,Sundram Fasteners,SUNFAS-HN-M12x50-19,Donimalai Iron Ore Mine,Active,13554,2025-08-05,917.32
IOCL,Oil & Gas,IOCL-110008,STORES ITEM M12 x 50 HEX NUT - Grade 8.8,Fasteners,Hex Nut,ASTM A193,Grade 8.8,M12 x 50,50 mm,,None,KG,Sundram Fasteners,SUNFAS-HN-M12x50-16,Barauni Refinery,Active,8140,2025-03-24,1044.68
HPCL,Oil & Gas,HPCL-120006,HEX NUT M12 x 50 Grade 8.8,Fasteners,Hex Nut,ASTM A193,Grade 8.8,M12 x 50,50 mm,,None,KG,Sundram Fasteners,SUNFAS-HN-M12x50-56,Mumbai Refinery,Active,11097,2025-08-12,624.0
IOCL,Oil & Gas,IOCL-110009,SPARE-Control Valve WCB 1/2 in,Valves,Control Valve,API 598,WCB,1/2 in,,,Zinc Plated,NOS,Fouress,FOU-CV-1-2in-42,Haldia Refinery,Active,4772,2025-11-09,16200.54
Coal India,Mining,CIL-400008,SPARE-1/2 in CONTROL VALVE - WCB,Valves,Control Valve,API 598,WCB,1/2 in,,,Zinc Plated,NOS,Fouress,FOU-CV-1-2in-59,Talcher Coalfields,Active,12707,2025-02-17,22808.85
SAIL,Steel,SAIL-300011,"CONTROL VALVE, WCB, SIZE 1/2 in",Valves,Control Valve,API 598,WCB,1/2 in,,,Zinc Plated,NOS,Fouress,FOU-CV-1-2in-85,Bhilai Steel Plant,Active,10251,2025-05-25,21941.77
NTPC,Power,NTPC-200010,SPARE-Control Valve WCB 1/2 in,Valves,Control Valve,API 598,WCB,1/2 in,,,Zinc Plated,NOS,Fouress,FOU-CV-1-2in-27,Singrauli STPS,Slow-Moving,7991,2024-05-04,19800.66
ONGC,Oil & Gas,ONGC-100010,CONTROL VALVE 1/2 in WCB,Valves,Control Valve,API 598,WCB,1/2 in,,,Zinc Plated,NOS,Fouress,FOU-CV-1-2in-31,Uran Plant,Active,1577,2024-08-18,12912.22
SAIL,Steel,SAIL-300012,SPARE-Needle Bearing AISI 52100 6304,Bearings,Needle Bearing,ISO 15,AISI 52100,6304,,,,NOS,Timken,TIM-NB-6304-25,Bokaro Steel Plant,Active,12955,2025-06-03,5492.75
IOCL,Oil & Gas,IOCL-110010,IND.NEEDLE BEARING AISI 52100 6304,Bearings,Needle Bearing,ISO 15,AISI 52100,6304,,,,NOS,Timken,TIM-NB-6304-37,Panipat Refinery,Active,5704,2024-12-06,4295.85
BHEL,Heavy Engineering,BHEL-500009,IND.Needle Bearing AISI 52100 6304,Bearings,Needle Bearing,ISO 15,AISI 52100,6304,,,,NOS,Timken,TIM-NB-6304-59,Ranipet Complex,Active,12756,2025-02-24,5492.75
NMDC,Mining,NMDC-410009,IND.NEEDLE BEARING AISI 52100 6304,Bearings,Needle Bearing,ISO 15,AISI 52100,6304,,,,NOS,Timken,TIM-NB-6304-61,Kirandul Complex,Obsolete,2118,2025-05-29,3626.16
ONGC,Oil & Gas,ONGC-100011,Needle Bearing AISI 52100 6304,Bearings,Needle Bearing,ISO 15,AISI 52100,6304,,,,NOS,Timken,TIM-NB-6304-13,Rajahmundry Asset,Active,2411,2025-02-23,6387.63
NMDC,Mining,NMDC-410010,"SPARE-Hex Bolt, Grade B7, SIZE M16 x 65",Fasteners,Hex Bolt,ASME B18.2.1,Grade B7,M16 x 65,65 mm,,None,NOS,Unbrako,UNB-HB-M16x65-05,Kirandul Complex,Slow-Moving,7160,2024-04-10,1255.8
BHEL,Heavy Engineering,BHEL-500010,BOLT HEX M16 x 65 Grade B7,Fasteners,Hex Bolt,ASME B18.2.1,Grade B7,M16 x 65,65 mm,,None,NOS,Unbrako,UNB-HB-M16x65-57,Hazira Complex,Active,969,2024-10-27,1256.43
HPCL,Oil & Gas,HPCL-120007,"BOLT HEX, Grade B7, SIZE M16 x 65",Fasteners,Hex Bolt,ASME B18.2.1,Grade B7,M16 x 65,65 mm,,None,NOS,Unbrako,UNB-HB-M16x65-19,Visakh Refinery,Active,1343,2025-09-16,978.0
IOCL,Oil & Gas,IOCL-110011,"BOLT HEX, Grade B7, SIZE M16 x 65",Fasteners,Hex Bolt,ASME B18.2.1,Grade B7,M16 x 65,65 mm,,None,NOS,Unbrako,UNB-HB-M16x65-88,Mathura Refinery,Active,10501,2024-09-17,1328.46
SAIL,Steel,SAIL-300013,Hex Bolt Grade B7 M16 x 65,Fasteners,Hex Bolt,ASME B18.2.1,Grade B7,M16 x 65,65 mm,,None,NOS,Unbrako,UNB-HB-M16x65-60,Bhilai Steel Plant,Obsolete,9676,2024-11-02,978.0
ONGC,Oil & Gas,ONGC-100012,Flow Meter Brass 4-20 mA,Instrumentation,Flow Meter,ISA 75.01,Brass,4-20 mA,,,,NOS,Emerson,EME-FM-4-20mA-36,Sivasagar Asset,Slow-Moving,14843,2024-10-20,61431.71
NTPC,Power,NTPC-200011,IND.4-20 mA Flow Meter - Brass,Instrumentation,Flow Meter,ISA 75.01,Brass,4-20 mA,,,,NOS,Emerson,EME-FM-4-20mA-78,Ramagundam STPS,Active,11861,2025-11-06,59761.19
SAIL,Steel,SAIL-300014,SPARE-Flow Meter Brass 4-20 mA,Instrumentation,Flow Meter,ISA 75.01,Brass,4-20 mA,,,,NOS,Emerson,EME-FM-4-20mA-81,Rourkela Steel Plant,Active,6027,2024-05-14,56841.88
HPCL,Oil & Gas,HPCL-120008,"IND.Flow Meter, Brass, SIZE 4-20 mA",Instrumentation,Flow Meter,ISA 75.01,Brass,4-20 mA,,,,NOS,Emerson,EME-FM-4-20mA-42,Visakh Refinery,Slow-Moving,14409,2025-01-09,38667.41
NMDC,Mining,NMDC-410011,SPARE-4-20 mA FLOW METER - Brass,Instrumentation,Flow Meter,ISA 75.01,Brass,4-20 mA,,,,NOS,Emerson,EME-FM-4-20mA-22,Donimalai Iron Ore Mine,Slow-Moving,7723,2024-03-18,56405.35
IOCL,Oil & Gas,IOCL-110012,FLOW METER Brass 4-20 mA,Instrumentation,Flow Meter,ISA 75.01,Brass,4-20 mA,,,,NOS,Emerson,EME-FM-4-20mA-87,Gujarat Refinery,Active,8841,2024-05-06,40224.92
SAIL,Steel,SAIL-300015,STORES ITEM O-RING 2 in NBR,Seals,O-Ring,DIN 3760,NBR,2 in,,,PTFE Lined,NOS,Flowserve,FLO-O-2in-82,Bhilai Steel Plant,Active,659,2024-11-07,9752.73
BHEL,Heavy Engineering,BHEL-500011,STORES ITEM O-Ring NBR 2 in,Seals,O-Ring,DIN 3760,NBR,2 in,,,PTFE Lined,NOS,Flowserve,FLO-O-2in-13,Hazira Complex,Active,12225,2025-12-14,11504.29
IOCL,Oil & Gas,IOCL-110013,O-RING NBR 2 in,Seals,O-Ring,DIN 3760,NBR,2 in,,,PTFE Lined,NOS,Flowserve,FLO-O-2in-76,Barauni Refinery,Active,4633,2024-02-03,11238.56
SAIL,Steel,SAIL-300016,4C x 25 sq mm Circuit Breaker - Aluminium,Electrical,Circuit Breaker,IS 2026,Aluminium,4C x 25 sq mm,1000 m,,,MTR,Siemens,SIE-CB-4Cx25sqmm-12,Bokaro Steel Plant,Active,2113,2025-08-01,27846.89
BHEL,Heavy Engineering,BHEL-500012,"SPARE-Circuit Breaker, Aluminium, SIZE 4C x 25 sq mm",Electrical,Circuit Breaker,IS 2026,Aluminium,4C x 25 sq mm,1000 m,,,MTR,Siemens,SIE-CB-4Cx25sqmm-76,Trichy Complex,Slow-Moving,9814,2024-01-03,29641.21
HPCL,Oil & Gas,HPCL-120009,Circuit Breaker 4C x 25 sq mm Aluminium,Electrical,Circuit Breaker,IS 2026,Aluminium,4C x 25 sq mm,1000 m,,,MTR,Siemens,SIE-CB-4Cx25sqmm-17,Mumbai Refinery,Active,5919,2024-08-31,31198.36
NTPC,Power,NTPC-200012,IND.Circuit Breaker Aluminium 4C x 25 sq mm,Electrical,Circuit Breaker,IS 2026,Aluminium,4C x 25 sq mm,1000 m,,,MTR,Siemens,SIE-CB-4Cx25sqmm-23,Singrauli STPS,Active,12266,2024-03-06,39611.72
ONGC,Oil & Gas,ONGC-100013,"CIRCUIT BREAKER, Aluminium, SIZE 4C x 25 sq mm",Electrical,Circuit Breaker,IS 2026,Aluminium,4C x 25 sq mm,1000 m,,,MTR,Siemens,SIE-CB-4Cx25sqmm-66,Rajahmundry Asset,Obsolete,760,2025-11-05,32409.59
ONGC,Oil & Gas,ONGC-100014,FLANGE IS 2062 DN 150,Pipes & Fittings,Flange,ASTM A106,IS 2062,DN 150,12 m,DN 150,Galvanized,MTR,Maharashtra Seamless,MAHSEA-F-DN150-49,Rajahmundry Asset,Active,11547,2024-04-27,40723.86
IOCL,Oil & Gas,IOCL-110014,"STORES ITEM FLANGE, IS 2062, SIZE DN 150",Pipes & Fittings,Flange,ASTM A106,IS 2062,DN 150,12 m,DN 150,Galvanized,MTR,Maharashtra Seamless,MAHSEA-F-DN150-93,Mathura Refinery,Active,13606,2025-04-09,44858.28
Coal India,Mining,CIL-400009,SPARE-DN 150 FLANGE - IS 2062,Pipes & Fittings,Flange,ASTM A106,IS 2062,DN 150,12 m,DN 150,Galvanized,MTR,Maharashtra Seamless,MAHSEA-F-DN150-41,Talcher Coalfields,Obsolete,11302,2025-04-30,33319.52
HPCL,Oil & Gas,HPCL-120010,"SPARE-Flange, IS 2062, SIZE DN 150",Pipes & Fittings,Flange,ASTM A106,IS 2062,DN 150,12 m,DN 150,Galvanized,MTR,Maharashtra Seamless,MAHSEA-F-DN150-12,Mumbai Refinery,Active,9658,2025-07-29,27406.42
SAIL,Steel,SAIL-300017,DN 150 FLANGE - IS 2062,Pipes & Fittings,Flange,ASTM A106,IS 2062,DN 150,12 m,DN 150,Galvanized,MTR,Maharashtra Seamless,MAHSEA-F-DN150-53,Bhilai Steel Plant,Active,5811,2024-04-16,40723.86
