CPSE_Code,Material_Code,Plant,Required_Quantity,Forecast_Quantity,Demand_Period,UOM
BPCL,BPCL-0322,PLANT-MUMBAI-REF,672.0,772.8,Q4 2026,EA
BPCL,BPCL-0323,PLANT-MUMBAI-REF,18.0,25.0,Q4 2026,SET
BPCL,BPCL-0324,PLANT-MUMBAI-REF,144.0,165.6,Q4 2026,EA
BPCL,BPCL-0325,PLANT-MUMBAI-REF,280.0,322.0,Q4 2026,PR
CPCL,CPCL-0002,PLANT-MANALI-CHNAI,352.0,404.79999999999995,Q4 2026,EA
CPCL,CPCL-0004,PLANT-MANALI-CHNAI,624.0,717.5999999999999,Q4 2026,EA
CPCL,CPCL-0006,PLANT-MANALI-CHNAI,96.0,110.39999999999999,Q4 2026,L
CPCL,CPCL-0007,PLANT-MANALI-CHNAI,232.0,266.0,Q4 2026,KG
CPCL,CPCL-0008,PLANT-MANALI-CHNAI,368.0,423.2,Q4 2026,SET
CPCL,CPCL-0009,PLANT-MANALI-CHNAI,504.0,579.5999999999999,Q4 2026,EA
CPCL,CPCL-0011,PLANT-MANALI-CHNAI,776.0,892.4,Q4 2026,EA
CPCL,CPCL-0012,PLANT-MANALI-CHNAI,112.0,128.79999999999998,Q4 2026,M
CPCL,CPCL-0013,PLANT-MANALI-CHNAI,248.0,285.2,Q4 2026,M
CPCL,CPCL-0014,PLANT-MANALI-CHNAI,384.0,441.59999999999997,Q4 2026,EA
CPCL,CPCL-0015,PLANT-MANALI-CHNAI,520.0,598.0,Q4 2026,EA
CPCL,CPCL-0016,PLANT-MANALI-CHNAI,656.0,754.4,Q4 2026,KG
CPCL,CPCL-0017,PLANT-MANALI-CHNAI,792.0,910.8,Q4 2026,ROLL
CPCL,CPCL-0018,PLANT-MANALI-CHNAI,128.0,147.2,Q4 2026,EA
CPCL,CPCL-0020,PLANT-MANALI-CHNAI,400.0,459.99999999999994,Q4 2026,EA
CPCL,CPCL-0022,PLANT-MANALI-CHNAI,672.0,772.8,Q4 2026,EA
CPCL,CPCL-0023,PLANT-MANALI-CHNAI,18.0,25.0,Q4 2026,SET
CPCL,CPCL-0024,PLANT-MANALI-CHNAI,144.0,165.6,Q4 2026,EA
CPCL,CPCL-0025,PLANT-MANALI-CHNAI,280.0,322.0,Q4 2026,PR
HPCL,HPCL-0201,PLANT-03,700.0,850.0,Q4 2026,EA
HPCL,HPCL-0202,PLANT-MUMBAI-REF,352.0,404.79999999999995,Q4 2026,EA
HPCL,HPCL-0203,PLANT-03,1000.0,1100.0,Q4 2026,EA
HPCL,HPCL-0204,PLANT-MUMBAI-REF,624.0,717.5999999999999,Q4 2026,EA
HPCL,HPCL-0206,PLANT-MUMBAI-REF,96.0,110.39999999999999,Q4 2026,L
HPCL,HPCL-0207,PLANT-MUMBAI-REF,232.0,266.0,Q4 2026,KG
HPCL,HPCL-0208,PLANT-MUMBAI-REF,368.0,423.2,Q4 2026,SET
HPCL,HPCL-0209,PLANT-MUMBAI-REF,504.0,579.5999999999999,Q4 2026,EA
HPCL,HPCL-0211,PLANT-MUMBAI-REF,776.0,892.4,Q4 2026,EA
HPCL,HPCL-0212,PLANT-MUMBAI-REF,112.0,128.79999999999998,Q4 2026,M
HPCL,HPCL-0213,PLANT-MUMBAI-REF,248.0,285.2,Q4 2026,M
HPCL,HPCL-0214,PLANT-MUMBAI-REF,384.0,441.59999999999997,Q4 2026,EA
HPCL,HPCL-0215,PLANT-MUMBAI-REF,520.0,598.0,Q4 2026,EA
HPCL,HPCL-0216,PLANT-MUMBAI-REF,656.0,754.4,Q4 2026,KG
HPCL,HPCL-0217,PLANT-MUMBAI-REF,792.0,910.8,Q4 2026,ROLL
HPCL,HPCL-0218,PLANT-MUMBAI-REF,128.0,147.2,Q4 2026,EA
HPCL,HPCL-0220,PLANT-MUMBAI-REF,400.0,459.99999999999994,Q4 2026,EA
HPCL,HPCL-0221,PLANT-MUMBAI-REF,250.0,300.0,Q4 2026,EA
HPCL,HPCL-0222,PLANT-MUMBAI-REF,672.0,772.8,Q4 2026,EA
HPCL,HPCL-0224,PLANT-MUMBAI-REF,144.0,165.6,Q4 2026,EA
HPCL,HPCL-0225,PLANT-MUMBAI-REF,280.0,322.0,Q4 2026,PR
IOCL,IOCL-0101,PLANT-02,800.0,900.0,Q4 2026,EA
IOCL,IOCL-0102,PLANT-PANIPAT-REFINERY,352.0,404.79999999999995,Q4 2026,EA
IOCL,IOCL-0103,PLANT-02,1300.0,1500.0,Q4 2026,EA
IOCL,IOCL-0104,PLANT-PANIPAT-REFINERY,624.0,717.5999999999999,Q4 2026,EA
IOCL,IOCL-0105,PLANT-PANIPAT-REFINERY,800.0,950.0,Q4 2026,L
IOCL,IOCL-0106,PLANT-PANIPAT-REFINERY,96.0,110.39999999999999,Q4 2026,L
IOCL,IOCL-0107,PLANT-PANIPAT-REFINERY,600.0,750.0,Q4 2026,KG
IOCL,IOCL-0108,PLANT-PANIPAT-REFINERY,368.0,423.2,Q4 2026,SET
IOCL,IOCL-0109,PLANT-PANIPAT-REFINERY,504.0,579.5999999999999,Q4 2026,EA
IOCL,IOCL-0110,PLANT-PANIPAT-REFINERY,600.0,750.0,Q4 2026,EA
IOCL,IOCL-0111,PLANT-PANIPAT-REFINERY,776.0,892.4,Q4 2026,EA
IOCL,IOCL-0112,PLANT-PANIPAT-REFINERY,112.0,128.79999999999998,Q4 2026,M
IOCL,IOCL-0113,PLANT-PANIPAT-REFINERY,248.0,285.2,Q4 2026,M
IOCL,IOCL-0114,PLANT-PANIPAT-REFINERY,384.0,441.59999999999997,Q4 2026,EA
IOCL,IOCL-0115,PLANT-PANIPAT-REFINERY,520.0,598.0,Q4 2026,EA
IOCL,IOCL-0116,PLANT-PANIPAT-REFINERY,656.0,754.4,Q4 2026,KG
IOCL,IOCL-0117,PLANT-PANIPAT-REFINERY,792.0,910.8,Q4 2026,ROLL
IOCL,IOCL-0118,PLANT-PANIPAT-REFINERY,128.0,147.2,Q4 2026,EA
IOCL,IOCL-0119,PLANT-PANIPAT-REFINERY,264.0,303.59999999999997,Q4 2026,EA
IOCL,IOCL-0120,PLANT-PANIPAT-REFINERY,400.0,459.99999999999994,Q4 2026,EA
IOCL,IOCL-0122,PLANT-PANIPAT-REFINERY,672.0,772.8,Q4 2026,EA
IOCL,IOCL-0123,PLANT-PANIPAT-REFINERY,18.0,25.0,Q4 2026,SET
IOCL,IOCL-0124,PLANT-PANIPAT-REFINERY,144.0,165.6,Q4 2026,EA
IOCL,IOCL-0125,PLANT-PANIPAT-REFINERY,280.0,322.0,Q4 2026,PR
ONGC,ONGC-0401,PLANT-01,1000.0,1200.0,Q4 2026,EA
ONGC,ONGC-0402,PLANT-MUMBAI-OFFSHORE,352.0,404.79999999999995,Q4 2026,EA
ONGC,ONGC-0403,PLANT-01,1200.0,1400.0,Q4 2026,EA
ONGC,ONGC-0404,PLANT-MUMBAI-OFFSHORE,624.0,717.5999999999999,Q4 2026,EA
ONGC,ONGC-0405,PLANT-MUMBAI-OFFSHORE,1000.0,1200.0,Q4 2026,L
ONGC,ONGC-0406,PLANT-MUMBAI-OFFSHORE,96.0,110.39999999999999,Q4 2026,L
ONGC,ONGC-0407,PLANT-MUMBAI-OFFSHORE,800.0,950.0,Q4 2026,KG
ONGC,ONGC-0408,PLANT-MUMBAI-OFFSHORE,368.0,423.2,Q4 2026,SET
ONGC,ONGC-0409,PLANT-MUMBAI-OFFSHORE,504.0,579.5999999999999,Q4 2026,EA
ONGC,ONGC-0410,PLANT-MUMBAI-OFFSHORE,1200.0,1400.0,Q4 2026,EA
ONGC,ONGC-0411,PLANT-MUMBAI-OFFSHORE,776.0,892.4,Q4 2026,EA
ONGC,ONGC-0412,PLANT-MUMBAI-OFFSHORE,112.0,128.79999999999998,Q4 2026,M
ONGC,ONGC-0413,PLANT-MUMBAI-OFFSHORE,248.0,285.2,Q4 2026,M
ONGC,ONGC-0414,PLANT-MUMBAI-OFFSHORE,384.0,441.59999999999997,Q4 2026,EA
ONGC,ONGC-0415,PLANT-MUMBAI-OFFSHORE,520.0,598.0,Q4 2026,EA
ONGC,ONGC-0416,PLANT-MUMBAI-OFFSHORE,656.0,754.4,Q4 2026,KG
ONGC,ONGC-0417,PLANT-MUMBAI-OFFSHORE,792.0,910.8,Q4 2026,ROLL
ONGC,ONGC-0418,PLANT-MUMBAI-OFFSHORE,128.0,147.2,Q4 2026,EA
ONGC,ONGC-0419,PLANT-MUMBAI-OFFSHORE,264.0,303.59999999999997,Q4 2026,EA
ONGC,ONGC-0420,PLANT-MUMBAI-OFFSHORE,400.0,459.99999999999994,Q4 2026,EA
ONGC,ONGC-0421,PLANT-MUMBAI-OFFSHORE,250.0,300.0,Q4 2026,EA
ONGC,ONGC-0422,PLANT-MUMBAI-OFFSHORE,672.0,772.8,Q4 2026,EA
ONGC,ONGC-0424,PLANT-MUMBAI-OFFSHORE,144.0,165.6,Q4 2026,EA
ONGC,ONGC-0425,PLANT-MUMBAI-OFFSHORE,280.0,322.0,Q4 2026,PR
