CPSE_Code,Material_Code,PO_Number,Supplier_Name,Quantity,Unit_Price,UOM,PO_Date
ONGC,ONGC-0415,PO-ONGC-150,Global Tech,400.0,710.0,EA,2026-05-15
ONGC,ONGC-0416,PO-ONGC-160,ABC Ltd,502.0,914.0,KG,2026-05-15
ONGC,ONGC-0417,PO-ONGC-170,Apex Industries,604.0,1118.0,ROLL,2026-05-15
ONGC,ONGC-0418,PO-ONGC-180,National Supplies,106.0,122.0,EA,2026-05-15
ONGC,ONGC-0419,PO-ONGC-190,Global Tech,208.0,326.0,EA,2026-05-15
ONGC,ONGC-0420,PO-ONGC-200,ABC Ltd,310.0,530.0,EA,2026-05-15
ONGC,ONGC-0421,PO-ONGC-21,WIKA Instruments,250.0,1650.0,EA,2026-05-15
ONGC,ONGC-0422,PO-ONGC-220,National Supplies,514.0,938.0,EA,2026-05-15
ONGC,ONGC-0424,PO-ONGC-240,ABC Ltd,118.0,146.0,EA,2026-05-15
ONGC,ONGC-0425,PO-ONGC-250,Apex Industries,220.0,350.0,PR,2026-05-15
