CPSE_Code,Material_Code,Plant,Quantity_On_Hand,Reserved_Quantity,Available_Quantity,UOM,Inventory_Date
HPCL,HPCL-0211,PLANT-MUMBAI-REF,970.0,22.0,948.0,EA,2026-09-24
HPCL,HPCL-0212,PLANT-MUMBAI-REF,140.0,14.0,126.0,M,2026-09-24
HPCL,HPCL-0213,PLANT-MUMBAI-REF,310.0,16.0,294.0,M,2026-09-24
HPCL,HPCL-0214,PLANT-MUMBAI-REF,480.0,18.0,462.0,EA,2026-09-24
HPCL,HPCL-0215,PLANT-MUMBAI-REF,650.0,20.0,630.0,EA,2026-09-24
HPCL,HPCL-0216,PLANT-MUMBAI-REF,820.0,22.0,798.0,KG,2026-09-24
HPCL,HPCL-0217,PLANT-MUMBAI-REF,990.0,24.0,966.0,ROLL,2026-09-24
HPCL,HPCL-0218,PLANT-MUMBAI-REF,160.0,16.0,144.0,EA,2026-09-24
HPCL,HPCL-0220,PLANT-MUMBAI-REF,500.0,20.0,480.0,EA,2026-09-24
HPCL,HPCL-0221,PLANT-MUMBAI-REF,420.0,40.0,380.0,EA,2026-09-24
HPCL,HPCL-0222,PLANT-MUMBAI-REF,840.0,24.0,816.0,EA,2026-09-24
HPCL,HPCL-0224,PLANT-MUMBAI-REF,180.0,18.0,162.0,EA,2026-09-24
HPCL,HPCL-0225,PLANT-MUMBAI-REF,350.0,20.0,330.0,PR,2026-09-24
IOCL,IOCL-0101,PLANT-02,1200.0,150.0,1050.0,EA,2026-09-24
IOCL,IOCL-0102,PLANT-PANIPAT-REFINERY,440.0,14.0,426.0,EA,2026-09-24
IOCL,IOCL-0103,PLANT-02,450.0,50.0,400.0,EA,2026-09-24
IOCL,IOCL-0104,PLANT-PANIPAT-REFINERY,780.0,18.0,762.0,EA,2026-09-24
IOCL,IOCL-0105,PLANT-PANIPAT-REFINERY,800.0,100.0,700.0,L,2026-09-24
IOCL,IOCL-0106,PLANT-PANIPAT-REFINERY,120.0,12.0,108.0,L,2026-09-24
IOCL,IOCL-0107,PLANT-PANIPAT-REFINERY,550.0,50.0,500.0,KG,2026-09-24
IOCL,IOCL-0108,PLANT-PANIPAT-REFINERY,460.0,16.0,444.0,SET,2026-09-24
IOCL,IOCL-0109,PLANT-PANIPAT-REFINERY,630.0,18.0,612.0,EA,2026-09-24
IOCL,IOCL-0110,PLANT-PANIPAT-REFINERY,450.0,50.0,400.0,EA,2026-09-24
IOCL,IOCL-0111,PLANT-PANIPAT-REFINERY,970.0,22.0,948.0,EA,2026-09-24
IOCL,IOCL-0112,PLANT-PANIPAT-REFINERY,140.0,14.0,126.0,M,2026-09-24
IOCL,IOCL-0113,PLANT-PANIPAT-REFINERY,310.0,16.0,294.0,M,2026-09-24
IOCL,IOCL-0114,PLANT-PANIPAT-REFINERY,480.0,18.0,462.0,EA,2026-09-24
IOCL,IOCL-0115,PLANT-PANIPAT-REFINERY,650.0,20.0,630.0,EA,2026-09-24
IOCL,IOCL-0116,PLANT-PANIPAT-REFINERY,820.0,22.0,798.0,KG,2026-09-24
IOCL,IOCL-0117,PLANT-PANIPAT-REFINERY,990.0,24.0,966.0,ROLL,2026-09-24
IOCL,IOCL-0118,PLANT-PANIPAT-REFINERY,160.0,16.0,144.0,EA,2026-09-24
IOCL,IOCL-0119,PLANT-PANIPAT-REFINERY,330.0,18.0,312.0,EA,2026-09-24
IOCL,IOCL-0120,PLANT-PANIPAT-REFINERY,500.0,20.0,480.0,EA,2026-09-24
IOCL,IOCL-0122,PLANT-PANIPAT-REFINERY,840.0,24.0,816.0,EA,2026-09-24
IOCL,IOCL-0123,PLANT-PANIPAT-REFINERY,25.0,3.0,22.0,SET,2026-09-24
IOCL,IOCL-0124,PLANT-PANIPAT-REFINERY,180.0,18.0,162.0,EA,2026-09-24
IOCL,IOCL-0125,PLANT-PANIPAT-REFINERY,350.0,20.0,330.0,PR,2026-09-24
ONGC,ONGC-0401,PLANT-01,1500.0,100.0,1400.0,EA,2026-09-24
ONGC,ONGC-0402,PLANT-MUMBAI-OFFSHORE,440.0,14.0,426.0,EA,2026-09-24
ONGC,ONGC-0403,PLANT-01,600.0,50.0,550.0,EA,2026-09-24
ONGC,ONGC-0404,PLANT-MUMBAI-OFFSHORE,780.0,18.0,762.0,EA,2026-09-24
ONGC,ONGC-0405,PLANT-MUMBAI-OFFSHORE,1300.0,100.0,1200.0,L,2026-09-24
ONGC,ONGC-0406,PLANT-MUMBAI-OFFSHORE,120.0,12.0,108.0,L,2026-09-24
ONGC,ONGC-0407,PLANT-MUMBAI-OFFSHORE,950.0,50.0,900.0,KG,2026-09-24
ONGC,ONGC-0408,PLANT-MUMBAI-OFFSHORE,460.0,16.0,444.0,SET,2026-09-24
ONGC,ONGC-0409,PLANT-MUMBAI-OFFSHORE,630.0,18.0,612.0,EA,2026-09-24
ONGC,ONGC-0410,PLANT-MUMBAI-OFFSHORE,850.0,50.0,800.0,EA,2026-09-24
ONGC,ONGC-0411,PLANT-MUMBAI-OFFSHORE,970.0,22.0,948.0,EA,2026-09-24
ONGC,ONGC-0412,PLANT-MUMBAI-OFFSHORE,140.0,14.0,126.0,M,2026-09-24
ONGC,ONGC-0413,PLANT-MUMBAI-OFFSHORE,310.0,16.0,294.0,M,2026-09-24
ONGC,ONGC-0414,PLANT-MUMBAI-OFFSHORE,480.0,18.0,462.0,EA,2026-09-24
ONGC,ONGC-0415,PLANT-MUMBAI-OFFSHORE,650.0,20.0,630.0,EA,2026-09-24
ONGC,ONGC-0416,PLANT-MUMBAI-OFFSHORE,820.0,22.0,798.0,KG,2026-09-24
ONGC,ONGC-0417,PLANT-MUMBAI-OFFSHORE,990.0,24.0,966.0,ROLL,2026-09-24
ONGC,ONGC-0418,PLANT-MUMBAI-OFFSHORE,160.0,16.0,144.0,EA,2026-09-24
ONGC,ONGC-0419,PLANT-MUMBAI-OFFSHORE,330.0,18.0,312.0,EA,2026-09-24
ONGC,ONGC-0420,PLANT-MUMBAI-OFFSHORE,500.0,20.0,480.0,EA,2026-09-24
ONGC,ONGC-0421,PLANT-MUMBAI-OFFSHORE,420.0,40.0,380.0,EA,2026-09-24
ONGC,ONGC-0422,PLANT-MUMBAI-OFFSHORE,840.0,24.0,816.0,EA,2026-09-24
ONGC,ONGC-0424,PLANT-MUMBAI-OFFSHORE,180.0,18.0,162.0,EA,2026-09-24
ONGC,ONGC-0425,PLANT-MUMBAI-OFFSHORE,350.0,20.0,330.0,PR,2026-09-24
